contract,status,detail
candidate_action_key_and_primitive_closure,PASS,P2_ROW_SPECIFIC_ACTION_AUTHORITY + P7_AGGREGATE_SEMANTIC_AUTHORITY
native_forward_equivalence,PASS,exact torch.equal
candidate_semantic_equivalence,PASS,P7 actions/finite exact production arithmetic
parameter_and_buffer_no_mutation,PASS,post-load meaningful comparison
zero_optimizer_scheduler_checkpoint_writes,PASS,probe constructs none
p7_gradient_path_design_schema,PASS,source=/kaggle/working/ContraMamba/reports/stage196b2b6p7_full_counterfactual_forward_design_20260723_190847/stage196b2b6p7_gradient_path_design.csv rows=33 missing=[]
p7_direction_recipient_authority_nonempty,PASS,"{""frame_local_only"": [""frame_branch"", ""polarity_branch"", ""predicate_branch"", ""sufficiency_branch""], ""joint"": [""frame_branch"", ""polarity_branch"", ""predicate_branch"", ""sufficiency_branch""]}"
p7_order_recipient_authority_nonempty,PASS,"{""frame_local_only"": [""frame_branch"", ""polarity_branch"", ""predicate_branch"", ""sufficiency_branch""], ""joint"": [""frame_branch"", ""polarity_branch"", ""predicate_branch"", ""sufficiency_branch""]}"
p7_recipient_group_normalization,PASS,"{""direction"": {""frame_local_only"": [""frame_branch"", ""polarity_branch"", ""predicate_branch"", ""sufficiency_branch""], ""joint"": [""frame_branch"", ""polarity_branch"", ""predicate_branch"", ""sufficiency_branch""]}, ""order"": {""frame_local_only"": [""frame_branch"", ""polarity_branch"", ""predicate_branch"", ""sufficiency_branch""], ""joint"": [""frame_branch"", ""polarity_branch"", ""predicate_branch"", ""sufficiency_branch""]}}"
p7_recipient_mode_closure,PASS,"{""direction"": {""frame_local_only"": [""frame_branch"", ""polarity_branch"", ""predicate_branch"", ""sufficiency_branch""], ""joint"": [""frame_branch"", ""polarity_branch"", ""predicate_branch"", ""sufficiency_branch""]}, ""order"": {""frame_local_only"": [""frame_branch"", ""polarity_branch"", ""predicate_branch"", ""sufficiency_branch""], ""joint"": [""frame_branch"", ""polarity_branch"", ""predicate_branch"", ""sufficiency_branch""]}}"
gradient_target_mode_provenance,PASS,"gradient rows carry checkpoint_mode, target_family, and parameter_group_base"
direction_declared_recipient_resolution,PASS,"{""connected"": {""frame_local_only"": [""frame_branch"", ""predicate_branch""], ""joint"": [""frame_branch"", ""polarity_branch"", ""predicate_branch"", ""sufficiency_branch""]}, ""connected_zero"": {""frame_local_only"": [""polarity_branch"", ""sufficiency_branch""], ""joint"": []}, ""counts"": {""frame_local_only"": {""connected"": 2, ""connected_zero"": 2, ""declared"": 4, ""failed"": 0, ""missing"": 0, ""resolved"": 4}, ""joint"": {""connected"": 4, ""connected_zero"": 0, ""declared"": 4, ""failed"": 0, ""missing"": 0, ""resolved"": 4}}, ""declared"": {""frame_local_only"": [""frame_branch"", ""polarity_branch"", ""predicate_branch"", ""sufficiency_branch""], ""joint"": [""frame_branch"", ""polarity_branch"", ""predicate_branch"", ""sufficiency_branch""]}, ""failed"": {""frame_local_only"": [], ""joint"": []}, ""missing"": {""frame_local_only"": [], ""joint"": []}, ""resolved"": {""frame_local_only"": [""frame_branch"", ""polarity_branch"", ""predicate_branch"", ""sufficiency_branch""], ""joint"": [""frame_branch"", ""polarity_branch"", ""predicate_branch"", ""sufficiency_branch""]}}"
candidate_order_declared_recipient_resolution,PASS,"{""connected"": {""frame_local_only"": [], ""joint"": []}, ""connected_zero"": {""frame_local_only"": [""frame_branch"", ""polarity_branch"", ""predicate_branch"", ""sufficiency_branch""], ""joint"": [""frame_branch"", ""polarity_branch"", ""predicate_branch"", ""sufficiency_branch""]}, ""counts"": {""frame_local_only"": {""connected"": 0, ""connected_zero"": 4, ""declared"": 4, ""failed"": 0, ""missing"": 0, ""resolved"": 4}, ""joint"": {""connected"": 0, ""connected_zero"": 4, ""declared"": 4, ""failed"": 0, ""missing"": 0, ""resolved"": 4}}, ""declared"": {""frame_local_only"": [""frame_branch"", ""polarity_branch"", ""predicate_branch"", ""sufficiency_branch""], ""joint"": [""frame_branch"", ""polarity_branch"", ""predicate_branch"", ""sufficiency_branch""]}, ""failed"": {""frame_local_only"": [], ""joint"": []}, ""missing"": {""frame_local_only"": [], ""joint"": []}, ""resolved"": {""frame_local_only"": [""frame_branch"", ""polarity_branch"", ""predicate_branch"", ""sufficiency_branch""], ""joint"": [""frame_branch"", ""polarity_branch"", ""predicate_branch"", ""sufficiency_branch""]}}"
direction_coordinate_connectivity,PASS,"{""connected"": {""frame_local_only"": [""frame_branch"", ""predicate_branch""], ""joint"": [""frame_branch"", ""polarity_branch"", ""predicate_branch"", ""sufficiency_branch""]}, ""connected_zero"": {""frame_local_only"": [""polarity_branch"", ""sufficiency_branch""], ""joint"": []}, ""counts"": {""frame_local_only"": {""connected"": 2, ""connected_zero"": 2, ""declared"": 4, ""failed"": 0, ""missing"": 0, ""resolved"": 4}, ""joint"": {""connected"": 4, ""connected_zero"": 0, ""declared"": 4, ""failed"": 0, ""missing"": 0, ""resolved"": 4}}, ""declared"": {""frame_local_only"": [""frame_branch"", ""polarity_branch"", ""predicate_branch"", ""sufficiency_branch""], ""joint"": [""frame_branch"", ""polarity_branch"", ""predicate_branch"", ""sufficiency_branch""]}, ""failed"": {""frame_local_only"": [], ""joint"": []}, ""missing"": {""frame_local_only"": [], ""joint"": []}, ""resolved"": {""frame_local_only"": [""frame_branch"", ""polarity_branch"", ""predicate_branch"", ""sufficiency_branch""], ""joint"": [""frame_branch"", ""polarity_branch"", ""predicate_branch"", ""sufficiency_branch""]}}"
candidate_order_coordinate_connectivity,PASS,"{""connected"": {""frame_local_only"": [], ""joint"": []}, ""connected_zero"": {""frame_local_only"": [""frame_branch"", ""polarity_branch"", ""predicate_branch"", ""sufficiency_branch""], ""joint"": [""frame_branch"", ""polarity_branch"", ""predicate_branch"", ""sufficiency_branch""]}, ""counts"": {""frame_local_only"": {""connected"": 0, ""connected_zero"": 4, ""declared"": 4, ""failed"": 0, ""missing"": 0, ""resolved"": 4}, ""joint"": {""connected"": 0, ""connected_zero"": 4, ""declared"": 4, ""failed"": 0, ""missing"": 0, ""resolved"": 4}}, ""declared"": {""frame_local_only"": [""frame_branch"", ""polarity_branch"", ""predicate_branch"", ""sufficiency_branch""], ""joint"": [""frame_branch"", ""polarity_branch"", ""predicate_branch"", ""sufficiency_branch""]}, ""failed"": {""frame_local_only"": [], ""joint"": []}, ""missing"": {""frame_local_only"": [], ""joint"": []}, ""resolved"": {""frame_local_only"": [""frame_branch"", ""polarity_branch"", ""predicate_branch"", ""sufficiency_branch""], ""joint"": [""frame_branch"", ""polarity_branch"", ""predicate_branch"", ""sufficiency_branch""]}}"
p7_replay_boundary_closure,PASS,Mamba hidden state plus exact masks
one_mamba_forward_zero_candidate_mamba_forwards,PASS,one native Mamba call; replay reports zero
full_candidate_dependent_trainable_replay,PASS,one complete donor arm plus native arm
no_detached_replay_inputs,PASS,frozen is not forcibly detached
canonical_class_margin_response_schema,PASS,"('REFUTE', 'NOT_ENTITLED', 'SUPPORT')"
stochastic_state_policy_closure,PASS,MATCH_NATIVE_AND_COUNTERPART_DOWNSTREAM_RESTORE_POST_NATIVE
zero_stability_teacher_ema_integration,PASS,all absent
default_off_trainer_closure,PASS,default false
resource_observation_closure,PASS,CUDA counters captured
decision_hierarchy_reachability,PASS,derived below
exact_ten_file_closure,PASS,stage196b2b6p8_analysis.json;stage196b2b6p8_report.md;stage196b2b6p8_replay_state_schema.csv;stage196b2b6p8_candidate_replay_equivalence.csv;stage196b2b6p8_gradient_connectivity.csv;stage196b2b6p8_stochastic_state_audit.csv;stage196b2b6p8_no_mutation_audit.csv;stage196b2b6p8_resource_observation.csv;stage196b2b6p8_decision_gate.csv;stage196b2b6p8_contract.csv
