review_instance_id,source_item_id,hard_or_control,stage176_cohort,independent_frame_judgment,gold_frame_assessment,intervention_validity,diagnostic_failure_locus,recommended_data_action,confidence,rationale,queue_reason
R180-0032,generated_fact_158__title_name_swap,hard,beneficial_correction,incompatible,gold_consistent,unnatural_or_broken_text,data_or_intervention_design,redesign_intervention,5,블라인드 판단과 native frame label이 일치한다. 그러나 canonical none 문장이 'did not + 과거형' 비문이며 현재 변형과 비교하면 문법/극성까지 함께 달라져 title_name_swap의 단일축 편집 계약이 오염되므로 생성 규칙 재설계가 필요하다.,non_keep_data_action
R180-0033,generated_fact_172__location_swap,control,none,incompatible,gold_consistent,unnatural_or_broken_text,data_or_intervention_design,redesign_intervention,5,블라인드 판단과 native frame label이 일치한다. 그러나 canonical none 문장이 'did not + 과거형' 비문이며 현재 변형과 비교하면 문법/극성까지 함께 달라져 location_swap의 단일축 편집 계약이 오염되므로 생성 규칙 재설계가 필요하다.,non_keep_data_action
R180-0036,generated_fact_146__none,hard,harmful_regression,compatible,gold_consistent,canonical_control,input_representation_insensitivity,retain_as_diagnostic_only,4,블라인드 판단과 gold frame label은 compatible로 일치하고 입력도 유효하다. native frame head와 gold-conditioned centroid가 모두 incompatible로 오판해 frame-compatible 신호가 head 입력 표현에서 충분히 분리되지 않은 모델측 실패로 본다.,non_keep_data_action
R180-0037,generated_fact_090__location_swap,hard,beneficial_correction,incompatible,gold_consistent,clean_single_axis_edit,downstream_final_boundary,retain_as_diagnostic_only,4,"블라인드 판단과 gold frame label은 일치하고 location_swap 편집도 명확하다. native frame head는 올바르게 frame incompatibility를 감지했지만 최종 예측은 SUPPORT로 남아, 주된 실패는 downstream final boundary에 있다.",non_keep_data_action
R180-0040,generated_fact_158__location_swap,hard,beneficial_correction,incompatible,gold_consistent,unnatural_or_broken_text,data_or_intervention_design,redesign_intervention,5,블라인드 판단과 native frame label이 일치한다. 그러나 canonical none 문장이 'did not + 과거형' 비문이며 현재 변형과 비교하면 문법/극성까지 함께 달라져 location_swap의 단일축 편집 계약이 오염되므로 생성 규칙 재설계가 필요하다.,non_keep_data_action
R180-0045,generated_fact_287__polarity_flip,hard,harmful_regression,compatible,gold_consistent,unnatural_or_broken_text,data_or_intervention_design,redesign_intervention,5,블라인드 판단과 native frame label이 일치한다. 그러나 canonical none 문장이 'did not + 과거형' 비문이며 현재 변형과 비교하면 문법/극성까지 함께 달라져 polarity_flip의 단일축 편집 계약이 오염되므로 생성 규칙 재설계가 필요하다.,non_keep_data_action
R180-0046,museum_purchase__none,hard,harmful_regression,compatible,gold_consistent,canonical_control,input_representation_insensitivity,retain_as_diagnostic_only,4,블라인드 판단과 gold frame label은 compatible로 일치하고 입력도 유효하다. native frame head와 gold-conditioned centroid가 모두 incompatible로 오판해 frame-compatible 신호가 head 입력 표현에서 충분히 분리되지 않은 모델측 실패로 본다.,non_keep_data_action
R180-0047,generated_fact_158__role_swap,hard,beneficial_correction,incompatible,gold_consistent,unnatural_or_broken_text,data_or_intervention_design,redesign_intervention,5,블라인드 판단과 native frame label이 일치한다. 그러나 canonical none 문장이 'did not + 과거형' 비문이며 현재 변형과 비교하면 문법/극성까지 함께 달라져 role_swap의 단일축 편집 계약이 오염되므로 생성 규칙 재설계가 필요하다.,non_keep_data_action
R180-0048,language_program__paraphrase,hard,harmful_regression,compatible,gold_consistent,clean_single_axis_edit,input_representation_insensitivity,retain_as_diagnostic_only,4,블라인드 판단과 gold frame label은 compatible로 일치하고 입력도 유효하다. native frame head와 gold-conditioned centroid가 모두 incompatible로 오판해 frame-compatible 신호가 head 입력 표현에서 충분히 분리되지 않은 모델측 실패로 본다.,non_keep_data_action
R180-0050,generated_fact_055__none,hard,harmful_regression,compatible,gold_consistent,canonical_control,input_representation_insensitivity,retain_as_diagnostic_only,4,블라인드 판단과 gold frame label은 compatible로 일치하고 입력도 유효하다. native frame head와 gold-conditioned centroid가 모두 incompatible로 오판해 frame-compatible 신호가 head 입력 표현에서 충분히 분리되지 않은 모델측 실패로 본다.,non_keep_data_action
R180-0051,generated_fact_271__location_swap,hard,beneficial_correction,incompatible,gold_consistent,unnatural_or_broken_text,data_or_intervention_design,redesign_intervention,5,블라인드 판단과 native frame label이 일치한다. 그러나 canonical none 문장이 'did not + 과거형' 비문이며 현재 변형과 비교하면 문법/극성까지 함께 달라져 location_swap의 단일축 편집 계약이 오염되므로 생성 규칙 재설계가 필요하다.,non_keep_data_action
R180-0052,generated_fact_090__none,hard,harmful_regression,compatible,gold_consistent,canonical_control,input_representation_insensitivity,retain_as_diagnostic_only,4,블라인드 판단과 gold frame label은 compatible로 일치하고 입력도 유효하다. native frame head와 gold-conditioned centroid가 모두 incompatible로 오판해 frame-compatible 신호가 head 입력 표현에서 충분히 분리되지 않은 모델측 실패로 본다.,non_keep_data_action
R180-0053,generated_fact_135__role_swap,hard,beneficial_correction,incompatible,gold_consistent,clean_single_axis_edit,downstream_final_boundary,retain_as_diagnostic_only,4,"블라인드 판단과 gold frame label은 일치하고 role_swap 편집도 명확하다. native frame head는 올바르게 frame incompatibility를 감지했지만 최종 예측은 SUPPORT로 남아, 주된 실패는 downstream final boundary에 있다.",non_keep_data_action
R180-0054,satellite_launch__none,hard,harmful_regression,compatible,gold_consistent,canonical_control,input_representation_insensitivity,retain_as_diagnostic_only,4,블라인드 판단과 gold frame label은 compatible로 일치하고 입력도 유효하다. native frame head와 gold-conditioned centroid가 모두 incompatible로 오판해 frame-compatible 신호가 head 입력 표현에서 충분히 분리되지 않은 모델측 실패로 본다.,non_keep_data_action
R180-0055,generated_fact_086__entity_swap,hard,beneficial_correction,incompatible,gold_consistent,clean_single_axis_edit,downstream_final_boundary,retain_as_diagnostic_only,4,"블라인드 판단과 gold frame label은 일치하고 entity_swap 편집도 명확하다. native frame head는 올바르게 frame incompatibility를 감지했지만 최종 예측은 SUPPORT로 남아, 주된 실패는 downstream final boundary에 있다.",non_keep_data_action
R180-0056,generated_fact_297__polarity_flip,control,none,compatible,gold_consistent,unnatural_or_broken_text,data_or_intervention_design,redesign_intervention,5,블라인드 판단과 native frame label이 일치한다. 그러나 canonical none 문장이 'did not + 과거형' 비문이며 현재 변형과 비교하면 문법/극성까지 함께 달라져 polarity_flip의 단일축 편집 계약이 오염되므로 생성 규칙 재설계가 필요하다.,non_keep_data_action
R180-0057,generated_fact_161__location_swap,control,none,incompatible,gold_consistent,unnatural_or_broken_text,data_or_intervention_design,redesign_intervention,5,블라인드 판단과 native frame label이 일치한다. 그러나 canonical none 문장이 'did not + 과거형' 비문이며 현재 변형과 비교하면 문법/극성까지 함께 달라져 location_swap의 단일축 편집 계약이 오염되므로 생성 규칙 재설계가 필요하다.,non_keep_data_action
R180-0062,generated_fact_227__title_name_swap,hard,beneficial_correction,incompatible,gold_consistent,unnatural_or_broken_text,data_or_intervention_design,redesign_intervention,5,블라인드 판단과 native frame label이 일치한다. 그러나 canonical none 문장이 'did not + 과거형' 비문이며 현재 변형과 비교하면 문법/극성까지 함께 달라져 title_name_swap의 단일축 편집 계약이 오염되므로 생성 규칙 재설계가 필요하다.,non_keep_data_action
R180-0063,generated_fact_271__role_swap,hard,beneficial_correction,incompatible,gold_consistent,unnatural_or_broken_text,data_or_intervention_design,redesign_intervention,5,블라인드 판단과 native frame label이 일치한다. 그러나 canonical none 문장이 'did not + 과거형' 비문이며 현재 변형과 비교하면 문법/극성까지 함께 달라져 role_swap의 단일축 편집 계약이 오염되므로 생성 규칙 재설계가 필요하다.,non_keep_data_action
R180-0064,generated_fact_274__polarity_flip,hard,harmful_regression,compatible,gold_consistent,unnatural_or_broken_text,data_or_intervention_design,redesign_intervention,5,블라인드 판단과 native frame label이 일치한다. 그러나 canonical none 문장이 'did not + 과거형' 비문이며 현재 변형과 비교하면 문법/극성까지 함께 달라져 polarity_flip의 단일축 편집 계약이 오염되므로 생성 규칙 재설계가 필요하다.,non_keep_data_action
R180-0065,generated_fact_078__polarity_flip,control,none,compatible,gold_consistent,unnatural_or_broken_text,data_or_intervention_design,redesign_intervention,5,"블라인드 판단과 native frame label이 일치한다. polarity_flip의 대상 문장에 'did not + 과거형' 비문이 있어 편집이 부자연스럽고, 주된 문제는 모델보다 intervention 생성 규칙에 있다.",non_keep_data_action
R180-0066,generated_fact_257__polarity_flip,control,none,compatible,gold_consistent,unnatural_or_broken_text,data_or_intervention_design,redesign_intervention,5,블라인드 판단과 native frame label이 일치한다. 그러나 canonical none 문장이 'did not + 과거형' 비문이며 현재 변형과 비교하면 문법/극성까지 함께 달라져 polarity_flip의 단일축 편집 계약이 오염되므로 생성 규칙 재설계가 필요하다.,non_keep_data_action
R180-0067,generated_fact_161__polarity_flip,control,none,compatible,gold_consistent,unnatural_or_broken_text,data_or_intervention_design,redesign_intervention,5,블라인드 판단과 native frame label이 일치한다. 그러나 canonical none 문장이 'did not + 과거형' 비문이며 현재 변형과 비교하면 문법/극성까지 함께 달라져 polarity_flip의 단일축 편집 계약이 오염되므로 생성 규칙 재설계가 필요하다.,non_keep_data_action
R180-0068,generated_fact_230__title_name_swap,hard,beneficial_correction,incompatible,gold_consistent,unnatural_or_broken_text,data_or_intervention_design,redesign_intervention,5,블라인드 판단과 native frame label이 일치한다. 그러나 canonical none 문장이 'did not + 과거형' 비문이며 현재 변형과 비교하면 문법/극성까지 함께 달라져 title_name_swap의 단일축 편집 계약이 오염되므로 생성 규칙 재설계가 필요하다.,non_keep_data_action
R180-0069,generated_fact_166__polarity_flip,control,none,compatible,gold_consistent,unnatural_or_broken_text,data_or_intervention_design,redesign_intervention,5,블라인드 판단과 native frame label이 일치한다. 그러나 canonical none 문장이 'did not + 과거형' 비문이며 현재 변형과 비교하면 문법/극성까지 함께 달라져 polarity_flip의 단일축 편집 계약이 오염되므로 생성 규칙 재설계가 필요하다.,non_keep_data_action
R180-0071,generated_fact_078__location_swap,hard,beneficial_correction,incompatible,gold_consistent,clean_single_axis_edit,downstream_final_boundary,retain_as_diagnostic_only,4,"블라인드 판단과 gold frame label은 일치하고 location_swap 편집도 명확하다. native frame head는 올바르게 frame incompatibility를 감지했지만 최종 예측은 SUPPORT로 남아, 주된 실패는 downstream final boundary에 있다.",non_keep_data_action
R180-0076,generated_fact_227__polarity_flip,control,none,compatible,gold_consistent,unnatural_or_broken_text,data_or_intervention_design,redesign_intervention,5,블라인드 판단과 native frame label이 일치한다. 그러나 canonical none 문장이 'did not + 과거형' 비문이며 현재 변형과 비교하면 문법/극성까지 함께 달라져 polarity_flip의 단일축 편집 계약이 오염되므로 생성 규칙 재설계가 필요하다.,non_keep_data_action
R180-0077,clinic_expansion__location_swap,hard,beneficial_correction,incompatible,gold_consistent,clean_single_axis_edit,downstream_final_boundary,retain_as_diagnostic_only,4,"블라인드 판단과 gold frame label은 일치하고 location_swap 편집도 명확하다. native frame head는 올바르게 frame incompatibility를 감지했지만 최종 예측은 SUPPORT로 남아, 주된 실패는 downstream final boundary에 있다.",non_keep_data_action
R180-0078,generated_fact_080__location_swap,hard,beneficial_correction,incompatible,gold_consistent,clean_single_axis_edit,downstream_final_boundary,retain_as_diagnostic_only,4,"블라인드 판단과 gold frame label은 일치하고 location_swap 편집도 명확하다. native frame head는 올바르게 frame incompatibility를 감지했지만 최종 예측은 SUPPORT로 남아, 주된 실패는 downstream final boundary에 있다.",non_keep_data_action
R180-0079,generated_fact_225__location_swap,hard,beneficial_correction,incompatible,gold_consistent,unnatural_or_broken_text,data_or_intervention_design,redesign_intervention,5,블라인드 판단과 native frame label이 일치한다. 그러나 canonical none 문장이 'did not + 과거형' 비문이며 현재 변형과 비교하면 문법/극성까지 함께 달라져 location_swap의 단일축 편집 계약이 오염되므로 생성 규칙 재설계가 필요하다.,non_keep_data_action
R180-0082,generated_fact_158__entity_swap,control,none,incompatible,gold_consistent,unnatural_or_broken_text,data_or_intervention_design,redesign_intervention,5,블라인드 판단과 native frame label이 일치한다. 그러나 canonical none 문장이 'did not + 과거형' 비문이며 현재 변형과 비교하면 문법/극성까지 함께 달라져 entity_swap의 단일축 편집 계약이 오염되므로 생성 규칙 재설계가 필요하다.,non_keep_data_action
R180-0083,generated_fact_273__location_swap,hard,beneficial_correction,incompatible,gold_consistent,unnatural_or_broken_text,data_or_intervention_design,redesign_intervention,5,블라인드 판단과 native frame label이 일치한다. 그러나 canonical none 문장이 'did not + 과거형' 비문이며 현재 변형과 비교하면 문법/극성까지 함께 달라져 location_swap의 단일축 편집 계약이 오염되므로 생성 규칙 재설계가 필요하다.,non_keep_data_action
R180-0084,generated_fact_176__location_swap,hard,beneficial_correction,incompatible,gold_consistent,unnatural_or_broken_text,data_or_intervention_design,redesign_intervention,5,블라인드 판단과 native frame label이 일치한다. 그러나 canonical none 문장이 'did not + 과거형' 비문이며 현재 변형과 비교하면 문법/극성까지 함께 달라져 location_swap의 단일축 편집 계약이 오염되므로 생성 규칙 재설계가 필요하다.,non_keep_data_action
R180-0085,generated_fact_176__role_swap,control,none,incompatible,gold_consistent,unnatural_or_broken_text,data_or_intervention_design,redesign_intervention,5,블라인드 판단과 native frame label이 일치한다. 그러나 canonical none 문장이 'did not + 과거형' 비문이며 현재 변형과 비교하면 문법/극성까지 함께 달라져 role_swap의 단일축 편집 계약이 오염되므로 생성 규칙 재설계가 필요하다.,non_keep_data_action
