row_id,item_role,stage176_cohort,intervention_type,native_frame_label,gold_final_label,match_link_id,matched_hard_row_id,match_level,independent_frame_judgment,gold_frame_assessment,intervention_validity,primary_semantic_phenomenon,diagnostic_failure_locus,recommended_data_action,reviewer_count,pass1_confidence_min,pass2_confidence_min,independent_gold_agreement
generated_fact_089__location_swap,control,none,location_swap,0,NOT_ENTITLED,M180-0020,generated_fact_225__location_swap,same_intervention_frame_final,incompatible,gold_consistent,clean_single_axis_edit,location_scope,cannot_determine,keep_unchanged,1,5,5,True
generated_fact_089__none,control,none,none,1,SUPPORT,M180-0013,generated_fact_146__none,same_intervention_frame_final,compatible,gold_consistent,canonical_control,other,cannot_determine,keep_unchanged,1,5,5,True
generated_fact_090__location_swap,hard,beneficial_correction,location_swap,0,NOT_ENTITLED,M180-0009,generated_fact_090__location_swap,same_intervention_frame_final,incompatible,gold_consistent,clean_single_axis_edit,location_scope,downstream_final_boundary,retain_as_diagnostic_only,1,5,4,True
generated_fact_090__none,hard,harmful_regression,none,1,SUPPORT,M180-0010,generated_fact_090__none,same_intervention_frame_final,compatible,gold_consistent,canonical_control,other,input_representation_insensitivity,retain_as_diagnostic_only,1,5,4,True
generated_fact_110__entity_swap,hard,beneficial_correction,entity_swap,0,NOT_ENTITLED,M180-0011,generated_fact_110__entity_swap,same_intervention_frame_final,incompatible,gold_consistent,clean_single_axis_edit,entity_identity,downstream_final_boundary,retain_as_diagnostic_only,1,5,4,True
generated_fact_110__role_swap,control,none,role_swap,0,NOT_ENTITLED,M180-0016,generated_fact_158__role_swap,same_intervention_frame_final,incompatible,gold_consistent,clean_single_axis_edit,role_relation,cannot_determine,keep_unchanged,1,5,5,True
generated_fact_110__title_name_swap,control,none,title_name_swap,0,NOT_ENTITLED,M180-0017,generated_fact_158__title_name_swap,same_intervention_frame_final,incompatible,gold_consistent,clean_single_axis_edit,title_name_identity,cannot_determine,keep_unchanged,1,5,5,True
generated_fact_115__none,control,none,none,1,SUPPORT,M180-0035,museum_purchase__none,same_intervention_frame_final,compatible,gold_consistent,canonical_control,other,cannot_determine,keep_unchanged,1,5,5,True
generated_fact_118__none,control,none,none,1,SUPPORT,M180-0010,generated_fact_090__none,same_intervention_frame_final,compatible,gold_consistent,canonical_control,other,cannot_determine,keep_unchanged,1,5,5,True
generated_fact_120__location_swap,control,none,location_swap,0,NOT_ENTITLED,M180-0003,generated_fact_078__location_swap,same_intervention_frame_final,incompatible,gold_consistent,clean_single_axis_edit,location_scope,cannot_determine,keep_unchanged,1,5,5,True
generated_fact_128__location_swap,control,none,location_swap,0,NOT_ENTITLED,M180-0004,generated_fact_080__location_swap,same_intervention_frame_final,incompatible,gold_consistent,clean_single_axis_edit,location_scope,cannot_determine,keep_unchanged,1,5,5,True
generated_fact_135__role_swap,hard,beneficial_correction,role_swap,0,NOT_ENTITLED,M180-0012,generated_fact_135__role_swap,same_intervention_frame_final,incompatible,gold_consistent,clean_single_axis_edit,role_relation,downstream_final_boundary,retain_as_diagnostic_only,1,5,4,True
generated_fact_138__location_swap,control,none,location_swap,0,NOT_ENTITLED,M180-0009,generated_fact_090__location_swap,same_intervention_frame_final,incompatible,gold_consistent,clean_single_axis_edit,location_scope,cannot_determine,keep_unchanged,1,5,5,True
generated_fact_146__event_swap,control,none,event_swap,0,NOT_ENTITLED,M180-0038,satellite_launch__event_swap,same_intervention_frame_final,incompatible,gold_consistent,clean_single_axis_edit,event_identity,cannot_determine,keep_unchanged,1,5,5,True
generated_fact_146__location_swap,control,none,location_swap,0,NOT_ENTITLED,M180-0015,generated_fact_158__location_swap,same_intervention_frame_final,incompatible,gold_consistent,clean_single_axis_edit,location_scope,cannot_determine,keep_unchanged,1,5,5,True
generated_fact_146__none,hard,harmful_regression,none,1,SUPPORT,M180-0013,generated_fact_146__none,same_intervention_frame_final,compatible,gold_consistent,canonical_control,other,input_representation_insensitivity,retain_as_diagnostic_only,1,5,4,True
generated_fact_151__role_swap,control,none,role_swap,0,NOT_ENTITLED,M180-0005,generated_fact_083__role_swap,same_intervention_frame_final,incompatible,gold_consistent,unnatural_or_broken_text,role_relation,data_or_intervention_design,redesign_intervention,1,5,5,True
generated_fact_153__location_swap,hard,beneficial_correction,location_swap,0,NOT_ENTITLED,M180-0014,generated_fact_153__location_swap,same_intervention_frame_final,incompatible,gold_consistent,unnatural_or_broken_text,location_scope,data_or_intervention_design,redesign_intervention,1,5,5,True
generated_fact_158__entity_swap,control,none,entity_swap,0,NOT_ENTITLED,M180-0006,generated_fact_086__entity_swap,same_intervention_frame_final,incompatible,gold_consistent,unnatural_or_broken_text,entity_identity,data_or_intervention_design,redesign_intervention,1,5,5,True
generated_fact_158__location_swap,hard,beneficial_correction,location_swap,0,NOT_ENTITLED,M180-0015,generated_fact_158__location_swap,same_intervention_frame_final,incompatible,gold_consistent,unnatural_or_broken_text,location_scope,data_or_intervention_design,redesign_intervention,1,5,5,True
generated_fact_158__role_swap,hard,beneficial_correction,role_swap,0,NOT_ENTITLED,M180-0016,generated_fact_158__role_swap,same_intervention_frame_final,incompatible,gold_consistent,unnatural_or_broken_text,role_relation,data_or_intervention_design,redesign_intervention,1,5,5,True
generated_fact_158__title_name_swap,hard,beneficial_correction,title_name_swap,0,NOT_ENTITLED,M180-0017,generated_fact_158__title_name_swap,same_intervention_frame_final,incompatible,gold_consistent,unnatural_or_broken_text,title_name_identity,data_or_intervention_design,redesign_intervention,1,5,5,True
generated_fact_161__location_swap,control,none,location_swap,0,NOT_ENTITLED,M180-0014,generated_fact_153__location_swap,same_intervention_frame_final,incompatible,gold_consistent,unnatural_or_broken_text,location_scope,data_or_intervention_design,redesign_intervention,1,5,5,True
generated_fact_161__polarity_flip,control,none,polarity_flip,1,SUPPORT,M180-0032,generated_fact_287__polarity_flip,same_intervention_frame_final,compatible,gold_consistent,unnatural_or_broken_text,polarity,data_or_intervention_design,redesign_intervention,1,5,5,True
generated_fact_165__role_swap,control,none,role_swap,0,NOT_ENTITLED,M180-0012,generated_fact_135__role_swap,same_intervention_frame_final,incompatible,gold_consistent,unnatural_or_broken_text,role_relation,data_or_intervention_design,redesign_intervention,1,5,5,True
generated_fact_166__polarity_flip,control,none,polarity_flip,1,SUPPORT,M180-0026,generated_fact_240__polarity_flip,same_intervention_frame_final,compatible,gold_consistent,unnatural_or_broken_text,polarity,data_or_intervention_design,redesign_intervention,1,5,5,True
generated_fact_172__location_swap,control,none,location_swap,0,NOT_ENTITLED,M180-0018,generated_fact_176__location_swap,same_intervention_frame_final,incompatible,gold_consistent,unnatural_or_broken_text,location_scope,data_or_intervention_design,redesign_intervention,1,5,5,True
generated_fact_176__entity_swap,control,none,entity_swap,0,NOT_ENTITLED,M180-0011,generated_fact_110__entity_swap,same_intervention_frame_final,incompatible,gold_consistent,unnatural_or_broken_text,entity_identity,data_or_intervention_design,redesign_intervention,1,5,5,True
generated_fact_176__location_swap,hard,beneficial_correction,location_swap,0,NOT_ENTITLED,M180-0018,generated_fact_176__location_swap,same_intervention_frame_final,incompatible,gold_consistent,unnatural_or_broken_text,location_scope,data_or_intervention_design,redesign_intervention,1,5,5,True
generated_fact_176__role_swap,control,none,role_swap,0,NOT_ENTITLED,M180-0023,generated_fact_230__role_swap,same_intervention_frame_final,incompatible,gold_consistent,unnatural_or_broken_text,role_relation,data_or_intervention_design,redesign_intervention,1,5,5,True
generated_fact_195__polarity_flip,hard,harmful_regression,polarity_flip,1,SUPPORT,M180-0019,generated_fact_195__polarity_flip,same_intervention_frame_final,compatible,gold_consistent,unnatural_or_broken_text,polarity,data_or_intervention_design,redesign_intervention,1,5,5,True
generated_fact_221__role_swap,control,none,role_swap,0,NOT_ENTITLED,M180-0029,generated_fact_271__role_swap,same_intervention_frame_final,incompatible,gold_consistent,unnatural_or_broken_text,role_relation,data_or_intervention_design,redesign_intervention,1,5,5,True
generated_fact_225__location_swap,hard,beneficial_correction,location_swap,0,NOT_ENTITLED,M180-0020,generated_fact_225__location_swap,same_intervention_frame_final,incompatible,gold_consistent,unnatural_or_broken_text,location_scope,data_or_intervention_design,redesign_intervention,1,5,5,True
generated_fact_227__polarity_flip,control,none,polarity_flip,1,SUPPORT,M180-0019,generated_fact_195__polarity_flip,same_intervention_frame_final,compatible,gold_consistent,unnatural_or_broken_text,polarity,data_or_intervention_design,redesign_intervention,1,5,5,True
generated_fact_227__title_name_swap,hard,beneficial_correction,title_name_swap,0,NOT_ENTITLED,M180-0021,generated_fact_227__title_name_swap,same_intervention_frame_final,incompatible,gold_consistent,unnatural_or_broken_text,title_name_identity,data_or_intervention_design,redesign_intervention,1,5,5,True
generated_fact_230__polarity_flip,hard,harmful_regression,polarity_flip,1,SUPPORT,M180-0022,generated_fact_230__polarity_flip,same_intervention_frame_final,compatible,gold_consistent,unnatural_or_broken_text,polarity,data_or_intervention_design,redesign_intervention,1,5,5,True
generated_fact_230__role_swap,hard,beneficial_correction,role_swap,0,NOT_ENTITLED,M180-0023,generated_fact_230__role_swap,same_intervention_frame_final,incompatible,gold_consistent,unnatural_or_broken_text,role_relation,data_or_intervention_design,redesign_intervention,1,5,5,True
generated_fact_230__title_name_swap,hard,beneficial_correction,title_name_swap,0,NOT_ENTITLED,M180-0024,generated_fact_230__title_name_swap,same_intervention_frame_final,incompatible,gold_consistent,unnatural_or_broken_text,title_name_identity,data_or_intervention_design,redesign_intervention,1,5,5,True
generated_fact_238__location_swap,hard,beneficial_correction,location_swap,0,NOT_ENTITLED,M180-0025,generated_fact_238__location_swap,same_intervention_frame_final,incompatible,gold_consistent,unnatural_or_broken_text,location_scope,data_or_intervention_design,redesign_intervention,1,5,5,True
generated_fact_240__polarity_flip,hard,harmful_regression,polarity_flip,1,SUPPORT,M180-0026,generated_fact_240__polarity_flip,same_intervention_frame_final,compatible,gold_consistent,unnatural_or_broken_text,polarity,data_or_intervention_design,redesign_intervention,1,5,5,True
generated_fact_257__polarity_flip,control,none,polarity_flip,1,SUPPORT,M180-0022,generated_fact_230__polarity_flip,same_intervention_frame_final,compatible,gold_consistent,unnatural_or_broken_text,polarity,data_or_intervention_design,redesign_intervention,1,5,5,True
generated_fact_262__polarity_flip,hard,harmful_regression,polarity_flip,1,SUPPORT,M180-0027,generated_fact_262__polarity_flip,same_intervention_frame_final,compatible,gold_consistent,unnatural_or_broken_text,polarity,data_or_intervention_design,redesign_intervention,1,5,5,True
generated_fact_271__location_swap,hard,beneficial_correction,location_swap,0,NOT_ENTITLED,M180-0028,generated_fact_271__location_swap,same_intervention_frame_final,incompatible,gold_consistent,unnatural_or_broken_text,location_scope,data_or_intervention_design,redesign_intervention,1,5,5,True
generated_fact_271__role_swap,hard,beneficial_correction,role_swap,0,NOT_ENTITLED,M180-0029,generated_fact_271__role_swap,same_intervention_frame_final,incompatible,gold_consistent,unnatural_or_broken_text,role_relation,data_or_intervention_design,redesign_intervention,1,5,5,True
generated_fact_273__location_swap,hard,beneficial_correction,location_swap,0,NOT_ENTITLED,M180-0030,generated_fact_273__location_swap,same_intervention_frame_final,incompatible,gold_consistent,unnatural_or_broken_text,location_scope,data_or_intervention_design,redesign_intervention,1,5,5,True
generated_fact_274__polarity_flip,hard,harmful_regression,polarity_flip,1,SUPPORT,M180-0031,generated_fact_274__polarity_flip,same_intervention_frame_final,compatible,gold_consistent,unnatural_or_broken_text,polarity,data_or_intervention_design,redesign_intervention,1,5,5,True
generated_fact_285__polarity_flip,control,none,polarity_flip,1,SUPPORT,M180-0027,generated_fact_262__polarity_flip,same_intervention_frame_final,compatible,gold_consistent,unnatural_or_broken_text,polarity,data_or_intervention_design,redesign_intervention,1,5,5,True
generated_fact_287__polarity_flip,hard,harmful_regression,polarity_flip,1,SUPPORT,M180-0032,generated_fact_287__polarity_flip,same_intervention_frame_final,compatible,gold_consistent,unnatural_or_broken_text,polarity,data_or_intervention_design,redesign_intervention,1,5,5,True
generated_fact_297__polarity_flip,control,none,polarity_flip,1,SUPPORT,M180-0031,generated_fact_274__polarity_flip,same_intervention_frame_final,compatible,gold_consistent,unnatural_or_broken_text,polarity,data_or_intervention_design,redesign_intervention,1,5,5,True
generated_fact_300__polarity_flip,hard,harmful_regression,polarity_flip,1,SUPPORT,M180-0033,generated_fact_300__polarity_flip,same_intervention_frame,compatible,gold_consistent,unnatural_or_broken_text,polarity,data_or_intervention_design,redesign_intervention,1,5,5,True
language_program__paraphrase,hard,harmful_regression,paraphrase,1,SUPPORT,M180-0034,language_program__paraphrase,same_intervention_frame_final,compatible,gold_consistent,clean_single_axis_edit,lexical_or_surface_artifact,input_representation_insensitivity,retain_as_diagnostic_only,1,5,4,True
museum_purchase__location_swap,control,none,location_swap,0,NOT_ENTITLED,M180-0036,orion_approval__location_swap,same_intervention_frame_final,incompatible,gold_consistent,clean_single_axis_edit,location_scope,cannot_determine,keep_unchanged,1,5,5,True
museum_purchase__none,hard,harmful_regression,none,1,SUPPORT,M180-0035,museum_purchase__none,same_intervention_frame_final,compatible,gold_consistent,canonical_control,other,input_representation_insensitivity,retain_as_diagnostic_only,1,5,4,True
orion_approval__location_swap,hard,beneficial_correction,location_swap,0,NOT_ENTITLED,M180-0036,orion_approval__location_swap,same_intervention_frame_final,incompatible,gold_consistent,clean_single_axis_edit,location_scope,downstream_final_boundary,retain_as_diagnostic_only,1,5,4,True
reef_protection__location_swap,hard,beneficial_correction,location_swap,0,NOT_ENTITLED,M180-0037,reef_protection__location_swap,same_intervention_frame_final,incompatible,gold_consistent,clean_single_axis_edit,location_scope,head_direction_or_readout,retain_as_diagnostic_only,1,5,4,True
reef_protection__none,control,none,none,1,SUPPORT,M180-0007,generated_fact_086__none,same_intervention_frame_final,compatible,gold_consistent,canonical_control,other,cannot_determine,keep_unchanged,1,5,5,True
satellite_launch__event_swap,hard,beneficial_correction,event_swap,0,NOT_ENTITLED,M180-0038,satellite_launch__event_swap,same_intervention_frame_final,incompatible,gold_consistent,clean_single_axis_edit,event_identity,downstream_final_boundary,retain_as_diagnostic_only,1,5,4,True
satellite_launch__location_swap,control,none,location_swap,0,NOT_ENTITLED,M180-0001,clinic_expansion__location_swap,same_intervention_frame_final,incompatible,gold_consistent,clean_single_axis_edit,location_scope,cannot_determine,keep_unchanged,1,5,5,True
satellite_launch__none,hard,harmful_regression,none,1,SUPPORT,M180-0039,satellite_launch__none,same_intervention_frame_final,compatible,gold_consistent,canonical_control,other,input_representation_insensitivity,retain_as_diagnostic_only,1,5,4,True
