review_instance_id,claim,evidence,claim_segment,evidence_segment,reviewer_id,independent_frame_judgment,pass1_confidence,pass1_rationale
R180-0011,"Professor Ismail Kaya, the regional coordinator, approved the Meridian initiative 87 in Aurora City during May.","Professor Ismail Kaya, the technical adviser, approved the Meridian initiative 87 in Aurora City during May.","Professor Ismail Kaya, the regional coordinator, approved the Meridian initiative 87 in Aurora City during May.","Professor Ismail Kaya, the technical adviser, approved the Meridian initiative 87 in Aurora City during May.",,,,
R180-0012,"Dr Helena Wu, the research lead, published the Meridian initiative 230 in Horizon Plains during March.","Dr Helena Wu, the research lead, published the Meridian initiative 230 in Horizon Plains during March.","Dr Helena Wu, the research lead, published the Meridian initiative 230 in Horizon Plains during March.","Dr Helena Wu, the research lead, published the Meridian initiative 230 in Horizon Plains during March.",,,,
R180-0013,"Minister Daria Volkova, the operations chief, delivered the Meridian initiative 238 in Horizon Plains during July.","Minister Daria Volkova, the operations chief, delivered the Meridian initiative 238 in Cedar Point during July.","Minister Daria Volkova, the operations chief, delivered the Meridian initiative 238 in Horizon Plains during July.","Minister Daria Volkova, the operations chief, delivered the Meridian initiative 238 in Cedar Point during July.",,,,
R180-0014,"Dr Helena Wu, the research lead, selected the Meridian initiative 86 in Horizon Plains during March.","Dr Helena Wu, the research lead, selected the Meridian initiative 86 in Horizon Plains during March.","Dr Helena Wu, the research lead, selected the Meridian initiative 86 in Horizon Plains during March.","Dr Helena Wu, the research lead, selected the Meridian initiative 86 in Horizon Plains during March.",,,,
R180-0015,"Professor Ismail Kaya, the regional coordinator, launched the Meridian initiative 39 in Aurora City during May.","Professor Ismail Kaya, the technical adviser, launched the Meridian initiative 39 in Aurora City during May.","Professor Ismail Kaya, the regional coordinator, launched the Meridian initiative 39 in Aurora City during May.","Professor Ismail Kaya, the technical adviser, launched the Meridian initiative 39 in Aurora City during May.",,,,
R180-0016,"Minister Daria Volkova, the operations chief, approved the Meridian initiative 262 in Horizon Plains during July.","Minister Daria Volkova, the operations chief, approved the Meridian initiative 262 in Horizon Plains during July.","Minister Daria Volkova, the operations chief, approved the Meridian initiative 262 in Horizon Plains during July.","Minister Daria Volkova, the operations chief, approved the Meridian initiative 262 in Horizon Plains during July.",,,,
R180-0017,"Minister Daria Volkova, the operations chief, published the Meridian initiative 118 in Horizon Plains during July.","Minister Daria Volkova, the operations chief, published the Meridian initiative 118 in Horizon Plains during July.","Minister Daria Volkova, the operations chief, published the Meridian initiative 118 in Horizon Plains during July.","Minister Daria Volkova, the operations chief, published the Meridian initiative 118 in Horizon Plains during July.",,,,
R180-0018,"Dr Helena Wu, the research lead, restored the Meridian initiative 110 in Horizon Plains during March.","Dr Avery Stone, the research lead, restored the Meridian initiative 110 in Horizon Plains during March.","Dr Helena Wu, the research lead, restored the Meridian initiative 110 in Horizon Plains during March.","Dr Avery Stone, the research lead, restored the Meridian initiative 110 in Horizon Plains during March.",,,,
R180-0019,"Commander Noah Kim, the mission chief, launched the Aurora satellite in Tanegashima during March.","Commander Noah Kim, the mission chief, launched the Aurora satellite in Tanegashima during March.","Commander Noah Kim, the mission chief, launched the Aurora satellite in Tanegashima during March.","Commander Noah Kim, the mission chief, launched the Aurora satellite in Tanegashima during March.",,,,
R180-0020,"Coordinator Farah Qureshi, the technical adviser, published the Meridian initiative 300 in Falcon Ridge during November.","Coordinator Farah Qureshi, the technical adviser, published the Meridian initiative 300 in Falcon Ridge during November.","Coordinator Farah Qureshi, the technical adviser, published the Meridian initiative 300 in Falcon Ridge during November.","Coordinator Farah Qureshi, the technical adviser, published the Meridian initiative 300 in Falcon Ridge during November.",,,,
R180-0021,"Dr Lina Moreau, the marine biologist, protected the Blue Reef reserve in Noumea during July.","Dr Lina Moreau, the marine biologist, protected the Blue Reef reserve in Noumea during July.","Dr Lina Moreau, the marine biologist, protected the Blue Reef reserve in Noumea during July.","Dr Lina Moreau, the marine biologist, protected the Blue Reef reserve in Noumea during July.",,,,
R180-0022,"Professor Ismail Kaya, the regional coordinator, launched the Meridian initiative 39 in Aurora City during May.","Professor Ismail Kaya, the regional coordinator, launched the Meridian initiative 39 in Delta Bay during May.","Professor Ismail Kaya, the regional coordinator, launched the Meridian initiative 39 in Aurora City during May.","Professor Ismail Kaya, the regional coordinator, launched the Meridian initiative 39 in Delta Bay during May.",,,,
R180-0023,"Professor Ismail Kaya, the regional coordinator, published the Meridian initiative 195 in Elm Valley during May.","Professor Ismail Kaya, the regional coordinator, published the Meridian initiative 195 in Elm Valley during May.","Professor Ismail Kaya, the regional coordinator, published the Meridian initiative 195 in Elm Valley during May.","Professor Ismail Kaya, the regional coordinator, published the Meridian initiative 195 in Elm Valley during May.",,,,
R180-0024,"Engineer Ethan Brooks, the project curator, published the Meridian initiative 83 in Elm Valley during September.","Engineer Ethan Brooks, the research lead, published the Meridian initiative 83 in Elm Valley during September.","Engineer Ethan Brooks, the project curator, published the Meridian initiative 83 in Elm Valley during September.","Engineer Ethan Brooks, the research lead, published the Meridian initiative 83 in Elm Valley during September.",,,,
R180-0025,"Dr Bianca Flores, the research lead, selected the Meridian initiative 128 in Beacon Harbor during March.","Dr Bianca Flores, the research lead, selected the Meridian initiative 128 in Elm Valley during March.","Dr Bianca Flores, the research lead, selected the Meridian initiative 128 in Beacon Harbor during March.","Dr Bianca Flores, the research lead, selected the Meridian initiative 128 in Elm Valley during March.",,,,
R180-0026,"Director Avery Stone, the program director, launched the Meridian initiative 151 in Aurora City during January.","Director Avery Stone, the operations chief, launched the Meridian initiative 151 in Aurora City during January.","Director Avery Stone, the program director, launched the Meridian initiative 151 in Aurora City during January.","Director Avery Stone, the operations chief, launched the Meridian initiative 151 in Aurora City during January.",,,,
R180-0027,"Dr Helena Wu, the research lead, selected the Meridian initiative 86 in Horizon Plains during March.","Dr Helena Wu, the research lead, selected the Meridian initiative 86 in Horizon Plains during March.","Dr Helena Wu, the research lead, selected the Meridian initiative 86 in Horizon Plains during March.","Dr Helena Wu, the research lead, selected the Meridian initiative 86 in Horizon Plains during March.",,,,
R180-0028,"Professor Chidi Eze, the regional coordinator, restored the Meridian initiative 285 in Granite Coast during May.","Professor Chidi Eze, the regional coordinator, restored the Meridian initiative 285 in Granite Coast during May.","Professor Chidi Eze, the regional coordinator, restored the Meridian initiative 285 in Granite Coast during May.","Professor Chidi Eze, the regional coordinator, restored the Meridian initiative 285 in Granite Coast during May.",,,,
R180-0029,"Professor Chidi Eze, the regional coordinator, published the Meridian initiative 153 in Cedar Point during May.","Professor Chidi Eze, the regional coordinator, published the Meridian initiative 153 in Falcon Ridge during May.","Professor Chidi Eze, the regional coordinator, published the Meridian initiative 153 in Cedar Point during May.","Professor Chidi Eze, the regional coordinator, published the Meridian initiative 153 in Falcon Ridge during May.",,,,
R180-0030,"Engineer Kwame Adu, the project curator, launched the Meridian initiative 221 in Granite Coast during September.","Engineer Kwame Adu, the research lead, launched the Meridian initiative 221 in Granite Coast during September.","Engineer Kwame Adu, the project curator, launched the Meridian initiative 221 in Granite Coast during September.","Engineer Kwame Adu, the research lead, launched the Meridian initiative 221 in Granite Coast during September.",,,,
R180-0031,"Dr Mira Chen, the director, approved the Orion project in Seoul during Monday.","Dr Mira Chen, the director, approved the Orion project in Busan during Monday.","Dr Mira Chen, the director, approved the Orion project in Seoul during Monday.","Dr Mira Chen, the director, approved the Orion project in Busan during Monday.",,,,
R180-0032,"Dr Helena Wu, the research lead, launched the Meridian initiative 158 in Horizon Plains during March.","Minister Avery Stone, the research lead, launched the Meridian initiative 158 in Horizon Plains during March.","Dr Helena Wu, the research lead, launched the Meridian initiative 158 in Horizon Plains during March.","Minister Avery Stone, the research lead, launched the Meridian initiative 158 in Horizon Plains during March.",,,,
R180-0033,"Minister Julia Novak, the operations chief, launched the Meridian initiative 172 in Falcon Ridge during July.","Minister Julia Novak, the operations chief, launched the Meridian initiative 172 in Aurora City during July.","Minister Julia Novak, the operations chief, launched the Meridian initiative 172 in Falcon Ridge during July.","Minister Julia Novak, the operations chief, launched the Meridian initiative 172 in Aurora City during July.",,,,
R180-0034,"Dr Bianca Flores, the research lead, approved the Meridian initiative 80 in Beacon Harbor during March.","Minister Gabriel Costa, the research lead, approved the Meridian initiative 80 in Beacon Harbor during March.","Dr Bianca Flores, the research lead, approved the Meridian initiative 80 in Beacon Harbor during March.","Minister Gabriel Costa, the research lead, approved the Meridian initiative 80 in Beacon Harbor during March.",,,,
R180-0035,"Professor Chidi Eze, the regional coordinator, approved the Meridian initiative 297 in Cedar Point during May.","Professor Chidi Eze, the regional coordinator, approved the Meridian initiative 297 in Cedar Point during May.","Professor Chidi Eze, the regional coordinator, approved the Meridian initiative 297 in Cedar Point during May.","Professor Chidi Eze, the regional coordinator, approved the Meridian initiative 297 in Cedar Point during May.",,,,
R180-0036,"Dr Helena Wu, the research lead, published the Meridian initiative 146 in Delta Bay during March.","Dr Helena Wu, the research lead, published the Meridian initiative 146 in Delta Bay during March.","Dr Helena Wu, the research lead, published the Meridian initiative 146 in Delta Bay during March.","Dr Helena Wu, the research lead, published the Meridian initiative 146 in Delta Bay during March.",,,,
R180-0037,"Coordinator Lucia Romano, the technical adviser, published the Meridian initiative 90 in Delta Bay during November.","Coordinator Lucia Romano, the technical adviser, published the Meridian initiative 90 in Granite Coast during November.","Coordinator Lucia Romano, the technical adviser, published the Meridian initiative 90 in Delta Bay during November.","Coordinator Lucia Romano, the technical adviser, published the Meridian initiative 90 in Granite Coast during November.",,,,
R180-0038,"Director Avery Stone, the program director, launched the Meridian initiative 151 in Aurora City during January.","Director Avery Stone, the operations chief, launched the Meridian initiative 151 in Aurora City during January.","Director Avery Stone, the program director, launched the Meridian initiative 151 in Aurora City during January.","Director Avery Stone, the operations chief, launched the Meridian initiative 151 in Aurora City during January.",,,,
R180-0039,"Ms Amina Okafor, the curator, purchased the bronze sculpture in Lagos during June.","Ms Amina Okafor, the curator, purchased the bronze sculpture in Abuja during June.","Ms Amina Okafor, the curator, purchased the bronze sculpture in Lagos during June.","Ms Amina Okafor, the curator, purchased the bronze sculpture in Abuja during June.",,,,
R180-0040,"Dr Helena Wu, the research lead, launched the Meridian initiative 158 in Horizon Plains during March.","Dr Helena Wu, the research lead, launched the Meridian initiative 158 in Cedar Point during March.","Dr Helena Wu, the research lead, launched the Meridian initiative 158 in Horizon Plains during March.","Dr Helena Wu, the research lead, launched the Meridian initiative 158 in Cedar Point during March.",,,,
R180-0041,"Director Avery Stone, the program director, published the Meridian initiative 55 in Aurora City during January.","Director Avery Stone, the program director, published the Meridian initiative 55 in Delta Bay during January.","Director Avery Stone, the program director, published the Meridian initiative 55 in Aurora City during January.","Director Avery Stone, the program director, published the Meridian initiative 55 in Delta Bay during January.",,,,
R180-0042,"Professor Ismail Kaya, the regional coordinator, restored the Meridian initiative 75 in Elm Valley during May.","During May in Elm Valley, Professor Ismail Kaya acting as regional coordinator restored the Meridian initiative 75.","Professor Ismail Kaya, the regional coordinator, restored the Meridian initiative 75 in Elm Valley during May.","During May in Elm Valley, Professor Ismail Kaya acting as regional coordinator restored the Meridian initiative 75.",,,,
R180-0043,"Dr Helena Wu, the research lead, restored the Meridian initiative 110 in Horizon Plains during March.","Dr Helena Wu, the project curator, restored the Meridian initiative 110 in Horizon Plains during March.","Dr Helena Wu, the research lead, restored the Meridian initiative 110 in Horizon Plains during March.","Dr Helena Wu, the project curator, restored the Meridian initiative 110 in Horizon Plains during March.",,,,
R180-0044,"Professor Ismail Kaya, the regional coordinator, restored the Meridian initiative 75 in Elm Valley during May.","During May in Elm Valley, Professor Ismail Kaya acting as regional coordinator restored the Meridian initiative 75.","Professor Ismail Kaya, the regional coordinator, restored the Meridian initiative 75 in Elm Valley during May.","During May in Elm Valley, Professor Ismail Kaya acting as regional coordinator restored the Meridian initiative 75.",,,,
R180-0045,"Engineer Ethan Brooks, the project curator, delivered the Meridian initiative 287 in Aurora City during September.","Engineer Ethan Brooks, the project curator, delivered the Meridian initiative 287 in Aurora City during September.","Engineer Ethan Brooks, the project curator, delivered the Meridian initiative 287 in Aurora City during September.","Engineer Ethan Brooks, the project curator, delivered the Meridian initiative 287 in Aurora City during September.",,,,
R180-0046,"Ms Amina Okafor, the curator, purchased the bronze sculpture in Lagos during June.","Ms Amina Okafor, the curator, purchased the bronze sculpture in Lagos during June.","Ms Amina Okafor, the curator, purchased the bronze sculpture in Lagos during June.","Ms Amina Okafor, the curator, purchased the bronze sculpture in Lagos during June.",,,,
R180-0047,"Dr Helena Wu, the research lead, launched the Meridian initiative 158 in Horizon Plains during March.","Dr Helena Wu, the project curator, launched the Meridian initiative 158 in Horizon Plains during March.","Dr Helena Wu, the research lead, launched the Meridian initiative 158 in Horizon Plains during March.","Dr Helena Wu, the project curator, launched the Meridian initiative 158 in Horizon Plains during March.",,,,
R180-0048,"Minister Tariq Rahman, the education minister, introduced the bilingual language program in Dhaka during July.","During July in Dhaka, Minister Tariq Rahman acting as education minister introduced the bilingual language program.","Minister Tariq Rahman, the education minister, introduced the bilingual language program in Dhaka during July.","During July in Dhaka, Minister Tariq Rahman acting as education minister introduced the bilingual language program.",,,,
R180-0049,"Coordinator Farah Qureshi, the technical adviser, published the Meridian initiative 300 in Falcon Ridge during November.","Coordinator Farah Qureshi, the technical adviser, published the Meridian initiative 300 in Falcon Ridge during November.","Coordinator Farah Qureshi, the technical adviser, published the Meridian initiative 300 in Falcon Ridge during November.","Coordinator Farah Qureshi, the technical adviser, published the Meridian initiative 300 in Falcon Ridge during November.",,,,
R180-0050,"Director Avery Stone, the program director, published the Meridian initiative 55 in Aurora City during January.","Director Avery Stone, the program director, published the Meridian initiative 55 in Aurora City during January.","Director Avery Stone, the program director, published the Meridian initiative 55 in Aurora City during January.","Director Avery Stone, the program director, published the Meridian initiative 55 in Aurora City during January.",,,,
R180-0051,"Director Avery Stone, the program director, restored the Meridian initiative 271 in Aurora City during January.","Director Avery Stone, the program director, restored the Meridian initiative 271 in Delta Bay during January.","Director Avery Stone, the program director, restored the Meridian initiative 271 in Aurora City during January.","Director Avery Stone, the program director, restored the Meridian initiative 271 in Delta Bay during January.",,,,
R180-0052,"Coordinator Lucia Romano, the technical adviser, published the Meridian initiative 90 in Delta Bay during November.","Coordinator Lucia Romano, the technical adviser, published the Meridian initiative 90 in Delta Bay during November.","Coordinator Lucia Romano, the technical adviser, published the Meridian initiative 90 in Delta Bay during November.","Coordinator Lucia Romano, the technical adviser, published the Meridian initiative 90 in Delta Bay during November.",,,,
R180-0053,"Professor Ismail Kaya, the regional coordinator, selected the Meridian initiative 135 in Aurora City during May.","Professor Ismail Kaya, the technical adviser, selected the Meridian initiative 135 in Aurora City during May.","Professor Ismail Kaya, the regional coordinator, selected the Meridian initiative 135 in Aurora City during May.","Professor Ismail Kaya, the technical adviser, selected the Meridian initiative 135 in Aurora City during May.",,,,
R180-0054,"Commander Noah Kim, the mission chief, launched the Aurora satellite in Tanegashima during March.","Commander Noah Kim, the mission chief, launched the Aurora satellite in Tanegashima during March.","Commander Noah Kim, the mission chief, launched the Aurora satellite in Tanegashima during March.","Commander Noah Kim, the mission chief, launched the Aurora satellite in Tanegashima during March.",,,,
R180-0055,"Dr Helena Wu, the research lead, selected the Meridian initiative 86 in Horizon Plains during March.","Dr Avery Stone, the research lead, selected the Meridian initiative 86 in Horizon Plains during March.","Dr Helena Wu, the research lead, selected the Meridian initiative 86 in Horizon Plains during March.","Dr Avery Stone, the research lead, selected the Meridian initiative 86 in Horizon Plains during March.",,,,
R180-0056,"Professor Chidi Eze, the regional coordinator, approved the Meridian initiative 297 in Cedar Point during May.","Professor Chidi Eze, the regional coordinator, approved the Meridian initiative 297 in Cedar Point during May.","Professor Chidi Eze, the regional coordinator, approved the Meridian initiative 297 in Cedar Point during May.","Professor Chidi Eze, the regional coordinator, approved the Meridian initiative 297 in Cedar Point during May.",,,,
R180-0057,"Engineer Kwame Adu, the project curator, delivered the Meridian initiative 161 in Cedar Point during September.","Engineer Kwame Adu, the project curator, delivered the Meridian initiative 161 in Falcon Ridge during September.","Engineer Kwame Adu, the project curator, delivered the Meridian initiative 161 in Cedar Point during September.","Engineer Kwame Adu, the project curator, delivered the Meridian initiative 161 in Falcon Ridge during September.",,,,
R180-0058,"Engineer Kwame Adu, the project curator, restored the Meridian initiative 89 in Cedar Point during September.","Engineer Kwame Adu, the project curator, restored the Meridian initiative 89 in Cedar Point during September.","Engineer Kwame Adu, the project curator, restored the Meridian initiative 89 in Cedar Point during September.","Engineer Kwame Adu, the project curator, restored the Meridian initiative 89 in Cedar Point during September.",,,,
R180-0059,"Professor Ismail Kaya, the regional coordinator, launched the Meridian initiative 39 in Aurora City during May.","Engineer Bianca Flores, the regional coordinator, launched the Meridian initiative 39 in Aurora City during May.","Professor Ismail Kaya, the regional coordinator, launched the Meridian initiative 39 in Aurora City during May.","Engineer Bianca Flores, the regional coordinator, launched the Meridian initiative 39 in Aurora City during May.",,,,
R180-0060,"Engineer Kwame Adu, the project curator, restored the Meridian initiative 89 in Cedar Point during September.","Engineer Kwame Adu, the project curator, restored the Meridian initiative 89 in Falcon Ridge during September.","Engineer Kwame Adu, the project curator, restored the Meridian initiative 89 in Cedar Point during September.","Engineer Kwame Adu, the project curator, restored the Meridian initiative 89 in Falcon Ridge during September.",,,,
R180-0061,"Dr Helena Wu, the research lead, published the Meridian initiative 146 in Delta Bay during March.","Dr Helena Wu, the research lead, published the Horizon initiative 146 in Delta Bay during March.","Dr Helena Wu, the research lead, published the Meridian initiative 146 in Delta Bay during March.","Dr Helena Wu, the research lead, published the Horizon initiative 146 in Delta Bay during March.",,,,
R180-0062,"Engineer Ethan Brooks, the project curator, approved the Meridian initiative 227 in Elm Valley during September.","Director Julia Novak, the project curator, approved the Meridian initiative 227 in Elm Valley during September.","Engineer Ethan Brooks, the project curator, approved the Meridian initiative 227 in Elm Valley during September.","Director Julia Novak, the project curator, approved the Meridian initiative 227 in Elm Valley during September.",,,,
R180-0063,"Director Avery Stone, the program director, restored the Meridian initiative 271 in Aurora City during January.","Director Avery Stone, the operations chief, restored the Meridian initiative 271 in Aurora City during January.","Director Avery Stone, the program director, restored the Meridian initiative 271 in Aurora City during January.","Director Avery Stone, the operations chief, restored the Meridian initiative 271 in Aurora City during January.",,,,
R180-0064,"Minister Daria Volkova, the operations chief, opened the Meridian initiative 274 in Delta Bay during July.","Minister Daria Volkova, the operations chief, opened the Meridian initiative 274 in Delta Bay during July.","Minister Daria Volkova, the operations chief, opened the Meridian initiative 274 in Delta Bay during July.","Minister Daria Volkova, the operations chief, opened the Meridian initiative 274 in Delta Bay during July.",,,,
R180-0065,"Coordinator Lucia Romano, the technical adviser, opened the Meridian initiative 78 in Horizon Plains during November.","Coordinator Lucia Romano, the technical adviser, did not opened the Meridian initiative 78 in Horizon Plains during November.","Coordinator Lucia Romano, the technical adviser, opened the Meridian initiative 78 in Horizon Plains during November.","Coordinator Lucia Romano, the technical adviser, did not opened the Meridian initiative 78 in Horizon Plains during November.",,,,
R180-0066,"Engineer Kwame Adu, the project curator, restored the Meridian initiative 257 in Cedar Point during September.","Engineer Kwame Adu, the project curator, restored the Meridian initiative 257 in Cedar Point during September.","Engineer Kwame Adu, the project curator, restored the Meridian initiative 257 in Cedar Point during September.","Engineer Kwame Adu, the project curator, restored the Meridian initiative 257 in Cedar Point during September.",,,,
R180-0067,"Engineer Kwame Adu, the project curator, delivered the Meridian initiative 161 in Cedar Point during September.","Engineer Kwame Adu, the project curator, delivered the Meridian initiative 161 in Cedar Point during September.","Engineer Kwame Adu, the project curator, delivered the Meridian initiative 161 in Cedar Point during September.","Engineer Kwame Adu, the project curator, delivered the Meridian initiative 161 in Cedar Point during September.",,,,
R180-0068,"Dr Helena Wu, the research lead, published the Meridian initiative 230 in Horizon Plains during March.","Minister Avery Stone, the research lead, published the Meridian initiative 230 in Horizon Plains during March.","Dr Helena Wu, the research lead, published the Meridian initiative 230 in Horizon Plains during March.","Minister Avery Stone, the research lead, published the Meridian initiative 230 in Horizon Plains during March.",,,,
R180-0069,"Minister Daria Volkova, the operations chief, restored the Meridian initiative 166 in Horizon Plains during July.","Minister Daria Volkova, the operations chief, restored the Meridian initiative 166 in Horizon Plains during July.","Minister Daria Volkova, the operations chief, restored the Meridian initiative 166 in Horizon Plains during July.","Minister Daria Volkova, the operations chief, restored the Meridian initiative 166 in Horizon Plains during July.",,,,
R180-0070,"Professor Ismail Kaya, the regional coordinator, restored the Meridian initiative 75 in Elm Valley during May.","Professor Ismail Kaya, the regional coordinator, restored the Meridian initiative 75 in Horizon Plains during May.","Professor Ismail Kaya, the regional coordinator, restored the Meridian initiative 75 in Elm Valley during May.","Professor Ismail Kaya, the regional coordinator, restored the Meridian initiative 75 in Horizon Plains during May.",,,,
R180-0071,"Coordinator Lucia Romano, the technical adviser, opened the Meridian initiative 78 in Horizon Plains during November.","Coordinator Lucia Romano, the technical adviser, opened the Meridian initiative 78 in Cedar Point during November.","Coordinator Lucia Romano, the technical adviser, opened the Meridian initiative 78 in Horizon Plains during November.","Coordinator Lucia Romano, the technical adviser, opened the Meridian initiative 78 in Cedar Point during November.",,,,
R180-0072,"Dr Helena Wu, the research lead, published the Meridian initiative 146 in Delta Bay during March.","Dr Helena Wu, the research lead, published the Meridian initiative 146 in Granite Coast during March.","Dr Helena Wu, the research lead, published the Meridian initiative 146 in Delta Bay during March.","Dr Helena Wu, the research lead, published the Meridian initiative 146 in Granite Coast during March.",,,,
R180-0073,"Engineer Ethan Brooks, the project curator, published the Meridian initiative 83 in Elm Valley during September.","Engineer Ethan Brooks, the project curator, published the Meridian initiative 83 in Elm Valley during September.","Engineer Ethan Brooks, the project curator, published the Meridian initiative 83 in Elm Valley during September.","Engineer Ethan Brooks, the project curator, published the Meridian initiative 83 in Elm Valley during September.",,,,
R180-0074,"Dr Helena Wu, the research lead, published the Meridian initiative 230 in Horizon Plains during March.","Dr Helena Wu, the research lead, published the Meridian initiative 230 in Horizon Plains during March.","Dr Helena Wu, the research lead, published the Meridian initiative 230 in Horizon Plains during March.","Dr Helena Wu, the research lead, published the Meridian initiative 230 in Horizon Plains during March.",,,,
R180-0075,"Coordinator Lucia Romano, the technical adviser, restored the Meridian initiative 138 in Delta Bay during November.","Coordinator Lucia Romano, the technical adviser, restored the Meridian initiative 138 in Granite Coast during November.","Coordinator Lucia Romano, the technical adviser, restored the Meridian initiative 138 in Delta Bay during November.","Coordinator Lucia Romano, the technical adviser, restored the Meridian initiative 138 in Granite Coast during November.",,,,
R180-0076,"Engineer Ethan Brooks, the project curator, approved the Meridian initiative 227 in Elm Valley during September.","Engineer Ethan Brooks, the project curator, approved the Meridian initiative 227 in Elm Valley during September.","Engineer Ethan Brooks, the project curator, approved the Meridian initiative 227 in Elm Valley during September.","Engineer Ethan Brooks, the project curator, approved the Meridian initiative 227 in Elm Valley during September.",,,,
R180-0077,"Dr Sofia Marin, the clinic chief, expanded the rural clinic in Valencia during Wednesday.","Dr Sofia Marin, the clinic chief, expanded the rural clinic in Alicante during Wednesday.","Dr Sofia Marin, the clinic chief, expanded the rural clinic in Valencia during Wednesday.","Dr Sofia Marin, the clinic chief, expanded the rural clinic in Alicante during Wednesday.",,,,
R180-0078,"Dr Bianca Flores, the research lead, approved the Meridian initiative 80 in Beacon Harbor during March.","Dr Bianca Flores, the research lead, approved the Meridian initiative 80 in Elm Valley during March.","Dr Bianca Flores, the research lead, approved the Meridian initiative 80 in Beacon Harbor during March.","Dr Bianca Flores, the research lead, approved the Meridian initiative 80 in Elm Valley during March.",,,,
R180-0079,"Professor Chidi Eze, the regional coordinator, opened the Meridian initiative 225 in Cedar Point during May.","Professor Chidi Eze, the regional coordinator, opened the Meridian initiative 225 in Falcon Ridge during May.","Professor Chidi Eze, the regional coordinator, opened the Meridian initiative 225 in Cedar Point during May.","Professor Chidi Eze, the regional coordinator, opened the Meridian initiative 225 in Falcon Ridge during May.",,,,
