review_instance_id,dataset_native_frame_label,intervention_type,canonical_none_claim,canonical_none_evidence,stage176_cohort,native_frame_prediction,native_frame_logit,native_frame_probability,final_prediction,gold_final_label,frame_head_projection,representation_movement_from_none,stage179_centroid_prediction,stage179_centroid_correct,matched_control_review_instance_id,matched_control_match_level,matched_control_claim,matched_control_evidence,matched_control_native_frame_label,matched_control_final_gold_label,matched_control_frame_prediction,matched_control_frame_logit,matched_control_frame_prob
R180-0035,1,polarity_flip,"Professor Chidi Eze, the regional coordinator, approved the Meridian initiative 297 in Cedar Point during May.","Professor Chidi Eze, the regional coordinator, did not approved the Meridian initiative 297 in Cedar Point during May.",none,1,0.09223845601081848,0.5230432748794556,,SUPPORT,0.1015738695859909,9.44472885131836,0,False,,,,,,,,,
R180-0036,1,none,"Dr Helena Wu, the research lead, published the Meridian initiative 146 in Delta Bay during March.","Dr Helena Wu, the research lead, published the Meridian initiative 146 in Delta Bay during March.",harmful_regression,0,-0.2902115285396576,0.4279520809650421,SUPPORT,SUPPORT,-0.5534644722938538,0.0,0,False,R180-0058,same_intervention_frame_final,"Engineer Kwame Adu, the project curator, restored the Meridian initiative 89 in Cedar Point during September.","Engineer Kwame Adu, the project curator, restored the Meridian initiative 89 in Cedar Point during September.",1,SUPPORT,1,0.28916680812835693,0.5717921257019043
R180-0037,0,location_swap,"Coordinator Lucia Romano, the technical adviser, published the Meridian initiative 90 in Delta Bay during November.","Coordinator Lucia Romano, the technical adviser, published the Meridian initiative 90 in Delta Bay during November.",beneficial_correction,0,-0.5020459890365601,0.3770599961280823,SUPPORT,NOT_ENTITLED,-0.9162821173667908,1.1824461221694946,0,True,R180-0075,same_intervention_frame_final,"Coordinator Lucia Romano, the technical adviser, restored the Meridian initiative 138 in Delta Bay during November.","Coordinator Lucia Romano, the technical adviser, restored the Meridian initiative 138 in Granite Coast during November.",0,NOT_ENTITLED,0,-0.06519772112369537,0.48370635509490967
R180-0038,0,role_swap,"Director Avery Stone, the program director, launched the Meridian initiative 151 in Aurora City during January.","Director Avery Stone, the program director, did not launched the Meridian initiative 151 in Aurora City during January.",none,0,-0.6411752700805664,0.344980925321579,,NOT_ENTITLED,-1.1545748710632324,11.259472846984863,0,True,,,,,,,,,
R180-0039,0,location_swap,"Ms Amina Okafor, the curator, purchased the bronze sculpture in Lagos during June.","Ms Amina Okafor, the curator, purchased the bronze sculpture in Lagos during June.",none,0,-0.7110809683799744,0.3293600082397461,,NOT_ENTITLED,-1.2743054628372192,1.538626790046692,0,True,,,,,,,,,
R180-0040,0,location_swap,"Dr Helena Wu, the research lead, launched the Meridian initiative 158 in Horizon Plains during March.","Dr Helena Wu, the research lead, did not launched the Meridian initiative 158 in Horizon Plains during March.",beneficial_correction,0,-0.2684973478317261,0.4332760274410248,SUPPORT,NOT_ENTITLED,-0.5162737965583801,9.7350435256958,0,True,R180-0072,same_intervention_frame_final,"Dr Helena Wu, the research lead, published the Meridian initiative 146 in Delta Bay during March.","Dr Helena Wu, the research lead, published the Meridian initiative 146 in Granite Coast during March.",0,NOT_ENTITLED,0,-0.03204714134335518,0.4919889271259308
R180-0041,0,location_swap,"Director Avery Stone, the program director, published the Meridian initiative 55 in Aurora City during January.","Director Avery Stone, the program director, published the Meridian initiative 55 in Aurora City during January.",none,0,-0.7257060408592224,0.3261377215385437,,NOT_ENTITLED,-1.2993543148040771,1.608200192451477,0,True,,,,,,,,,
R180-0042,1,paraphrase,"Professor Ismail Kaya, the regional coordinator, restored the Meridian initiative 75 in Elm Valley during May.","Professor Ismail Kaya, the regional coordinator, restored the Meridian initiative 75 in Elm Valley during May.",none,1,0.5787363052368164,0.6407765746116638,,SUPPORT,0.9348195791244507,3.924337387084961,0,False,,,,,,,,,
R180-0043,0,role_swap,"Dr Helena Wu, the research lead, restored the Meridian initiative 110 in Horizon Plains during March.","Dr Helena Wu, the research lead, restored the Meridian initiative 110 in Horizon Plains during March.",none,0,-0.22121994197368622,0.4449194669723511,,NOT_ENTITLED,-0.4352996051311493,1.580836534500122,0,True,,,,,,,,,
R180-0044,1,paraphrase,"Professor Ismail Kaya, the regional coordinator, restored the Meridian initiative 75 in Elm Valley during May.","Professor Ismail Kaya, the regional coordinator, restored the Meridian initiative 75 in Elm Valley during May.",none,1,0.5787363052368164,0.6407765746116638,,SUPPORT,0.9348195791244507,3.924337387084961,0,False,,,,,,,,,
R180-0045,1,polarity_flip,"Engineer Ethan Brooks, the project curator, delivered the Meridian initiative 287 in Aurora City during September.","Engineer Ethan Brooks, the project curator, did not delivered the Meridian initiative 287 in Aurora City during September.",harmful_regression,0,-0.33283570408821106,0.41755083203315735,SUPPORT,SUPPORT,-0.6264687180519104,10.203622817993164,0,False,R180-0067,same_intervention_frame_final,"Engineer Kwame Adu, the project curator, delivered the Meridian initiative 161 in Cedar Point during September.","Engineer Kwame Adu, the project curator, delivered the Meridian initiative 161 in Cedar Point during September.",1,SUPPORT,1,0.12521184980869293,0.5312621593475342
R180-0046,1,none,"Ms Amina Okafor, the curator, purchased the bronze sculpture in Lagos during June.","Ms Amina Okafor, the curator, purchased the bronze sculpture in Lagos during June.",harmful_regression,0,-0.4341762363910675,0.39312952756881714,SUPPORT,SUPPORT,-0.8000388145446777,0.0,0,False,R180-0008,same_intervention_frame_final,"Director Avery Stone, the program director, approved the Meridian initiative 115 in Elm Valley during January.","Director Avery Stone, the program director, approved the Meridian initiative 115 in Elm Valley during January.",1,SUPPORT,1,0.09749273955821991,0.5243539214134216
R180-0047,0,role_swap,"Dr Helena Wu, the research lead, launched the Meridian initiative 158 in Horizon Plains during March.","Dr Helena Wu, the research lead, did not launched the Meridian initiative 158 in Horizon Plains during March.",beneficial_correction,0,-0.6364546418190002,0.34604841470718384,SUPPORT,NOT_ENTITLED,-1.1464896202087402,10.091978073120117,0,True,R180-0043,same_intervention_frame_final,"Dr Helena Wu, the research lead, restored the Meridian initiative 110 in Horizon Plains during March.","Dr Helena Wu, the project curator, restored the Meridian initiative 110 in Horizon Plains during March.",0,NOT_ENTITLED,0,-0.22121994197368622,0.4449194669723511
R180-0048,1,paraphrase,"Minister Tariq Rahman, the education minister, introduced the bilingual language program in Dhaka during July.","Minister Tariq Rahman, the education minister, introduced the bilingual language program in Dhaka during July.",harmful_regression,0,-0.6545320153236389,0.34196898341178894,SUPPORT,SUPPORT,-1.177451491355896,2.0871856212615967,0,False,R180-0042,same_intervention_frame_final,"Professor Ismail Kaya, the regional coordinator, restored the Meridian initiative 75 in Elm Valley during May.","During May in Elm Valley, Professor Ismail Kaya acting as regional coordinator restored the Meridian initiative 75.",1,SUPPORT,1,0.5787363052368164,0.6407765746116638
R180-0049,1,polarity_flip,"Coordinator Farah Qureshi, the technical adviser, published the Meridian initiative 300 in Falcon Ridge during November.","Coordinator Farah Qureshi, the technical adviser, did not published the Meridian initiative 300 in Falcon Ridge during November.",harmful_regression,0,-0.6395556926727295,0.34534698724746704,SUPPORT,SUPPORT,-1.1518008708953857,11.714016914367676,0,False,R180-0065,same_intervention_frame,"Coordinator Lucia Romano, the technical adviser, opened the Meridian initiative 78 in Horizon Plains during November.","Coordinator Lucia Romano, the technical adviser, did not opened the Meridian initiative 78 in Horizon Plains during November.",1,REFUTE,1,2.3361997604370117,0.9118310809135437
R180-0050,1,none,"Director Avery Stone, the program director, published the Meridian initiative 55 in Aurora City during January.","Director Avery Stone, the program director, published the Meridian initiative 55 in Aurora City during January.",harmful_regression,0,-0.6304675936698914,0.34740450978279114,SUPPORT,SUPPORT,-1.1362354755401611,0.0,0,False,R180-0010,same_intervention_frame_final,"Professor Chidi Eze, the regional coordinator, approved the Meridian initiative 45 in Granite Coast during May.","Professor Chidi Eze, the regional coordinator, approved the Meridian initiative 45 in Granite Coast during May.",1,SUPPORT,1,0.0868358463048935,0.5216953158378601
R180-0051,0,location_swap,"Director Avery Stone, the program director, restored the Meridian initiative 271 in Aurora City during January.","Director Avery Stone, the program director, did not restored the Meridian initiative 271 in Aurora City during January.",beneficial_correction,0,-0.31030264496803284,0.42304089665412903,SUPPORT,NOT_ENTITLED,-0.587875247001648,10.934847831726074,0,True,R180-0022,same_intervention_frame_final,"Professor Ismail Kaya, the regional coordinator, launched the Meridian initiative 39 in Aurora City during May.","Professor Ismail Kaya, the regional coordinator, launched the Meridian initiative 39 in Delta Bay during May.",0,NOT_ENTITLED,0,-1.3045529127120972,0.2133997529745102
R180-0052,1,none,"Coordinator Lucia Romano, the technical adviser, published the Meridian initiative 90 in Delta Bay during November.","Coordinator Lucia Romano, the technical adviser, published the Meridian initiative 90 in Delta Bay during November.",harmful_regression,0,-0.6144053936004639,0.35105493664741516,SUPPORT,SUPPORT,-1.1087250709533691,0.0,0,False,R180-0017,same_intervention_frame_final,"Minister Daria Volkova, the operations chief, published the Meridian initiative 118 in Horizon Plains during July.","Minister Daria Volkova, the operations chief, published the Meridian initiative 118 in Horizon Plains during July.",1,SUPPORT,1,0.09834662079811096,0.5245668888092041
R180-0053,0,role_swap,"Professor Ismail Kaya, the regional coordinator, selected the Meridian initiative 135 in Aurora City during May.","Professor Ismail Kaya, the regional coordinator, selected the Meridian initiative 135 in Aurora City during May.",beneficial_correction,0,-0.5529402494430542,0.3651825487613678,SUPPORT,NOT_ENTITLED,-1.0034512281417847,2.2385120391845703,0,True,R180-0007,same_intervention_frame_final,"Professor Chidi Eze, the regional coordinator, launched the Meridian initiative 165 in Granite Coast during May.","Professor Chidi Eze, the technical adviser, launched the Meridian initiative 165 in Granite Coast during May.",0,NOT_ENTITLED,0,-0.21885369718074799,0.44550397992134094
R180-0054,1,none,"Commander Noah Kim, the mission chief, launched the Aurora satellite in Tanegashima during March.","Commander Noah Kim, the mission chief, launched the Aurora satellite in Tanegashima during March.",harmful_regression,0,-0.43736767768859863,0.3923683762550354,SUPPORT,SUPPORT,-0.8055051565170288,0.0,0,False,R180-0073,same_intervention_frame_final,"Engineer Ethan Brooks, the project curator, published the Meridian initiative 83 in Elm Valley during September.","Engineer Ethan Brooks, the project curator, published the Meridian initiative 83 in Elm Valley during September.",1,SUPPORT,1,0.05503981187939644,0.5137564539909363
R180-0055,0,entity_swap,"Dr Helena Wu, the research lead, selected the Meridian initiative 86 in Horizon Plains during March.","Dr Helena Wu, the research lead, selected the Meridian initiative 86 in Horizon Plains during March.",beneficial_correction,0,-0.32142409682273865,0.4203287363052368,SUPPORT,NOT_ENTITLED,-0.6069236993789673,1.4522666931152344,0,True,R180-0082,same_intervention_frame_final,"Dr Helena Wu, the research lead, launched the Meridian initiative 158 in Horizon Plains during March.","Dr Avery Stone, the research lead, launched the Meridian initiative 158 in Horizon Plains during March.",0,NOT_ENTITLED,0,-0.8597263693809509,0.2973965108394623
R180-0056,1,polarity_flip,"Professor Chidi Eze, the regional coordinator, approved the Meridian initiative 297 in Cedar Point during May.","Professor Chidi Eze, the regional coordinator, did not approved the Meridian initiative 297 in Cedar Point during May.",none,1,0.09223845601081848,0.5230432748794556,,SUPPORT,0.1015738695859909,9.44472885131836,0,False,,,,,,,,,
R180-0057,0,location_swap,"Engineer Kwame Adu, the project curator, delivered the Meridian initiative 161 in Cedar Point during September.","Engineer Kwame Adu, the project curator, did not delivered the Meridian initiative 161 in Cedar Point during September.",none,0,-0.16220593452453613,0.45953720808029175,,NOT_ENTITLED,-0.33422377705574036,10.395912170410156,0,True,,,,,,,,,
R180-0058,1,none,"Engineer Kwame Adu, the project curator, restored the Meridian initiative 89 in Cedar Point during September.","Engineer Kwame Adu, the project curator, restored the Meridian initiative 89 in Cedar Point during September.",none,1,0.28916680812835693,0.5717921257019043,,SUPPORT,0.43886157870292664,0.0,0,False,,,,,,,,,
