review_instance_id,stable_row_index,row_id,pair_id,item_role,stage176_cohort,intervention_type,native_frame_label,gold_final_label,match_link_id,matched_hard_row_id,match_level,is_repeat,repeat_group_id
R180-0018,230,generated_fact_110__entity_swap,generated_fact_110,hard,beneficial_correction,entity_swap,0,NOT_ENTITLED,M180-0011,generated_fact_110__entity_swap,same_intervention_frame_final,False,G180-0017
R180-0019,24,satellite_launch__none,satellite_launch,hard,harmful_regression,none,1,SUPPORT,M180-0039,satellite_launch__none,same_intervention_frame_final,True,G180-0003
R180-0020,719,generated_fact_300__polarity_flip,generated_fact_300,hard,harmful_regression,polarity_flip,1,SUPPORT,M180-0033,generated_fact_300__polarity_flip,same_intervention_frame,False,G180-0039
R180-0021,48,reef_protection__none,reef_protection,control,none,none,1,SUPPORT,M180-0007,generated_fact_086__none,same_intervention_frame_final,False,G180-0046
R180-0022,76,generated_fact_039__location_swap,generated_fact_039,control,none,location_swap,0,NOT_ENTITLED,M180-0028,generated_fact_271__location_swap,same_intervention_frame_final,False,G180-0067
R180-0023,491,generated_fact_195__polarity_flip,generated_fact_195,hard,harmful_regression,polarity_flip,1,SUPPORT,M180-0019,generated_fact_195__polarity_flip,same_intervention_frame_final,False,G180-0025
R180-0024,161,generated_fact_083__role_swap,generated_fact_083,hard,beneficial_correction,role_swap,0,NOT_ENTITLED,M180-0005,generated_fact_083__role_swap,same_intervention_frame_final,False,G180-0011
R180-0025,292,generated_fact_128__location_swap,generated_fact_128,control,none,location_swap,0,NOT_ENTITLED,M180-0004,generated_fact_080__location_swap,same_intervention_frame_final,True,G180-0043
R180-0026,353,generated_fact_151__role_swap,generated_fact_151,control,none,role_swap,0,NOT_ENTITLED,M180-0005,generated_fact_083__role_swap,same_intervention_frame_final,False,G180-0044
R180-0027,168,generated_fact_086__none,generated_fact_086,hard,harmful_regression,none,1,SUPPORT,M180-0007,generated_fact_086__none,same_intervention_frame_final,False,G180-0012
R180-0028,683,generated_fact_285__polarity_flip,generated_fact_285,control,none,polarity_flip,1,SUPPORT,M180-0027,generated_fact_262__polarity_flip,same_intervention_frame_final,False,G180-0066
R180-0029,364,generated_fact_153__location_swap,generated_fact_153,hard,beneficial_correction,location_swap,0,NOT_ENTITLED,M180-0014,generated_fact_153__location_swap,same_intervention_frame_final,False,G180-0020
R180-0030,521,generated_fact_221__role_swap,generated_fact_221,control,none,role_swap,0,NOT_ENTITLED,M180-0029,generated_fact_271__role_swap,same_intervention_frame_final,False,G180-0068
R180-0031,4,orion_approval__location_swap,orion_approval,hard,beneficial_correction,location_swap,0,NOT_ENTITLED,M180-0036,orion_approval__location_swap,same_intervention_frame_final,False,G180-0001
R180-0032,390,generated_fact_158__title_name_swap,generated_fact_158,hard,beneficial_correction,title_name_swap,0,NOT_ENTITLED,M180-0017,generated_fact_158__title_name_swap,same_intervention_frame_final,False,G180-0023
R180-0033,436,generated_fact_172__location_swap,generated_fact_172,control,none,location_swap,0,NOT_ENTITLED,M180-0018,generated_fact_176__location_swap,same_intervention_frame_final,False,G180-0057
R180-0034,150,generated_fact_080__title_name_swap,generated_fact_080,control,none,title_name_swap,0,NOT_ENTITLED,M180-0024,generated_fact_230__title_name_swap,same_intervention_frame_final,False,G180-0063
R180-0035,707,generated_fact_297__polarity_flip,generated_fact_297,control,none,polarity_flip,1,SUPPORT,M180-0031,generated_fact_274__polarity_flip,same_intervention_frame_final,True,G180-0070
R180-0036,336,generated_fact_146__none,generated_fact_146,hard,harmful_regression,none,1,SUPPORT,M180-0013,generated_fact_146__none,same_intervention_frame_final,False,G180-0019
R180-0037,208,generated_fact_090__location_swap,generated_fact_090,hard,beneficial_correction,location_swap,0,NOT_ENTITLED,M180-0009,generated_fact_090__location_swap,same_intervention_frame_final,False,G180-0016
R180-0038,353,generated_fact_151__role_swap,generated_fact_151,control,none,role_swap,0,NOT_ENTITLED,M180-0005,generated_fact_083__role_swap,same_intervention_frame_final,True,G180-0044
R180-0039,16,museum_purchase__location_swap,museum_purchase,control,none,location_swap,0,NOT_ENTITLED,M180-0036,orion_approval__location_swap,same_intervention_frame_final,False,G180-0075
R180-0040,388,generated_fact_158__location_swap,generated_fact_158,hard,beneficial_correction,location_swap,0,NOT_ENTITLED,M180-0015,generated_fact_158__location_swap,same_intervention_frame_final,False,G180-0021
R180-0041,100,generated_fact_055__location_swap,generated_fact_055,control,none,location_swap,0,NOT_ENTITLED,M180-0037,reef_protection__location_swap,same_intervention_frame_final,False,G180-0076
R180-0042,121,generated_fact_075__paraphrase,generated_fact_075,control,none,paraphrase,1,SUPPORT,M180-0034,language_program__paraphrase,same_intervention_frame_final,False,G180-0073
R180-0043,233,generated_fact_110__role_swap,generated_fact_110,control,none,role_swap,0,NOT_ENTITLED,M180-0016,generated_fact_158__role_swap,same_intervention_frame_final,False,G180-0055
R180-0044,121,generated_fact_075__paraphrase,generated_fact_075,control,none,paraphrase,1,SUPPORT,M180-0034,language_program__paraphrase,same_intervention_frame_final,True,G180-0073
R180-0045,695,generated_fact_287__polarity_flip,generated_fact_287,hard,harmful_regression,polarity_flip,1,SUPPORT,M180-0032,generated_fact_287__polarity_flip,same_intervention_frame_final,False,G180-0038
R180-0046,12,museum_purchase__none,museum_purchase,hard,harmful_regression,none,1,SUPPORT,M180-0035,museum_purchase__none,same_intervention_frame_final,False,G180-0002
R180-0047,389,generated_fact_158__role_swap,generated_fact_158,hard,beneficial_correction,role_swap,0,NOT_ENTITLED,M180-0016,generated_fact_158__role_swap,same_intervention_frame_final,False,G180-0022
R180-0048,61,language_program__paraphrase,language_program,hard,harmful_regression,paraphrase,1,SUPPORT,M180-0034,language_program__paraphrase,same_intervention_frame_final,False,G180-0007
R180-0049,719,generated_fact_300__polarity_flip,generated_fact_300,hard,harmful_regression,polarity_flip,1,SUPPORT,M180-0033,generated_fact_300__polarity_flip,same_intervention_frame,True,G180-0039
R180-0050,96,generated_fact_055__none,generated_fact_055,hard,harmful_regression,none,1,SUPPORT,M180-0002,generated_fact_055__none,same_intervention_frame_final,False,G180-0008
R180-0051,640,generated_fact_271__location_swap,generated_fact_271,hard,beneficial_correction,location_swap,0,NOT_ENTITLED,M180-0028,generated_fact_271__location_swap,same_intervention_frame_final,False,G180-0034
R180-0052,204,generated_fact_090__none,generated_fact_090,hard,harmful_regression,none,1,SUPPORT,M180-0010,generated_fact_090__none,same_intervention_frame_final,False,G180-0015
R180-0053,305,generated_fact_135__role_swap,generated_fact_135,hard,beneficial_correction,role_swap,0,NOT_ENTITLED,M180-0012,generated_fact_135__role_swap,same_intervention_frame_final,False,G180-0018
R180-0054,24,satellite_launch__none,satellite_launch,hard,harmful_regression,none,1,SUPPORT,M180-0039,satellite_launch__none,same_intervention_frame_final,False,G180-0003
R180-0055,170,generated_fact_086__entity_swap,generated_fact_086,hard,beneficial_correction,entity_swap,0,NOT_ENTITLED,M180-0006,generated_fact_086__entity_swap,same_intervention_frame_final,False,G180-0013
R180-0056,707,generated_fact_297__polarity_flip,generated_fact_297,control,none,polarity_flip,1,SUPPORT,M180-0031,generated_fact_274__polarity_flip,same_intervention_frame_final,False,G180-0070
R180-0057,400,generated_fact_161__location_swap,generated_fact_161,control,none,location_swap,0,NOT_ENTITLED,M180-0014,generated_fact_153__location_swap,same_intervention_frame_final,False,G180-0053
R180-0058,192,generated_fact_089__none,generated_fact_089,control,none,none,1,SUPPORT,M180-0013,generated_fact_146__none,same_intervention_frame_final,False,G180-0052
R180-0059,78,generated_fact_039__title_name_swap,generated_fact_039,control,none,title_name_swap,0,NOT_ENTITLED,M180-0021,generated_fact_227__title_name_swap,same_intervention_frame_final,False,G180-0060
R180-0060,196,generated_fact_089__location_swap,generated_fact_089,control,none,location_swap,0,NOT_ENTITLED,M180-0020,generated_fact_225__location_swap,same_intervention_frame_final,False,G180-0059
R180-0061,339,generated_fact_146__event_swap,generated_fact_146,control,none,event_swap,0,NOT_ENTITLED,M180-0038,satellite_launch__event_swap,same_intervention_frame_final,False,G180-0077
R180-0062,546,generated_fact_227__title_name_swap,generated_fact_227,hard,beneficial_correction,title_name_swap,0,NOT_ENTITLED,M180-0021,generated_fact_227__title_name_swap,same_intervention_frame_final,False,G180-0027
R180-0063,641,generated_fact_271__role_swap,generated_fact_271,hard,beneficial_correction,role_swap,0,NOT_ENTITLED,M180-0029,generated_fact_271__role_swap,same_intervention_frame_final,False,G180-0035
R180-0064,671,generated_fact_274__polarity_flip,generated_fact_274,hard,harmful_regression,polarity_flip,1,SUPPORT,M180-0031,generated_fact_274__polarity_flip,same_intervention_frame_final,False,G180-0037
R180-0065,143,generated_fact_078__polarity_flip,generated_fact_078,control,none,polarity_flip,1,REFUTE,M180-0033,generated_fact_300__polarity_flip,same_intervention_frame,False,G180-0072
R180-0066,611,generated_fact_257__polarity_flip,generated_fact_257,control,none,polarity_flip,1,SUPPORT,M180-0022,generated_fact_230__polarity_flip,same_intervention_frame_final,False,G180-0061
R180-0067,407,generated_fact_161__polarity_flip,generated_fact_161,control,none,polarity_flip,1,SUPPORT,M180-0032,generated_fact_287__polarity_flip,same_intervention_frame_final,False,G180-0071
R180-0068,558,generated_fact_230__title_name_swap,generated_fact_230,hard,beneficial_correction,title_name_swap,0,NOT_ENTITLED,M180-0024,generated_fact_230__title_name_swap,same_intervention_frame_final,False,G180-0029
R180-0069,431,generated_fact_166__polarity_flip,generated_fact_166,control,none,polarity_flip,1,SUPPORT,M180-0026,generated_fact_240__polarity_flip,same_intervention_frame_final,False,G180-0065
R180-0070,124,generated_fact_075__location_swap,generated_fact_075,control,none,location_swap,0,NOT_ENTITLED,M180-0030,generated_fact_273__location_swap,same_intervention_frame_final,False,G180-0069
R180-0071,136,generated_fact_078__location_swap,generated_fact_078,hard,beneficial_correction,location_swap,0,NOT_ENTITLED,M180-0003,generated_fact_078__location_swap,same_intervention_frame_final,False,G180-0009
R180-0072,340,generated_fact_146__location_swap,generated_fact_146,control,none,location_swap,0,NOT_ENTITLED,M180-0015,generated_fact_158__location_swap,same_intervention_frame_final,False,G180-0054
R180-0073,156,generated_fact_083__none,generated_fact_083,control,none,none,1,SUPPORT,M180-0039,satellite_launch__none,same_intervention_frame_final,False,G180-0078
R180-0074,563,generated_fact_230__polarity_flip,generated_fact_230,hard,harmful_regression,polarity_flip,1,SUPPORT,M180-0022,generated_fact_230__polarity_flip,same_intervention_frame_final,True,G180-0030
R180-0075,316,generated_fact_138__location_swap,generated_fact_138,control,none,location_swap,0,NOT_ENTITLED,M180-0009,generated_fact_090__location_swap,same_intervention_frame_final,False,G180-0048
R180-0076,551,generated_fact_227__polarity_flip,generated_fact_227,control,none,polarity_flip,1,SUPPORT,M180-0019,generated_fact_195__polarity_flip,same_intervention_frame_final,False,G180-0058
R180-0077,40,clinic_expansion__location_swap,clinic_expansion,hard,beneficial_correction,location_swap,0,NOT_ENTITLED,M180-0001,clinic_expansion__location_swap,same_intervention_frame_final,False,G180-0005
R180-0078,148,generated_fact_080__location_swap,generated_fact_080,hard,beneficial_correction,location_swap,0,NOT_ENTITLED,M180-0004,generated_fact_080__location_swap,same_intervention_frame_final,False,G180-0010
R180-0079,532,generated_fact_225__location_swap,generated_fact_225,hard,beneficial_correction,location_swap,0,NOT_ENTITLED,M180-0020,generated_fact_225__location_swap,same_intervention_frame_final,False,G180-0026
R180-0080,112,generated_fact_073__location_swap,generated_fact_073,control,none,location_swap,0,NOT_ENTITLED,M180-0025,generated_fact_238__location_swap,same_intervention_frame_final,False,G180-0064
R180-0081,28,satellite_launch__location_swap,satellite_launch,control,none,location_swap,0,NOT_ENTITLED,M180-0001,clinic_expansion__location_swap,same_intervention_frame_final,False,G180-0040
R180-0082,386,generated_fact_158__entity_swap,generated_fact_158,control,none,entity_swap,0,NOT_ENTITLED,M180-0006,generated_fact_086__entity_swap,same_intervention_frame_final,False,G180-0045
R180-0083,652,generated_fact_273__location_swap,generated_fact_273,hard,beneficial_correction,location_swap,0,NOT_ENTITLED,M180-0030,generated_fact_273__location_swap,same_intervention_frame_final,False,G180-0036
R180-0084,460,generated_fact_176__location_swap,generated_fact_176,hard,beneficial_correction,location_swap,0,NOT_ENTITLED,M180-0018,generated_fact_176__location_swap,same_intervention_frame_final,False,G180-0024
R180-0085,461,generated_fact_176__role_swap,generated_fact_176,control,none,role_swap,0,NOT_ENTITLED,M180-0023,generated_fact_230__role_swap,same_intervention_frame_final,False,G180-0062
R180-0086,234,generated_fact_110__title_name_swap,generated_fact_110,control,none,title_name_swap,0,NOT_ENTITLED,M180-0017,generated_fact_158__title_name_swap,same_intervention_frame_final,False,G180-0056
