review_instance_id,reviewer_id,gold_frame_assessment,intervention_validity,primary_semantic_phenomenon,diagnostic_failure_locus,recommended_data_action,pass2_confidence,pass2_rationale
R180-0012,chatgpt_pass2,gold_consistent,unnatural_or_broken_text,polarity,data_or_intervention_design,redesign_intervention,5,블라인드 판단과 native frame label이 일치한다. 그러나 canonical none 문장이 'did not + 과거형' 비문이며 현재 변형과 비교하면 문법/극성까지 함께 달라져 polarity_flip의 단일축 편집 계약이 오염되므로 생성 규칙 재설계가 필요하다.
R180-0013,chatgpt_pass2,gold_consistent,unnatural_or_broken_text,location_scope,data_or_intervention_design,redesign_intervention,5,블라인드 판단과 native frame label이 일치한다. 그러나 canonical none 문장이 'did not + 과거형' 비문이며 현재 변형과 비교하면 문법/극성까지 함께 달라져 location_swap의 단일축 편집 계약이 오염되므로 생성 규칙 재설계가 필요하다.
R180-0014,chatgpt_pass2,gold_consistent,canonical_control,other,input_representation_insensitivity,retain_as_diagnostic_only,4,블라인드 판단과 gold frame label은 compatible로 일치하고 입력도 유효하다. native frame head와 gold-conditioned centroid가 모두 incompatible로 오판해 frame-compatible 신호가 head 입력 표현에서 충분히 분리되지 않은 모델측 실패로 본다.
R180-0015,chatgpt_pass2,gold_consistent,clean_single_axis_edit,role_relation,cannot_determine,keep_unchanged,5,블라인드 판단과 native frame label이 일치하고 role_swap가 의도한 role_relation 차이만 명확히 만든다. Native frame head도 맞혔으므로 그대로 유지한다.
R180-0016,chatgpt_pass2,gold_consistent,unnatural_or_broken_text,polarity,data_or_intervention_design,redesign_intervention,5,블라인드 판단과 native frame label이 일치한다. 그러나 canonical none 문장이 'did not + 과거형' 비문이며 현재 변형과 비교하면 문법/극성까지 함께 달라져 polarity_flip의 단일축 편집 계약이 오염되므로 생성 규칙 재설계가 필요하다.
R180-0017,chatgpt_pass2,gold_consistent,canonical_control,other,cannot_determine,keep_unchanged,5,블라인드 판단과 native frame label이 일치하고 claim과 evidence가 동일한 canonical control이다. Native frame head도 맞혔으므로 별도의 failure locus는 판정하지 않고 유지한다.
R180-0018,chatgpt_pass2,gold_consistent,clean_single_axis_edit,entity_identity,downstream_final_boundary,retain_as_diagnostic_only,4,"블라인드 판단과 gold frame label은 일치하고 entity_swap 편집도 명확하다. native frame head는 올바르게 frame incompatibility를 감지했지만 최종 예측은 SUPPORT로 남아, 주된 실패는 downstream final boundary에 있다."
R180-0019,chatgpt_pass2,gold_consistent,canonical_control,other,input_representation_insensitivity,retain_as_diagnostic_only,4,블라인드 판단과 gold frame label은 compatible로 일치하고 입력도 유효하다. native frame head와 gold-conditioned centroid가 모두 incompatible로 오판해 frame-compatible 신호가 head 입력 표현에서 충분히 분리되지 않은 모델측 실패로 본다.
R180-0020,chatgpt_pass2,gold_consistent,unnatural_or_broken_text,polarity,data_or_intervention_design,redesign_intervention,5,블라인드 판단과 native frame label이 일치한다. 그러나 canonical none 문장이 'did not + 과거형' 비문이며 현재 변형과 비교하면 문법/극성까지 함께 달라져 polarity_flip의 단일축 편집 계약이 오염되므로 생성 규칙 재설계가 필요하다.
R180-0021,chatgpt_pass2,gold_consistent,canonical_control,other,cannot_determine,keep_unchanged,5,블라인드 판단과 native frame label이 일치하고 claim과 evidence가 동일한 canonical control이다. Native frame head도 맞혔으므로 별도의 failure locus는 판정하지 않고 유지한다.
R180-0022,chatgpt_pass2,gold_consistent,clean_single_axis_edit,location_scope,cannot_determine,keep_unchanged,5,블라인드 판단과 native frame label이 일치하고 location_swap가 의도한 location_scope 차이만 명확히 만든다. Native frame head도 맞혔으므로 그대로 유지한다.
R180-0023,chatgpt_pass2,gold_consistent,unnatural_or_broken_text,polarity,data_or_intervention_design,redesign_intervention,5,블라인드 판단과 native frame label이 일치한다. 그러나 canonical none 문장이 'did not + 과거형' 비문이며 현재 변형과 비교하면 문법/극성까지 함께 달라져 polarity_flip의 단일축 편집 계약이 오염되므로 생성 규칙 재설계가 필요하다.
R180-0024,chatgpt_pass2,gold_consistent,clean_single_axis_edit,role_relation,downstream_final_boundary,retain_as_diagnostic_only,4,"블라인드 판단과 gold frame label은 일치하고 role_swap 편집도 명확하다. native frame head는 올바르게 frame incompatibility를 감지했지만 최종 예측은 SUPPORT로 남아, 주된 실패는 downstream final boundary에 있다."
R180-0025,chatgpt_pass2,gold_consistent,clean_single_axis_edit,location_scope,cannot_determine,keep_unchanged,5,블라인드 판단과 native frame label이 일치하고 location_swap가 의도한 location_scope 차이만 명확히 만든다. Native frame head도 맞혔으므로 그대로 유지한다.
R180-0026,chatgpt_pass2,gold_consistent,unnatural_or_broken_text,role_relation,data_or_intervention_design,redesign_intervention,5,블라인드 판단과 native frame label이 일치한다. 그러나 canonical none 문장이 'did not + 과거형' 비문이며 현재 변형과 비교하면 문법/극성까지 함께 달라져 role_swap의 단일축 편집 계약이 오염되므로 생성 규칙 재설계가 필요하다.
R180-0027,chatgpt_pass2,gold_consistent,canonical_control,other,input_representation_insensitivity,retain_as_diagnostic_only,4,블라인드 판단과 gold frame label은 compatible로 일치하고 입력도 유효하다. native frame head와 gold-conditioned centroid가 모두 incompatible로 오판해 frame-compatible 신호가 head 입력 표현에서 충분히 분리되지 않은 모델측 실패로 본다.
R180-0028,chatgpt_pass2,gold_consistent,unnatural_or_broken_text,polarity,data_or_intervention_design,redesign_intervention,5,블라인드 판단과 native frame label이 일치한다. 그러나 canonical none 문장이 'did not + 과거형' 비문이며 현재 변형과 비교하면 문법/극성까지 함께 달라져 polarity_flip의 단일축 편집 계약이 오염되므로 생성 규칙 재설계가 필요하다.
R180-0029,chatgpt_pass2,gold_consistent,unnatural_or_broken_text,location_scope,data_or_intervention_design,redesign_intervention,5,블라인드 판단과 native frame label이 일치한다. 그러나 canonical none 문장이 'did not + 과거형' 비문이며 현재 변형과 비교하면 문법/극성까지 함께 달라져 location_swap의 단일축 편집 계약이 오염되므로 생성 규칙 재설계가 필요하다.
R180-0030,chatgpt_pass2,gold_consistent,unnatural_or_broken_text,role_relation,data_or_intervention_design,redesign_intervention,5,블라인드 판단과 native frame label이 일치한다. 그러나 canonical none 문장이 'did not + 과거형' 비문이며 현재 변형과 비교하면 문법/극성까지 함께 달라져 role_swap의 단일축 편집 계약이 오염되므로 생성 규칙 재설계가 필요하다.
R180-0031,chatgpt_pass2,gold_consistent,clean_single_axis_edit,location_scope,downstream_final_boundary,retain_as_diagnostic_only,4,"블라인드 판단과 gold frame label은 일치하고 location_swap 편집도 명확하다. native frame head는 올바르게 frame incompatibility를 감지했지만 최종 예측은 SUPPORT로 남아, 주된 실패는 downstream final boundary에 있다."
R180-0032,chatgpt_pass2,gold_consistent,unnatural_or_broken_text,title_name_identity,data_or_intervention_design,redesign_intervention,5,블라인드 판단과 native frame label이 일치한다. 그러나 canonical none 문장이 'did not + 과거형' 비문이며 현재 변형과 비교하면 문법/극성까지 함께 달라져 title_name_swap의 단일축 편집 계약이 오염되므로 생성 규칙 재설계가 필요하다.
R180-0033,chatgpt_pass2,gold_consistent,unnatural_or_broken_text,location_scope,data_or_intervention_design,redesign_intervention,5,블라인드 판단과 native frame label이 일치한다. 그러나 canonical none 문장이 'did not + 과거형' 비문이며 현재 변형과 비교하면 문법/극성까지 함께 달라져 location_swap의 단일축 편집 계약이 오염되므로 생성 규칙 재설계가 필요하다.
R180-0034,chatgpt_pass2,gold_consistent,clean_single_axis_edit,title_name_identity,cannot_determine,keep_unchanged,5,블라인드 판단과 native frame label이 일치하고 title_name_swap가 의도한 title_name_identity 차이만 명확히 만든다. Native frame head도 맞혔으므로 그대로 유지한다.
R180-0035,chatgpt_pass2,gold_consistent,unnatural_or_broken_text,polarity,data_or_intervention_design,redesign_intervention,5,블라인드 판단과 native frame label이 일치한다. 그러나 canonical none 문장이 'did not + 과거형' 비문이며 현재 변형과 비교하면 문법/극성까지 함께 달라져 polarity_flip의 단일축 편집 계약이 오염되므로 생성 규칙 재설계가 필요하다.
R180-0036,chatgpt_pass2,gold_consistent,canonical_control,other,input_representation_insensitivity,retain_as_diagnostic_only,4,블라인드 판단과 gold frame label은 compatible로 일치하고 입력도 유효하다. native frame head와 gold-conditioned centroid가 모두 incompatible로 오판해 frame-compatible 신호가 head 입력 표현에서 충분히 분리되지 않은 모델측 실패로 본다.
R180-0037,chatgpt_pass2,gold_consistent,clean_single_axis_edit,location_scope,downstream_final_boundary,retain_as_diagnostic_only,4,"블라인드 판단과 gold frame label은 일치하고 location_swap 편집도 명확하다. native frame head는 올바르게 frame incompatibility를 감지했지만 최종 예측은 SUPPORT로 남아, 주된 실패는 downstream final boundary에 있다."
R180-0038,chatgpt_pass2,gold_consistent,unnatural_or_broken_text,role_relation,data_or_intervention_design,redesign_intervention,5,블라인드 판단과 native frame label이 일치한다. 그러나 canonical none 문장이 'did not + 과거형' 비문이며 현재 변형과 비교하면 문법/극성까지 함께 달라져 role_swap의 단일축 편집 계약이 오염되므로 생성 규칙 재설계가 필요하다.
R180-0039,chatgpt_pass2,gold_consistent,clean_single_axis_edit,location_scope,cannot_determine,keep_unchanged,5,블라인드 판단과 native frame label이 일치하고 location_swap가 의도한 location_scope 차이만 명확히 만든다. Native frame head도 맞혔으므로 그대로 유지한다.
R180-0040,chatgpt_pass2,gold_consistent,unnatural_or_broken_text,location_scope,data_or_intervention_design,redesign_intervention,5,블라인드 판단과 native frame label이 일치한다. 그러나 canonical none 문장이 'did not + 과거형' 비문이며 현재 변형과 비교하면 문법/극성까지 함께 달라져 location_swap의 단일축 편집 계약이 오염되므로 생성 규칙 재설계가 필요하다.
R180-0041,chatgpt_pass2,gold_consistent,clean_single_axis_edit,location_scope,cannot_determine,keep_unchanged,5,블라인드 판단과 native frame label이 일치하고 location_swap가 의도한 location_scope 차이만 명확히 만든다. Native frame head도 맞혔으므로 그대로 유지한다.
R180-0042,chatgpt_pass2,gold_consistent,clean_single_axis_edit,lexical_or_surface_artifact,cannot_determine,keep_unchanged,5,"블라인드 판단과 native frame label이 일치하며 paraphrase가 entity, event, role, location과 polarity를 보존한다. Native frame head도 맞혀 데이터 수정이나 실패 원인 지정이 필요 없다."
R180-0043,chatgpt_pass2,gold_consistent,clean_single_axis_edit,role_relation,cannot_determine,keep_unchanged,5,블라인드 판단과 native frame label이 일치하고 role_swap가 의도한 role_relation 차이만 명확히 만든다. Native frame head도 맞혔으므로 그대로 유지한다.
R180-0044,chatgpt_pass2,gold_consistent,clean_single_axis_edit,lexical_or_surface_artifact,cannot_determine,keep_unchanged,5,"블라인드 판단과 native frame label이 일치하며 paraphrase가 entity, event, role, location과 polarity를 보존한다. Native frame head도 맞혀 데이터 수정이나 실패 원인 지정이 필요 없다."
R180-0045,chatgpt_pass2,gold_consistent,unnatural_or_broken_text,polarity,data_or_intervention_design,redesign_intervention,5,블라인드 판단과 native frame label이 일치한다. 그러나 canonical none 문장이 'did not + 과거형' 비문이며 현재 변형과 비교하면 문법/극성까지 함께 달라져 polarity_flip의 단일축 편집 계약이 오염되므로 생성 규칙 재설계가 필요하다.
R180-0046,chatgpt_pass2,gold_consistent,canonical_control,other,input_representation_insensitivity,retain_as_diagnostic_only,4,블라인드 판단과 gold frame label은 compatible로 일치하고 입력도 유효하다. native frame head와 gold-conditioned centroid가 모두 incompatible로 오판해 frame-compatible 신호가 head 입력 표현에서 충분히 분리되지 않은 모델측 실패로 본다.
R180-0047,chatgpt_pass2,gold_consistent,unnatural_or_broken_text,role_relation,data_or_intervention_design,redesign_intervention,5,블라인드 판단과 native frame label이 일치한다. 그러나 canonical none 문장이 'did not + 과거형' 비문이며 현재 변형과 비교하면 문법/극성까지 함께 달라져 role_swap의 단일축 편집 계약이 오염되므로 생성 규칙 재설계가 필요하다.
R180-0048,chatgpt_pass2,gold_consistent,clean_single_axis_edit,lexical_or_surface_artifact,input_representation_insensitivity,retain_as_diagnostic_only,4,블라인드 판단과 gold frame label은 compatible로 일치하고 입력도 유효하다. native frame head와 gold-conditioned centroid가 모두 incompatible로 오판해 frame-compatible 신호가 head 입력 표현에서 충분히 분리되지 않은 모델측 실패로 본다.
R180-0049,chatgpt_pass2,gold_consistent,unnatural_or_broken_text,polarity,data_or_intervention_design,redesign_intervention,5,블라인드 판단과 native frame label이 일치한다. 그러나 canonical none 문장이 'did not + 과거형' 비문이며 현재 변형과 비교하면 문법/극성까지 함께 달라져 polarity_flip의 단일축 편집 계약이 오염되므로 생성 규칙 재설계가 필요하다.
R180-0050,chatgpt_pass2,gold_consistent,canonical_control,other,input_representation_insensitivity,retain_as_diagnostic_only,4,블라인드 판단과 gold frame label은 compatible로 일치하고 입력도 유효하다. native frame head와 gold-conditioned centroid가 모두 incompatible로 오판해 frame-compatible 신호가 head 입력 표현에서 충분히 분리되지 않은 모델측 실패로 본다.
R180-0051,chatgpt_pass2,gold_consistent,unnatural_or_broken_text,location_scope,data_or_intervention_design,redesign_intervention,5,블라인드 판단과 native frame label이 일치한다. 그러나 canonical none 문장이 'did not + 과거형' 비문이며 현재 변형과 비교하면 문법/극성까지 함께 달라져 location_swap의 단일축 편집 계약이 오염되므로 생성 규칙 재설계가 필요하다.
R180-0052,chatgpt_pass2,gold_consistent,canonical_control,other,input_representation_insensitivity,retain_as_diagnostic_only,4,블라인드 판단과 gold frame label은 compatible로 일치하고 입력도 유효하다. native frame head와 gold-conditioned centroid가 모두 incompatible로 오판해 frame-compatible 신호가 head 입력 표현에서 충분히 분리되지 않은 모델측 실패로 본다.
R180-0053,chatgpt_pass2,gold_consistent,clean_single_axis_edit,role_relation,downstream_final_boundary,retain_as_diagnostic_only,4,"블라인드 판단과 gold frame label은 일치하고 role_swap 편집도 명확하다. native frame head는 올바르게 frame incompatibility를 감지했지만 최종 예측은 SUPPORT로 남아, 주된 실패는 downstream final boundary에 있다."
R180-0054,chatgpt_pass2,gold_consistent,canonical_control,other,input_representation_insensitivity,retain_as_diagnostic_only,4,블라인드 판단과 gold frame label은 compatible로 일치하고 입력도 유효하다. native frame head와 gold-conditioned centroid가 모두 incompatible로 오판해 frame-compatible 신호가 head 입력 표현에서 충분히 분리되지 않은 모델측 실패로 본다.
R180-0055,chatgpt_pass2,gold_consistent,clean_single_axis_edit,entity_identity,downstream_final_boundary,retain_as_diagnostic_only,4,"블라인드 판단과 gold frame label은 일치하고 entity_swap 편집도 명확하다. native frame head는 올바르게 frame incompatibility를 감지했지만 최종 예측은 SUPPORT로 남아, 주된 실패는 downstream final boundary에 있다."
R180-0056,chatgpt_pass2,gold_consistent,unnatural_or_broken_text,polarity,data_or_intervention_design,redesign_intervention,5,블라인드 판단과 native frame label이 일치한다. 그러나 canonical none 문장이 'did not + 과거형' 비문이며 현재 변형과 비교하면 문법/극성까지 함께 달라져 polarity_flip의 단일축 편집 계약이 오염되므로 생성 규칙 재설계가 필요하다.
R180-0057,chatgpt_pass2,gold_consistent,unnatural_or_broken_text,location_scope,data_or_intervention_design,redesign_intervention,5,블라인드 판단과 native frame label이 일치한다. 그러나 canonical none 문장이 'did not + 과거형' 비문이며 현재 변형과 비교하면 문법/극성까지 함께 달라져 location_swap의 단일축 편집 계약이 오염되므로 생성 규칙 재설계가 필요하다.
R180-0058,chatgpt_pass2,gold_consistent,canonical_control,other,cannot_determine,keep_unchanged,5,블라인드 판단과 native frame label이 일치하고 claim과 evidence가 동일한 canonical control이다. Native frame head도 맞혔으므로 별도의 failure locus는 판정하지 않고 유지한다.
R180-0059,chatgpt_pass2,gold_consistent,clean_single_axis_edit,title_name_identity,cannot_determine,keep_unchanged,5,블라인드 판단과 native frame label이 일치하고 title_name_swap가 의도한 title_name_identity 차이만 명확히 만든다. Native frame head도 맞혔으므로 그대로 유지한다.
R180-0060,chatgpt_pass2,gold_consistent,clean_single_axis_edit,location_scope,cannot_determine,keep_unchanged,5,블라인드 판단과 native frame label이 일치하고 location_swap가 의도한 location_scope 차이만 명확히 만든다. Native frame head도 맞혔으므로 그대로 유지한다.
R180-0061,chatgpt_pass2,gold_consistent,clean_single_axis_edit,event_identity,cannot_determine,keep_unchanged,5,블라인드 판단과 native frame label이 일치하고 event_swap가 의도한 event_identity 차이만 명확히 만든다. Native frame head도 맞혔으므로 그대로 유지한다.
R180-0062,chatgpt_pass2,gold_consistent,unnatural_or_broken_text,title_name_identity,data_or_intervention_design,redesign_intervention,5,블라인드 판단과 native frame label이 일치한다. 그러나 canonical none 문장이 'did not + 과거형' 비문이며 현재 변형과 비교하면 문법/극성까지 함께 달라져 title_name_swap의 단일축 편집 계약이 오염되므로 생성 규칙 재설계가 필요하다.
R180-0063,chatgpt_pass2,gold_consistent,unnatural_or_broken_text,role_relation,data_or_intervention_design,redesign_intervention,5,블라인드 판단과 native frame label이 일치한다. 그러나 canonical none 문장이 'did not + 과거형' 비문이며 현재 변형과 비교하면 문법/극성까지 함께 달라져 role_swap의 단일축 편집 계약이 오염되므로 생성 규칙 재설계가 필요하다.
R180-0064,chatgpt_pass2,gold_consistent,unnatural_or_broken_text,polarity,data_or_intervention_design,redesign_intervention,5,블라인드 판단과 native frame label이 일치한다. 그러나 canonical none 문장이 'did not + 과거형' 비문이며 현재 변형과 비교하면 문법/극성까지 함께 달라져 polarity_flip의 단일축 편집 계약이 오염되므로 생성 규칙 재설계가 필요하다.
R180-0065,chatgpt_pass2,gold_consistent,unnatural_or_broken_text,polarity,data_or_intervention_design,redesign_intervention,5,"블라인드 판단과 native frame label이 일치한다. polarity_flip의 대상 문장에 'did not + 과거형' 비문이 있어 편집이 부자연스럽고, 주된 문제는 모델보다 intervention 생성 규칙에 있다."
R180-0066,chatgpt_pass2,gold_consistent,unnatural_or_broken_text,polarity,data_or_intervention_design,redesign_intervention,5,블라인드 판단과 native frame label이 일치한다. 그러나 canonical none 문장이 'did not + 과거형' 비문이며 현재 변형과 비교하면 문법/극성까지 함께 달라져 polarity_flip의 단일축 편집 계약이 오염되므로 생성 규칙 재설계가 필요하다.
R180-0067,chatgpt_pass2,gold_consistent,unnatural_or_broken_text,polarity,data_or_intervention_design,redesign_intervention,5,블라인드 판단과 native frame label이 일치한다. 그러나 canonical none 문장이 'did not + 과거형' 비문이며 현재 변형과 비교하면 문법/극성까지 함께 달라져 polarity_flip의 단일축 편집 계약이 오염되므로 생성 규칙 재설계가 필요하다.
R180-0068,chatgpt_pass2,gold_consistent,unnatural_or_broken_text,title_name_identity,data_or_intervention_design,redesign_intervention,5,블라인드 판단과 native frame label이 일치한다. 그러나 canonical none 문장이 'did not + 과거형' 비문이며 현재 변형과 비교하면 문법/극성까지 함께 달라져 title_name_swap의 단일축 편집 계약이 오염되므로 생성 규칙 재설계가 필요하다.
R180-0069,chatgpt_pass2,gold_consistent,unnatural_or_broken_text,polarity,data_or_intervention_design,redesign_intervention,5,블라인드 판단과 native frame label이 일치한다. 그러나 canonical none 문장이 'did not + 과거형' 비문이며 현재 변형과 비교하면 문법/극성까지 함께 달라져 polarity_flip의 단일축 편집 계약이 오염되므로 생성 규칙 재설계가 필요하다.
R180-0070,chatgpt_pass2,gold_consistent,clean_single_axis_edit,location_scope,cannot_determine,keep_unchanged,5,블라인드 판단과 native frame label이 일치하고 location_swap가 의도한 location_scope 차이만 명확히 만든다. Native frame head도 맞혔으므로 그대로 유지한다.
R180-0071,chatgpt_pass2,gold_consistent,clean_single_axis_edit,location_scope,downstream_final_boundary,retain_as_diagnostic_only,4,"블라인드 판단과 gold frame label은 일치하고 location_swap 편집도 명확하다. native frame head는 올바르게 frame incompatibility를 감지했지만 최종 예측은 SUPPORT로 남아, 주된 실패는 downstream final boundary에 있다."
R180-0072,chatgpt_pass2,gold_consistent,clean_single_axis_edit,location_scope,cannot_determine,keep_unchanged,5,블라인드 판단과 native frame label이 일치하고 location_swap가 의도한 location_scope 차이만 명확히 만든다. Native frame head도 맞혔으므로 그대로 유지한다.
R180-0073,chatgpt_pass2,gold_consistent,canonical_control,other,cannot_determine,keep_unchanged,5,블라인드 판단과 native frame label이 일치하고 claim과 evidence가 동일한 canonical control이다. Native frame head도 맞혔으므로 별도의 failure locus는 판정하지 않고 유지한다.
R180-0074,chatgpt_pass2,gold_consistent,unnatural_or_broken_text,polarity,data_or_intervention_design,redesign_intervention,5,블라인드 판단과 native frame label이 일치한다. 그러나 canonical none 문장이 'did not + 과거형' 비문이며 현재 변형과 비교하면 문법/극성까지 함께 달라져 polarity_flip의 단일축 편집 계약이 오염되므로 생성 규칙 재설계가 필요하다.
R180-0075,chatgpt_pass2,gold_consistent,clean_single_axis_edit,location_scope,cannot_determine,keep_unchanged,5,블라인드 판단과 native frame label이 일치하고 location_swap가 의도한 location_scope 차이만 명확히 만든다. Native frame head도 맞혔으므로 그대로 유지한다.
R180-0076,chatgpt_pass2,gold_consistent,unnatural_or_broken_text,polarity,data_or_intervention_design,redesign_intervention,5,블라인드 판단과 native frame label이 일치한다. 그러나 canonical none 문장이 'did not + 과거형' 비문이며 현재 변형과 비교하면 문법/극성까지 함께 달라져 polarity_flip의 단일축 편집 계약이 오염되므로 생성 규칙 재설계가 필요하다.
R180-0077,chatgpt_pass2,gold_consistent,clean_single_axis_edit,location_scope,downstream_final_boundary,retain_as_diagnostic_only,4,"블라인드 판단과 gold frame label은 일치하고 location_swap 편집도 명확하다. native frame head는 올바르게 frame incompatibility를 감지했지만 최종 예측은 SUPPORT로 남아, 주된 실패는 downstream final boundary에 있다."
R180-0078,chatgpt_pass2,gold_consistent,clean_single_axis_edit,location_scope,downstream_final_boundary,retain_as_diagnostic_only,4,"블라인드 판단과 gold frame label은 일치하고 location_swap 편집도 명확하다. native frame head는 올바르게 frame incompatibility를 감지했지만 최종 예측은 SUPPORT로 남아, 주된 실패는 downstream final boundary에 있다."
R180-0079,chatgpt_pass2,gold_consistent,unnatural_or_broken_text,location_scope,data_or_intervention_design,redesign_intervention,5,블라인드 판단과 native frame label이 일치한다. 그러나 canonical none 문장이 'did not + 과거형' 비문이며 현재 변형과 비교하면 문법/극성까지 함께 달라져 location_swap의 단일축 편집 계약이 오염되므로 생성 규칙 재설계가 필요하다.
R180-0080,chatgpt_pass2,gold_consistent,clean_single_axis_edit,location_scope,cannot_determine,keep_unchanged,5,블라인드 판단과 native frame label이 일치하고 location_swap가 의도한 location_scope 차이만 명확히 만든다. Native frame head도 맞혔으므로 그대로 유지한다.
R180-0081,chatgpt_pass2,gold_consistent,clean_single_axis_edit,location_scope,cannot_determine,keep_unchanged,5,블라인드 판단과 native frame label이 일치하고 location_swap가 의도한 location_scope 차이만 명확히 만든다. Native frame head도 맞혔으므로 그대로 유지한다.
R180-0082,chatgpt_pass2,gold_consistent,unnatural_or_broken_text,entity_identity,data_or_intervention_design,redesign_intervention,5,블라인드 판단과 native frame label이 일치한다. 그러나 canonical none 문장이 'did not + 과거형' 비문이며 현재 변형과 비교하면 문법/극성까지 함께 달라져 entity_swap의 단일축 편집 계약이 오염되므로 생성 규칙 재설계가 필요하다.
R180-0083,chatgpt_pass2,gold_consistent,unnatural_or_broken_text,location_scope,data_or_intervention_design,redesign_intervention,5,블라인드 판단과 native frame label이 일치한다. 그러나 canonical none 문장이 'did not + 과거형' 비문이며 현재 변형과 비교하면 문법/극성까지 함께 달라져 location_swap의 단일축 편집 계약이 오염되므로 생성 규칙 재설계가 필요하다.
R180-0084,chatgpt_pass2,gold_consistent,unnatural_or_broken_text,location_scope,data_or_intervention_design,redesign_intervention,5,블라인드 판단과 native frame label이 일치한다. 그러나 canonical none 문장이 'did not + 과거형' 비문이며 현재 변형과 비교하면 문법/극성까지 함께 달라져 location_swap의 단일축 편집 계약이 오염되므로 생성 규칙 재설계가 필요하다.
R180-0085,chatgpt_pass2,gold_consistent,unnatural_or_broken_text,role_relation,data_or_intervention_design,redesign_intervention,5,블라인드 판단과 native frame label이 일치한다. 그러나 canonical none 문장이 'did not + 과거형' 비문이며 현재 변형과 비교하면 문법/극성까지 함께 달라져 role_swap의 단일축 편집 계약이 오염되므로 생성 규칙 재설계가 필요하다.
R180-0086,chatgpt_pass2,gold_consistent,clean_single_axis_edit,title_name_identity,cannot_determine,keep_unchanged,5,블라인드 판단과 native frame label이 일치하고 title_name_swap가 의도한 title_name_identity 차이만 명확히 만든다. Native frame head도 맞혔으므로 그대로 유지한다.
