row_id,pair_id,intervention_type,invalid_do_support,duplicate_negation,missing_subject,malformed_role_phrase,missing_event_object,empty_location,empty_temporal,template_violation,affected_side,grammar_valid
generated_fact_110__role_swap,generated_fact_110,role_swap,False,False,False,False,False,False,False,False,none,True
generated_fact_110__title_name_swap,generated_fact_110,title_name_swap,False,False,False,False,False,False,False,False,none,True
generated_fact_115__none,generated_fact_115,none,False,False,False,False,False,False,False,False,none,True
generated_fact_118__none,generated_fact_118,none,False,False,False,False,False,False,False,False,none,True
generated_fact_120__location_swap,generated_fact_120,location_swap,False,False,False,False,False,False,False,False,none,True
generated_fact_128__location_swap,generated_fact_128,location_swap,False,False,False,False,False,False,False,False,none,True
generated_fact_135__role_swap,generated_fact_135,role_swap,False,False,False,False,False,False,False,False,none,True
generated_fact_138__location_swap,generated_fact_138,location_swap,False,False,False,False,False,False,False,False,none,True
generated_fact_146__event_swap,generated_fact_146,event_swap,False,False,False,False,False,False,False,False,none,True
generated_fact_146__location_swap,generated_fact_146,location_swap,False,False,False,False,False,False,False,False,none,True
generated_fact_146__none,generated_fact_146,none,False,False,False,False,False,False,False,False,none,True
generated_fact_151__role_swap,generated_fact_151,role_swap,False,False,False,False,False,False,False,False,none,True
generated_fact_153__location_swap,generated_fact_153,location_swap,False,False,False,False,False,False,False,False,none,True
generated_fact_158__entity_swap,generated_fact_158,entity_swap,False,False,False,False,False,False,False,False,none,True
generated_fact_158__location_swap,generated_fact_158,location_swap,False,False,False,False,False,False,False,False,none,True
generated_fact_158__role_swap,generated_fact_158,role_swap,False,False,False,False,False,False,False,False,none,True
generated_fact_158__title_name_swap,generated_fact_158,title_name_swap,False,False,False,False,False,False,False,False,none,True
generated_fact_161__location_swap,generated_fact_161,location_swap,False,False,False,False,False,False,False,False,none,True
generated_fact_161__polarity_flip,generated_fact_161,polarity_flip,False,False,False,False,False,False,False,False,none,True
generated_fact_165__role_swap,generated_fact_165,role_swap,False,False,False,False,False,False,False,False,none,True
generated_fact_166__polarity_flip,generated_fact_166,polarity_flip,False,False,False,False,False,False,False,False,none,True
generated_fact_172__location_swap,generated_fact_172,location_swap,False,False,False,False,False,False,False,False,none,True
generated_fact_176__entity_swap,generated_fact_176,entity_swap,False,False,False,False,False,False,False,False,none,True
generated_fact_176__location_swap,generated_fact_176,location_swap,False,False,False,False,False,False,False,False,none,True
generated_fact_176__role_swap,generated_fact_176,role_swap,False,False,False,False,False,False,False,False,none,True
generated_fact_195__polarity_flip,generated_fact_195,polarity_flip,False,False,False,False,False,False,False,False,none,True
generated_fact_221__role_swap,generated_fact_221,role_swap,False,False,False,False,False,False,False,False,none,True
generated_fact_225__location_swap,generated_fact_225,location_swap,False,False,False,False,False,False,False,False,none,True
generated_fact_227__polarity_flip,generated_fact_227,polarity_flip,False,False,False,False,False,False,False,False,none,True
generated_fact_227__title_name_swap,generated_fact_227,title_name_swap,False,False,False,False,False,False,False,False,none,True
generated_fact_230__polarity_flip,generated_fact_230,polarity_flip,False,False,False,False,False,False,False,False,none,True
generated_fact_230__role_swap,generated_fact_230,role_swap,False,False,False,False,False,False,False,False,none,True
generated_fact_230__title_name_swap,generated_fact_230,title_name_swap,False,False,False,False,False,False,False,False,none,True
generated_fact_238__location_swap,generated_fact_238,location_swap,False,False,False,False,False,False,False,False,none,True
generated_fact_240__polarity_flip,generated_fact_240,polarity_flip,False,False,False,False,False,False,False,False,none,True
generated_fact_257__polarity_flip,generated_fact_257,polarity_flip,False,False,False,False,False,False,False,False,none,True
generated_fact_262__polarity_flip,generated_fact_262,polarity_flip,False,False,False,False,False,False,False,False,none,True
generated_fact_271__location_swap,generated_fact_271,location_swap,False,False,False,False,False,False,False,False,none,True
generated_fact_271__role_swap,generated_fact_271,role_swap,False,False,False,False,False,False,False,False,none,True
generated_fact_273__location_swap,generated_fact_273,location_swap,False,False,False,False,False,False,False,False,none,True
generated_fact_274__polarity_flip,generated_fact_274,polarity_flip,False,False,False,False,False,False,False,False,none,True
generated_fact_285__polarity_flip,generated_fact_285,polarity_flip,False,False,False,False,False,False,False,False,none,True
generated_fact_287__polarity_flip,generated_fact_287,polarity_flip,False,False,False,False,False,False,False,False,none,True
generated_fact_297__polarity_flip,generated_fact_297,polarity_flip,False,False,False,False,False,False,False,False,none,True
generated_fact_300__polarity_flip,generated_fact_300,polarity_flip,False,False,False,False,False,False,False,False,none,True
language_program__paraphrase,language_program,paraphrase,False,False,False,False,False,False,False,False,none,True
museum_purchase__location_swap,museum_purchase,location_swap,False,False,False,False,False,False,False,False,none,True
museum_purchase__none,museum_purchase,none,False,False,False,False,False,False,False,False,none,True
orion_approval__location_swap,orion_approval,location_swap,False,False,False,False,False,False,False,False,none,True
reef_protection__location_swap,reef_protection,location_swap,False,False,False,False,False,False,False,False,none,True
reef_protection__none,reef_protection,none,False,False,False,False,False,False,False,False,none,True
satellite_launch__event_swap,satellite_launch,event_swap,False,False,False,False,False,False,False,False,none,True
satellite_launch__location_swap,satellite_launch,location_swap,False,False,False,False,False,False,False,False,none,True
satellite_launch__none,satellite_launch,none,False,False,False,False,False,False,False,False,none,True
