row_id,item_role,stage181_primary_stratum,deterministic_integrity_class,agreement_category,roadmap_correction_required
generated_fact_151__role_swap,control,CONTROL_ANOMALY,CONTROL_ANOMALY,AGREES,False
generated_fact_153__location_swap,hard,DATA_INTERVENTION_REPAIR_CANDIDATE,DATA_INTERVENTION_CONTAMINATION,AGREES,False
generated_fact_158__entity_swap,control,CONTROL_ANOMALY,CONTROL_ANOMALY,AGREES,False
generated_fact_158__location_swap,hard,DATA_INTERVENTION_REPAIR_CANDIDATE,DATA_INTERVENTION_CONTAMINATION,AGREES,False
generated_fact_158__role_swap,hard,DATA_INTERVENTION_REPAIR_CANDIDATE,DATA_INTERVENTION_CONTAMINATION,AGREES,False
generated_fact_158__title_name_swap,hard,DATA_INTERVENTION_REPAIR_CANDIDATE,DATA_INTERVENTION_CONTAMINATION,AGREES,False
generated_fact_161__location_swap,control,CONTROL_ANOMALY,CONTROL_ANOMALY,AGREES,False
generated_fact_161__polarity_flip,control,CONTROL_ANOMALY,CLEAN_CONTROL_REFERENCE,DETERMINISTIC_RECLASSIFICATION,True
generated_fact_165__role_swap,control,CONTROL_ANOMALY,CONTROL_ANOMALY,AGREES,False
generated_fact_166__polarity_flip,control,CONTROL_ANOMALY,CLEAN_CONTROL_REFERENCE,DETERMINISTIC_RECLASSIFICATION,True
generated_fact_172__location_swap,control,CONTROL_ANOMALY,CONTROL_ANOMALY,AGREES,False
generated_fact_176__entity_swap,control,CONTROL_ANOMALY,CONTROL_ANOMALY,AGREES,False
generated_fact_176__location_swap,hard,DATA_INTERVENTION_REPAIR_CANDIDATE,DATA_INTERVENTION_CONTAMINATION,AGREES,False
generated_fact_176__role_swap,control,CONTROL_ANOMALY,CONTROL_ANOMALY,AGREES,False
generated_fact_195__polarity_flip,hard,DATA_INTERVENTION_REPAIR_CANDIDATE,CLEAN_MODEL_FAILURE_CANDIDATE,DETERMINISTIC_RECLASSIFICATION,True
generated_fact_221__role_swap,control,CONTROL_ANOMALY,CONTROL_ANOMALY,AGREES,False
generated_fact_225__location_swap,hard,DATA_INTERVENTION_REPAIR_CANDIDATE,DATA_INTERVENTION_CONTAMINATION,AGREES,False
generated_fact_227__polarity_flip,control,CONTROL_ANOMALY,CLEAN_CONTROL_REFERENCE,DETERMINISTIC_RECLASSIFICATION,True
generated_fact_227__title_name_swap,hard,DATA_INTERVENTION_REPAIR_CANDIDATE,DATA_INTERVENTION_CONTAMINATION,AGREES,False
generated_fact_230__polarity_flip,hard,DATA_INTERVENTION_REPAIR_CANDIDATE,CLEAN_MODEL_FAILURE_CANDIDATE,DETERMINISTIC_RECLASSIFICATION,True
generated_fact_230__role_swap,hard,DATA_INTERVENTION_REPAIR_CANDIDATE,DATA_INTERVENTION_CONTAMINATION,AGREES,False
generated_fact_230__title_name_swap,hard,DATA_INTERVENTION_REPAIR_CANDIDATE,DATA_INTERVENTION_CONTAMINATION,AGREES,False
generated_fact_238__location_swap,hard,DATA_INTERVENTION_REPAIR_CANDIDATE,DATA_INTERVENTION_CONTAMINATION,AGREES,False
generated_fact_240__polarity_flip,hard,DATA_INTERVENTION_REPAIR_CANDIDATE,CLEAN_MODEL_FAILURE_CANDIDATE,DETERMINISTIC_RECLASSIFICATION,True
generated_fact_257__polarity_flip,control,CONTROL_ANOMALY,CLEAN_CONTROL_REFERENCE,DETERMINISTIC_RECLASSIFICATION,True
generated_fact_262__polarity_flip,hard,DATA_INTERVENTION_REPAIR_CANDIDATE,CLEAN_MODEL_FAILURE_CANDIDATE,DETERMINISTIC_RECLASSIFICATION,True
generated_fact_271__location_swap,hard,DATA_INTERVENTION_REPAIR_CANDIDATE,DATA_INTERVENTION_CONTAMINATION,AGREES,False
generated_fact_271__role_swap,hard,DATA_INTERVENTION_REPAIR_CANDIDATE,DATA_INTERVENTION_CONTAMINATION,AGREES,False
generated_fact_273__location_swap,hard,DATA_INTERVENTION_REPAIR_CANDIDATE,DATA_INTERVENTION_CONTAMINATION,AGREES,False
generated_fact_274__polarity_flip,hard,DATA_INTERVENTION_REPAIR_CANDIDATE,CLEAN_MODEL_FAILURE_CANDIDATE,DETERMINISTIC_RECLASSIFICATION,True
generated_fact_285__polarity_flip,control,CONTROL_ANOMALY,CLEAN_CONTROL_REFERENCE,DETERMINISTIC_RECLASSIFICATION,True
generated_fact_287__polarity_flip,hard,DATA_INTERVENTION_REPAIR_CANDIDATE,CLEAN_MODEL_FAILURE_CANDIDATE,DETERMINISTIC_RECLASSIFICATION,True
generated_fact_297__polarity_flip,control,CONTROL_ANOMALY,CLEAN_CONTROL_REFERENCE,DETERMINISTIC_RECLASSIFICATION,True
generated_fact_300__polarity_flip,hard,DATA_INTERVENTION_REPAIR_CANDIDATE,DATA_INTERVENTION_CONTAMINATION,AGREES,False
language_program__paraphrase,hard,CLEAN_LABEL_MODEL_FAILURE_CANDIDATE,CLEAN_MODEL_FAILURE_CANDIDATE,AGREES,False
museum_purchase__location_swap,control,CLEAN_CONTROL_REFERENCE,CLEAN_CONTROL_REFERENCE,AGREES,False
museum_purchase__none,hard,CLEAN_LABEL_MODEL_FAILURE_CANDIDATE,CLEAN_MODEL_FAILURE_CANDIDATE,AGREES,False
orion_approval__location_swap,hard,CLEAN_LABEL_MODEL_FAILURE_CANDIDATE,CLEAN_HARD_NATIVE_FRAME_CORRECT,DETERMINISTIC_RECLASSIFICATION,True
reef_protection__location_swap,hard,CLEAN_LABEL_MODEL_FAILURE_CANDIDATE,CLEAN_MODEL_FAILURE_CANDIDATE,AGREES,False
reef_protection__none,control,CLEAN_CONTROL_REFERENCE,CLEAN_CONTROL_REFERENCE,AGREES,False
satellite_launch__event_swap,hard,CLEAN_LABEL_MODEL_FAILURE_CANDIDATE,CLEAN_HARD_NATIVE_FRAME_CORRECT,DETERMINISTIC_RECLASSIFICATION,True
satellite_launch__location_swap,control,CLEAN_CONTROL_REFERENCE,CLEAN_CONTROL_REFERENCE,AGREES,False
satellite_launch__none,hard,CLEAN_LABEL_MODEL_FAILURE_CANDIDATE,CLEAN_MODEL_FAILURE_CANDIDATE,AGREES,False
