row_id,pair_id,item_role,canonical_none_row_id,canonical_none_generator_exact,canonical_none_grammar_valid,packet_canonical_anchor_exact,matched_control_row_id,matched_control_valid,canonical_control_valid
generated_fact_285__polarity_flip,generated_fact_285,control,generated_fact_285__none,True,False,True,generated_fact_285__polarity_flip,True,True
generated_fact_287__polarity_flip,generated_fact_287,hard,generated_fact_287__none,True,False,True,generated_fact_161__polarity_flip,True,True
generated_fact_297__polarity_flip,generated_fact_297,control,generated_fact_297__none,True,False,True,generated_fact_297__polarity_flip,True,True
generated_fact_300__polarity_flip,generated_fact_300,hard,generated_fact_300__none,True,False,True,generated_fact_078__polarity_flip,False,False
language_program__paraphrase,language_program,hard,language_program__none,True,True,True,generated_fact_075__paraphrase,True,True
museum_purchase__location_swap,museum_purchase,control,museum_purchase__none,True,True,True,museum_purchase__location_swap,True,True
museum_purchase__none,museum_purchase,hard,museum_purchase__none,True,True,True,generated_fact_115__none,True,True
orion_approval__location_swap,orion_approval,hard,orion_approval__none,True,True,True,museum_purchase__location_swap,True,True
reef_protection__location_swap,reef_protection,hard,reef_protection__none,True,True,True,generated_fact_055__location_swap,True,True
reef_protection__none,reef_protection,control,reef_protection__none,True,True,True,reef_protection__none,True,True
satellite_launch__event_swap,satellite_launch,hard,satellite_launch__none,True,True,True,generated_fact_146__event_swap,True,True
satellite_launch__location_swap,satellite_launch,control,satellite_launch__none,True,True,True,satellite_launch__location_swap,True,True
satellite_launch__none,satellite_launch,hard,satellite_launch__none,True,True,True,generated_fact_083__none,True,True
