detector_mode,seed,split,stage15_probe_type,selected_alpha,n,base_accuracy,adjusted_accuracy,base_false_entitled_count,adjusted_false_entitled_count,base_false_entitled_rate,adjusted_false_entitled_rate,changed_count,predicate_mismatch_flag_count,base_prediction_distribution,adjusted_prediction_distribution
lexical_predicate,3,calibration,frame_location_mismatch,0.75,13,0.15384615384615385,0.15384615384615385,11,11,0.8461538461538461,0.8461538461538461,0,0,"{""NOT_ENTITLED"": 2, ""SUPPORT"": 11}","{""NOT_ENTITLED"": 2, ""SUPPORT"": 11}"
lexical_predicate,3,calibration,frame_role_mismatch,0.75,8,0.75,0.75,2,2,0.25,0.25,0,0,"{""NOT_ENTITLED"": 6, ""SUPPORT"": 2}","{""NOT_ENTITLED"": 6, ""SUPPORT"": 2}"
lexical_predicate,3,calibration,predicate_mismatch,0.75,51,0.5294117647058824,0.9607843137254902,24,2,0.47058823529411764,0.0392156862745098,22,48,"{""NOT_ENTITLED"": 27, ""SUPPORT"": 24}","{""NOT_ENTITLED"": 49, ""SUPPORT"": 2}"
lexical_predicate,3,calibration,sufficiency_control,0.75,56,1.0,1.0,0,0,0.0,0.0,0,0,"{""NOT_ENTITLED"": 56}","{""NOT_ENTITLED"": 56}"
lexical_predicate,3,calibration,surface_control,0.75,42,0.9047619047619048,0.9047619047619048,0,0,0.0,0.0,0,0,"{""NOT_ENTITLED"": 4, ""SUPPORT"": 38}","{""NOT_ENTITLED"": 4, ""SUPPORT"": 38}"
lexical_predicate,3,calibration,temporal_erased,0.75,50,1.0,1.0,0,0,0.0,0.0,0,0,"{""SUPPORT"": 50}","{""SUPPORT"": 50}"
lexical_predicate,3,calibration,temporal_mismatch,0.75,50,0.98,0.98,1,1,0.02,0.02,0,0,"{""NOT_ENTITLED"": 49, ""SUPPORT"": 1}","{""NOT_ENTITLED"": 49, ""SUPPORT"": 1}"
lexical_predicate,3,heldout,frame_location_mismatch,0.75,7,0.7142857142857143,0.7142857142857143,2,2,0.2857142857142857,0.2857142857142857,0,0,"{""NOT_ENTITLED"": 5, ""SUPPORT"": 2}","{""NOT_ENTITLED"": 5, ""SUPPORT"": 2}"
lexical_predicate,3,heldout,frame_role_mismatch,0.75,12,0.8333333333333334,0.8333333333333334,2,2,0.16666666666666666,0.16666666666666666,0,0,"{""NOT_ENTITLED"": 10, ""SUPPORT"": 2}","{""NOT_ENTITLED"": 10, ""SUPPORT"": 2}"
lexical_predicate,3,heldout,predicate_mismatch,0.75,49,0.5714285714285714,0.9795918367346939,21,1,0.42857142857142855,0.02040816326530612,20,48,"{""NOT_ENTITLED"": 28, ""SUPPORT"": 21}","{""NOT_ENTITLED"": 48, ""SUPPORT"": 1}"
lexical_predicate,3,heldout,sufficiency_control,0.75,44,1.0,1.0,0,0,0.0,0.0,0,0,"{""NOT_ENTITLED"": 44}","{""NOT_ENTITLED"": 44}"
lexical_predicate,3,heldout,surface_control,0.75,58,0.9655172413793104,0.9655172413793104,0,0,0.0,0.0,0,0,"{""NOT_ENTITLED"": 2, ""SUPPORT"": 56}","{""NOT_ENTITLED"": 2, ""SUPPORT"": 56}"
lexical_predicate,3,heldout,temporal_erased,0.75,50,0.98,0.98,0,0,0.0,0.0,0,0,"{""NOT_ENTITLED"": 1, ""SUPPORT"": 49}","{""NOT_ENTITLED"": 1, ""SUPPORT"": 49}"
lexical_predicate,3,heldout,temporal_mismatch,0.75,50,0.96,0.96,2,2,0.04,0.04,0,0,"{""NOT_ENTITLED"": 48, ""SUPPORT"": 2}","{""NOT_ENTITLED"": 48, ""SUPPORT"": 2}"
