error_type,id,gold,pred,claim,evidence
false_NE_on_REFUTE,tals_vitaminc_validation_sample1000_validation_33552,REFUTE,NOT_ENTITLED,South Korea had more positive cases and a higher number of coronavirus-related deaths than Italy as of February 2020 .,"As of late February , Italy was hit harder than anywhere else in the EU by the outbreak , and is the country with the third-highest number of positive cases , as well as deaths , in the world , with China and Iran surpassing Italy ."
false_NE_on_REFUTE,tals_vitaminc_validation_sample1000_validation_55315,REFUTE,NOT_ENTITLED,Philomena is only a book .,"Philomena is a 2013 British drama film directed by Stephen Frears , based on the book The Lost Child of Philomena Lee by journalist Martin Sixsmith ."
false_NE_on_REFUTE,tals_vitaminc_validation_sample1000_validation_41341,REFUTE,NOT_ENTITLED,`` Roar '' was nominated for the song of the Year .,Scared '' was nominated for Song of the Year and Best Pop Solo Performance at the 56th Annual Grammy Awards .
false_NE_on_REFUTE,tals_vitaminc_validation_sample1000_validation_56563,REFUTE,NOT_ENTITLED,Roswell is exclusively a Turkish TV series .,"Roswell is an American science fiction television series developed , produced , and co-written by Jason Katims ."
false_NE_on_REFUTE,tals_vitaminc_validation_sample1000_validation_2441,REFUTE,NOT_ENTITLED,"Based on 19 critics , the film scored has 72 out of 100 .","`` On Metacritic , the film has a weighted average score of 72 out of 100 , based on 16 critics , indicating `` '' generally favorable reviews '' '' . ''"
false_NE_on_REFUTE,tals_vitaminc_validation_sample1000_validation_50619,REFUTE,NOT_ENTITLED,James Earl Jones was a voice actor in a movie .,"James Earl Jones is also known for his leading roles as Darth Vader in the Star Wars film series and Mufasa in Disney 's The Lion King Live-Action as well as many other films , stage , and television roles ."
wrong_polarity_REFUTE_to_SUPPORT,tals_vitaminc_validation_sample1000_validation_46869,REFUTE,SUPPORT,Illumination Mac Guff animated the film Despicable Me 2 .,"Produced by Illumination Entertainment for Universal Pictures , and animated by Pixar , the film is directed by Pierre Coffin and Chris Renaud , and written by Cinco Paul and Ken Daurio ."
wrong_polarity_REFUTE_to_SUPPORT,tals_vitaminc_validation_sample1000_validation_5552,REFUTE,SUPPORT,"Scary Movie 5 grossed less than $ 46,1 million outside North America and less than $ 78,130,500 worldwide .","Scary Movie 5 grossed $ 32,015,787 in North America , and $ 46,132,539 in other countries , for a worldwide total of $ 78,148,326.In North America , the film opened to # 2 in its first weekend with a disappointing $ 14,157,367 , behind 42 , making i"
wrong_polarity_REFUTE_to_SUPPORT,tals_vitaminc_validation_sample1000_validation_43137,REFUTE,SUPPORT,Ann Richards was the Governor of New York from 1991 to 1995 .,"Dorothy Ann Willis Richards -LRB- September 1 , 1933 -- September 13 , 2006 -RRB- was an American politician and the 45th Governor of Texas from 1991 to 1995 ."
wrong_polarity_REFUTE_to_SUPPORT,tals_vitaminc_validation_sample1000_validation_48401,REFUTE,SUPPORT,A Floppy disk is a type of filter .,"A floppy disk , also called a floppy , diskette or just disk , is a type of disk storage composed of a disk of thin and flexible magnetic storage medium , sealed in a rectangular plastic enclosure lined with fabric that removes dust particles ."
wrong_polarity_REFUTE_to_SUPPORT,tals_vitaminc_validation_sample1000_validation_28123,REFUTE,SUPPORT,"More than 9,470 cases of COVID-19 have been confirmed .","The number of confirmed cases in the U.S. rose to 9,464 , with 155 deaths ."
wrong_polarity_REFUTE_to_SUPPORT,tals_vitaminc_validation_sample1000_validation_62023,REFUTE,SUPPORT,The French Resistance committed acts of sabotage on telecommunication networks .,"The Résistance also planned , coordinated , and executed acts of sabotage on the electrical power grid , transport facilities , and WiFi networks ."
wrong_polarity_REFUTE_to_SUPPORT,tals_vitaminc_validation_sample1000_validation_53719,REFUTE,SUPPORT,Michigan is a U.S. state and a leading destination for recreational boating .,"As a result , Michigan is one of the leading U.S. states for recreational fishing ."
wrong_polarity_REFUTE_to_SUPPORT,tals_vitaminc_validation_sample1000_validation_25182,REFUTE,SUPPORT,The album Sonic Highways had a Metascore of less than 61 on Metacritic .,"At Metacritic , they assign a `` weighted average '' rating out of 100 to selected independent ratings and reviews from mainstream critics , and the album has received a Metascore of a 62 , based on 12 reviews , indicating `` generally favorable reviews ."
wrong_polarity_SUPPORT_to_REFUTE,tals_vitaminc_validation_sample1000_validation_17884,SUPPORT,REFUTE,Atlético Madrid 's players had virtually given up 10 minutes before the end of the 2014 UEFA Champions League Final .,"With only 10 minutes left , it seemed Atlético 's comeback was mission impossible , with its ' players virtually giving up ."
wrong_polarity_SUPPORT_to_REFUTE,tals_vitaminc_validation_sample1000_validation_59228,SUPPORT,REFUTE,The Endless River is an Indian rock band 's album .,The Endless River is the fifteenth and final studio album by the Indian rock band Pink Floyd .
wrong_polarity_SUPPORT_to_REFUTE,tals_vitaminc_validation_sample1000_validation_50456,SUPPORT,REFUTE,Invasion literature is a film .,Invasion literature is an interactive film produced by Netflix .
wrong_polarity_SUPPORT_to_REFUTE,tals_vitaminc_validation_sample1000_validation_29508,SUPPORT,REFUTE,"Less than 40,000 people have recovered from coronavirus in 2020 .","More than 39,000 people have recovered ."
wrong_polarity_SUPPORT_to_REFUTE,tals_vitaminc_validation_sample1000_validation_44330,SUPPORT,REFUTE,Blue Jasmine has Cate Blanchett acting in it .,The film tells the story of a rich Manhattan socialite -LRB- played by Cate Blanchett -RRB- who falls on hard times and has to move into her working class sister 's -LRB- Sally Hawkins -RRB- apartment in San Francisco .
wrong_polarity_SUPPORT_to_REFUTE,tals_vitaminc_validation_sample1000_validation_33723,SUPPORT,REFUTE,Contravention of the Covid-19 regulations in Italy would result in a fine higher than €200 or a maximum of three months imprisonment .,Penalties for violations range from a €206 fine to three months of imprisonment .
wrong_polarity_SUPPORT_to_REFUTE,tals_vitaminc_validation_sample1000_validation_38102,SUPPORT,REFUTE,"The total of confirmed cases is more than 130,000 , with more than 16,000 deaths , and more than 22,000 recoveries or dismissals .","The total of confirmed cases is 132,547 , with 16,523 deaths , and 22,837 recoveries or dismissals ."
wrong_polarity_SUPPORT_to_REFUTE,tals_vitaminc_validation_sample1000_validation_14385,SUPPORT,REFUTE,Zira falls to her death .,"However , Zira , consumed by her resentment towards Simba , falls to her death ."
false_SUPPORT_on_NE,tals_vitaminc_validation_sample1000_validation_1874,NOT_ENTITLED,SUPPORT,Fred Schneider was the lead vocalist of The B-52 's while Kate Pierson and Cindy Wilson were backing vocalists .,"The original line-up consisted of Fred Schneider ( vocals ) , Kate Pierson ( vocals , keyboards ) , Cindy Wilson ( vocals , percussion ) , Ricky Wilson ( lead guitar ) , and Keith Strickland ( drums , rhythm guitar , keyboards ) ."
false_SUPPORT_on_NE,tals_vitaminc_validation_sample1000_validation_7767,NOT_ENTITLED,SUPPORT,"The Malaysian government 's Employee Provident Fund bought Battersea Power Station as reported on May 30 , 2012 , although they denied ever bidding for it .","On the 7th June 2012 , it was announced by Knight Frank  -- Battersea-Power-Station-0942.aspx/ that administrators Ernst & Young had entered into an exclusivity agreement with SP Setia and Sime Darby and are working towards a timely exchange and completion of the site and associated land."
false_SUPPORT_on_NE,tals_vitaminc_validation_sample1000_validation_21884,NOT_ENTITLED,SUPPORT,There were several casualties in the crash that occurred on the M40 motorway in 1993 .,"On 19 September 2017 , an 11-mile stretch of the road was closed between Junctions 14 and 15 , near Newport Pagnell , following a suspicious object which was found under a bridge on the southbound carriageway ."
false_SUPPORT_on_NE,tals_vitaminc_validation_sample1000_validation_8510,NOT_ENTITLED,SUPPORT,"Night School made a global total profit of more than $ 60 million after October 7 , 2018 .","As of October 7 , 2018 , Night School has grossed $ 46.8 million in the United States and Canada , and $ 12 million in other territories , for a total worldwide gross of $ 58.8 million , against a production budget of $ 29 million ."
false_SUPPORT_on_NE,tals_vitaminc_validation_sample1000_validation_41160,NOT_ENTITLED,SUPPORT,"The new Electro is Francine Frye , late Maxwell Dillon 's revived girlfriend .",He ended up encountering the new Electro .
false_SUPPORT_on_NE,tals_vitaminc_validation_sample1000_validation_20055,NOT_ENTITLED,SUPPORT,"Duncan Ferguson scored a hat-trick of headers against Bolton Wanderers on December 28 , 1997 , the first such incident in the Premier League","On 28 December 1997 , Ferguson scored a hat-trick against Bolton Wanderers in a 3–2 victory , but Everton finished the season surviving relegation only on goal difference ."
false_SUPPORT_on_NE,tals_vitaminc_validation_sample1000_validation_12675,NOT_ENTITLED,SUPPORT,Matt Gerald was set to work on GI Joe 2 : Retaliation .,"Upcoming projects include Red Dawn , with Chris Hemsworth and Josh Hutcherson , Freelancers , with Robert De Niro , Forrest Whitaker , and 50 Cent , and GI Joe : Retaliation , currently shooting in New Orleans , with Bruce Willis and Dwayne Johnson ."
false_SUPPORT_on_NE,tals_vitaminc_validation_sample1000_validation_34929,NOT_ENTITLED,SUPPORT,"Most of the 21,882 excess coronavirus fatalities in Spain as of April 14 were older than 74 years .",The peak of excess deaths occurred during the week of 27 March to 3 April .
false_REFUTE_on_NE,tals_vitaminc_validation_sample1000_validation_9543,NOT_ENTITLED,REFUTE,Airbourne 's song Live It Up was selected as the official theme song for Extreme Rules in 2013 .,"In the movie The Lost Boys : The Tribe , a sequel to the original Lost Boys , the song `` Too Much , Too Young , Too Fast '' is played in the car as Chris and Nicole drive to their new house ."
false_REFUTE_on_NE,tals_vitaminc_validation_sample1000_validation_5701,NOT_ENTITLED,REFUTE,France acceded to the Biological and Toxin Weapons Convention in 1984 .,"France denies currently having chemical weapons , ratified the Chemical Weapons Convention ( CWC ) in 1995 , and acceded to the Biological Weapons Convention ( BWC ) in 1984 ."
false_REFUTE_on_NE,tals_vitaminc_validation_sample1000_validation_16646,NOT_ENTITLED,REFUTE,The film earned over $ 159 million by 18 March 2012 .,"As of March 18 , it has grossed $ 62,321,039 in US and Canada and $ 96,720,275 elsewhere biringing to a total of $ 159,041,314 worldwide ."
false_REFUTE_on_NE,tals_vitaminc_validation_sample1000_validation_35623,NOT_ENTITLED,REFUTE,Life is an R-rated film starring Murphy that premiered in 1999 .,It is Murphy 's first R-rated film since 1999.
false_REFUTE_on_NE,tals_vitaminc_validation_sample1000_validation_1298,NOT_ENTITLED,REFUTE,The budget allocated to Temper was 350 million .,The film was made on a budget of 35 crore .
false_REFUTE_on_NE,tals_vitaminc_validation_sample1000_validation_24063,NOT_ENTITLED,REFUTE,"After September 1 , 2019 , See You Again reported 4.2 billion views on YouTube .","As of September 1 , 2019 , the video has received over 4.2 billion views on YouTube making it the third most viewed video on the website ."
false_REFUTE_on_NE,tals_vitaminc_validation_sample1000_validation_10235,NOT_ENTITLED,REFUTE,The Bury F.C . 's opening league match that was suspended was in the 2019/20 season .,"Satisfactory proof was not provided , and on 29 July the club 's opening league match of the season ( against MK Dons at Gigg Lane ) was suspended , as were four more league games and an EFL Cup tie , that was awarded to Sheffield Wednesday ."
false_REFUTE_on_NE,tals_vitaminc_validation_sample1000_validation_27357,NOT_ENTITLED,REFUTE,"Major outbreaks of coronavirus are in Mainland China , Europe , Iran , South Korea and the United States .","As of 18 March , more than 219,000 cases of COVID-19 have been reported in over 150 countries and territories , resulting in more than 8,900 deaths and 85,000 recoveries ."
