id,source_dataset,claim,evidence,gold_label,base_prediction,composed_prediction,composer_reason
tals_vitaminc_validation_sample1000_validation_7531,tals_vitaminc_validation_sample1000,Raven Software was founded before 1990 .,Raven Software was founded in 1988 by brothers Brian and Steve Raffel .,SUPPORT,NOT_ENTITLED,NOT_ENTITLED,safe_structured_v2_no_qualifying_transition
tals_vitaminc_validation_sample1000_validation_23116,tals_vitaminc_validation_sample1000,"As reported by the Daily Mail , Phil Tufnell married Dawn .",Daily Mail Retrieved 10 June 2008 He is now married to Dawn .,SUPPORT,NOT_ENTITLED,NOT_ENTITLED,safe_structured_v2_no_qualifying_transition
tals_vitaminc_validation_sample1000_validation_5323,tals_vitaminc_validation_sample1000,The MLS decided that the 30th team will pay a $ 325 million entrance fee .,MLS has also announced that the ownership groups of the 28th and 29th teams will each pay a $ 200�million entrance fee and that the ownership group of the 30th team will pay a $ 325�million entrance fee .,SUPPORT,NOT_ENTITLED,NOT_ENTITLED,safe_structured_v2_no_qualifying_transition
tals_vitaminc_validation_sample1000_validation_55315,tals_vitaminc_validation_sample1000,Philomena is only a book .,"Philomena is a 2013 British drama film directed by Stephen Frears , based on the book The Lost Child of Philomena Lee by journalist Martin Sixsmith .",REFUTE,NOT_ENTITLED,NOT_ENTITLED,safe_structured_v2_no_qualifying_transition
tals_vitaminc_validation_sample1000_validation_57634,tals_vitaminc_validation_sample1000,So You Think You Can Dance is a competition .,So You Think You Can Dance is an American televised dance competition show that airs on Fox in the United States and is the flagship series of the international So You Think You Can Dance television franchise .,SUPPORT,NOT_ENTITLED,NOT_ENTITLED,safe_structured_v2_no_qualifying_transition
tals_vitaminc_validation_sample1000_validation_23531,tals_vitaminc_validation_sample1000,"After 2015 , Richard Keogh had won 18 caps .","As of September 2013 , he has won 18 caps and scored once.",REFUTE,NOT_ENTITLED,NOT_ENTITLED,safe_structured_v2_no_qualifying_transition
tals_vitaminc_validation_sample1000_validation_49256,tals_vitaminc_validation_sample1000,Harold Macmillan worked in sports .,"After his resignation , Macmillan lived out a long retirement as an elder sports coach .",SUPPORT,NOT_ENTITLED,NOT_ENTITLED,safe_structured_v2_no_qualifying_transition
tals_vitaminc_validation_sample1000_validation_41341,tals_vitaminc_validation_sample1000,`` Roar '' was nominated for the song of the Year .,Scared '' was nominated for Song of the Year and Best Pop Solo Performance at the 56th Annual Grammy Awards .,REFUTE,NOT_ENTITLED,NOT_ENTITLED,safe_structured_v2_no_qualifying_transition
tals_vitaminc_validation_sample1000_validation_56563,tals_vitaminc_validation_sample1000,Roswell is exclusively a Turkish TV series .,"Roswell is an American science fiction television series developed , produced , and co-written by Jason Katims .",REFUTE,NOT_ENTITLED,NOT_ENTITLED,safe_structured_v2_no_qualifying_transition
tals_vitaminc_validation_sample1000_validation_46869,tals_vitaminc_validation_sample1000,Illumination Mac Guff animated the film Despicable Me 2 .,"Produced by Illumination Entertainment for Universal Pictures , and animated by Pixar , the film is directed by Pierre Coffin and Chris Renaud , and written by Cinco Paul and Ken Daurio .",REFUTE,NOT_ENTITLED,NOT_ENTITLED,safe_structured_v2_no_qualifying_transition
tals_vitaminc_validation_sample1000_validation_2441,tals_vitaminc_validation_sample1000,"Based on 19 critics , the film scored has 72 out of 100 .","`` On Metacritic , the film has a weighted average score of 72 out of 100 , based on 16 critics , indicating `` '' generally favorable reviews '' '' . ''",REFUTE,NOT_ENTITLED,NOT_ENTITLED,safe_structured_v2_no_qualifying_transition
tals_vitaminc_validation_sample1000_validation_59228,tals_vitaminc_validation_sample1000,The Endless River is an Indian rock band 's album .,The Endless River is the fifteenth and final studio album by the Indian rock band Pink Floyd .,SUPPORT,NOT_ENTITLED,NOT_ENTITLED,safe_structured_v2_no_qualifying_transition
tals_vitaminc_validation_sample1000_validation_50619,tals_vitaminc_validation_sample1000,James Earl Jones was a voice actor in a movie .,"James Earl Jones is also known for his leading roles as Darth Vader in the Star Wars film series and Mufasa in Disney 's The Lion King Live-Action as well as many other films , stage , and television roles .",REFUTE,NOT_ENTITLED,NOT_ENTITLED,safe_structured_v2_no_qualifying_transition
tals_vitaminc_validation_sample1000_validation_5552,tals_vitaminc_validation_sample1000,"Scary Movie 5 grossed less than $ 46,1 million outside North America and less than $ 78,130,500 worldwide .","Scary Movie 5 grossed $ 32,015,787 in North America , and $ 46,132,539 in other countries , for a worldwide total of $ 78,148,326.In North America , the film opened to # 2 in its first weekend with a disappointing $ 14,157,367 , behind 42 , making i",REFUTE,NOT_ENTITLED,NOT_ENTITLED,safe_structured_v2_no_qualifying_transition
tals_vitaminc_validation_sample1000_validation_50456,tals_vitaminc_validation_sample1000,Invasion literature is a film .,Invasion literature is an interactive film produced by Netflix .,SUPPORT,NOT_ENTITLED,NOT_ENTITLED,safe_structured_v2_no_qualifying_transition
tals_vitaminc_validation_sample1000_validation_14573,tals_vitaminc_validation_sample1000,"In Star Wars Jedi Knight II : Jedi Outcast Lando , Kyle learns that Desann smuggles cotosis , a lightsaber-resistant material .","From Lando , Kyle learns that Desann is a part of a huge operation smuggling cortosis crystals through Cloud City .",REFUTE,NOT_ENTITLED,NOT_ENTITLED,safe_structured_v2_no_qualifying_transition
tals_vitaminc_validation_sample1000_validation_40742,tals_vitaminc_validation_sample1000,Part of the plot of `` Miracle at St. Anna '' takes place in the winter of 1984 .,"The film was released on September 26 , 2008 , and is set during World War II , in fall of 1944 in Tuscany and in the winter of 1984 in New York City and Rome.",SUPPORT,NOT_ENTITLED,NOT_ENTITLED,safe_structured_v2_no_qualifying_transition
tals_vitaminc_validation_sample1000_validation_33469,tals_vitaminc_validation_sample1000,"Less than 44 COVID-19 cases were confirmed in Veneto , Italy by February 25 , 2020 .","As of 25 February , there were 45 confirmed cases in Veneto , 33 cases were found in the municipality of Vo ' , including the two fatalities.",REFUTE,NOT_ENTITLED,NOT_ENTITLED,safe_structured_v2_no_qualifying_transition
tals_vitaminc_validation_sample1000_validation_44414,tals_vitaminc_validation_sample1000,Bones is solely a television pitch .,"Bones was pitched to the network , but was rejected and the idea has remained shelved ever since .",SUPPORT,NOT_ENTITLED,NOT_ENTITLED,safe_structured_v2_no_qualifying_transition
tals_vitaminc_validation_sample1000_validation_683,tals_vitaminc_validation_sample1000,Erwin Schrodinger 's mother was a Lutheran with English roots .,His mother was of half Austrian and half English descent ; his father was Catholic and his mother was Lutheran .,SUPPORT,NOT_ENTITLED,NOT_ENTITLED,safe_structured_v2_no_qualifying_transition
