index,record_id,gold,pred,error_type,claim_preview,evidence_preview
59,tals_vitaminc_validation_sample1000_validation_9763,NOT_ENTITLED,SUPPORT,false_SUPPORT_on_NE,Yarmolenko scored 35 goals in 76 matches .,"Yarmolenko has been a full international for Ukraine since 2009 , scoring 36 goals in 79 matches and playing at UEFA Euro 2012 and Euro 2016."
60,tals_vitaminc_validation_sample1000_validation_35623,NOT_ENTITLED,REFUTE,false_REFUTE_on_NE,Life is an R-rated film starring Murphy that premiered in 1999 .,It is Murphy 's first R-rated film since 1999.
63,tals_vitaminc_validation_sample1000_validation_62023,REFUTE,NOT_ENTITLED,false_NE_on_REFUTE,The French Resistance committed acts of sabotage on telecommunication networks .,"The Résistance also planned , coordinated , and executed acts of sabotage on the electrical power grid , transport facilities , and WiFi networks ."
64,tals_vitaminc_validation_sample1000_validation_14329,REFUTE,SUPPORT,wrong_polarity_REFUTE_to_SUPPORT,She-Hulk is named Jennifer Walters in the Marvel Comics .,She-Hulk ( Peyton Lankford ) is a fictional superheroine appearing in American comic books published by Marvel Comics .
65,tals_vitaminc_validation_sample1000_validation_44955,REFUTE,NOT_ENTITLED,false_NE_on_REFUTE,Calcaneal spurs can be detected .,Calcaneal spurs are invisible to the naked eye .
66,tals_vitaminc_validation_sample1000_validation_63,SUPPORT,NOT_ENTITLED,false_NE_on_SUPPORT,"There are more than 267,800 coronavirus cases .","As of 20 March , more than 267,900 cases of COVID-19 have been reported in at least 183 countries and territories , resulting in more than 11,100 deaths and 90,000 recoveries ."
67,tals_vitaminc_validation_sample1000_validation_32741,REFUTE,SUPPORT,wrong_polarity_REFUTE_to_SUPPORT,"As of March 20th , there were less than 87,500 recoveries in over 170 countries .","As of 20 March , more than 245,000 cases of COVID-19 have been reported in over 170 countries and territories , resulting in more than 10,000 deaths and 88,000 recoveries ."
69,tals_vitaminc_validation_sample1000_validation_52773,REFUTE,NOT_ENTITLED,false_NE_on_REFUTE,Manmohan Singh was a Vice President .,"The 2009 general election saw the UPA return with an increased mandate , with Singh retaining the office of Prime Minister ."
70,tals_vitaminc_validation_sample1000_validation_58331,REFUTE,NOT_ENTITLED,false_NE_on_REFUTE,Swordfish ( film ) is a television show that is about an ex-convict .,"Swordfish is a 2001 American action crime thriller film directed by Dominic Sena and starring John Travolta , Hugh Jackman , Halle Berry , Don Cheadle and Vinnie Jones ."
71,tals_vitaminc_validation_sample1000_validation_4560,SUPPORT,REFUTE,wrong_polarity_SUPPORT_to_REFUTE,"Cancún , Orlando , Tampa , Fort Lauderdale , Cayo Coco and Montego Bay are international destinations out of St. John 's Newfoundland .","International locations include London , Saint-Pierre , Cancún , Orlando , Tampa , Fort Lauderdale , Varadero , Cayo Coco , and Montego Bay ."
74,tals_vitaminc_validation_sample1000_validation_21884,NOT_ENTITLED,REFUTE,false_REFUTE_on_NE,There were several casualties in the crash that occurred on the M40 motorway in 1993 .,"On 19 September 2017 , an 11-mile stretch of the road was closed between Junctions 14 and 15 , near Newport Pagnell , following a suspicious object which was found under a bridge on the southbound carriageway ."
75,tals_vitaminc_validation_sample1000_validation_27276,REFUTE,NOT_ENTITLED,false_NE_on_REFUTE,Less than seven COVID-19 deaths have been reported .,Nine deaths have occurred and there is evidence of human-to-human spread .
76,tals_vitaminc_validation_sample1000_validation_51857,REFUTE,NOT_ENTITLED,false_NE_on_REFUTE,Kesha 's full name is Kesha Rose Sebert .,"Kesha Nicolas Cage ( born March 1 , 1987 ) , best known by her stage name Kesha or Ke $ ha , is an American singer , songwriter , and rapper ."
77,tals_vitaminc_validation_sample1000_validation_33723,SUPPORT,REFUTE,wrong_polarity_SUPPORT_to_REFUTE,Contravention of the Covid-19 regulations in Italy would result in a fine higher than €200 or a maximum of three months imprisonment .,Penalties for violations range from a €206 fine to three months of imprisonment .
79,tals_vitaminc_validation_sample1000_validation_24063,NOT_ENTITLED,REFUTE,false_REFUTE_on_NE,"After September 1 , 2019 , See You Again reported 4.2 billion views on YouTube .","As of September 1 , 2019 , the video has received over 4.2 billion views on YouTube making it the third most viewed video on the website ."
80,tals_vitaminc_validation_sample1000_validation_52851,REFUTE,NOT_ENTITLED,false_NE_on_REFUTE,Margaret Thatcher was a prime minister .,"A military officer throughout her working life , she was the longest-serving British commander of the Royal Navy in the 20th century , and the first woman to have held the position ."
81,tals_vitaminc_validation_sample1000_validation_38102,SUPPORT,REFUTE,wrong_polarity_SUPPORT_to_REFUTE,"The total of confirmed cases is more than 130,000 , with more than 16,000 deaths , and more than 22,000 recoveries or dismissals .","The total of confirmed cases is 132,547 , with 16,523 deaths , and 22,837 recoveries or dismissals ."
82,tals_vitaminc_validation_sample1000_validation_50676,SUPPORT,NOT_ENTITLED,false_NE_on_SUPPORT,James VI and I wanted a single parliament for England .,He was a major advocate of a single parliament for England and Scotland .
83,tals_vitaminc_validation_sample1000_validation_14385,SUPPORT,REFUTE,wrong_polarity_SUPPORT_to_REFUTE,Zira falls to her death .,"However , Zira , consumed by her resentment towards Simba , falls to her death ."
84,tals_vitaminc_validation_sample1000_validation_53719,REFUTE,SUPPORT,wrong_polarity_REFUTE_to_SUPPORT,Michigan is a U.S. state and a leading destination for recreational boating .,"As a result , Michigan is one of the leading U.S. states for recreational fishing ."
86,tals_vitaminc_validation_sample1000_validation_5813,REFUTE,NOT_ENTITLED,false_NE_on_REFUTE,"Love , Simon was reviewed by more than 162 critics .","On review aggregator website Rotten Tomatoes , the film holds an approval rating of 92 % , based on 161 reviews , with an average rating of 7.4/10 ."
87,tals_vitaminc_validation_sample1000_validation_60195,REFUTE,SUPPORT,wrong_polarity_REFUTE_to_SUPPORT,Touchscreens are used in consoles .,"Touchscreens are common in many types of devices including personal computers , tablet computers , electronic voting machines and smartphones , but are lacking in game consoles ."
88,tals_vitaminc_validation_sample1000_validation_32128,REFUTE,NOT_ENTITLED,false_NE_on_REFUTE,"In the world today , more than 147,500 have been confirmed .","more than 147,000 cases have been confirmed worldwide ."
90,tals_vitaminc_validation_sample1000_validation_41849,SUPPORT,REFUTE,wrong_polarity_SUPPORT_to_REFUTE,The Dark Tower 's grosses were under $ 40 million .,"It has grossed $ 37 million worldwide against production budget of $ 60 million , and received generally negative reviews , with critics calling it `` a dull disappointment without any set audience : incomprehensible to newbies , and wildly unfaithful and simp"
91,tals_vitaminc_validation_sample1000_validation_6134,SUPPORT,REFUTE,wrong_polarity_SUPPORT_to_REFUTE,Fallout : New Vegas is the less than fifth major installment of the Fallout series .,"Fallout : New Vegas is an action role-playing video game developed by Obsidian Entertainment and published by Bethesda Softworks , as the fourth major installment of the Fallout video game series ."
93,tals_vitaminc_validation_sample1000_validation_40241,SUPPORT,NOT_ENTITLED,false_NE_on_SUPPORT,Jean-Michel Basquiat had African descent .,"Jean-Michel Basquiat ( ; December 22 , 1960 – August 12 , 1988 ) was an African American artist ."
94,tals_vitaminc_validation_sample1000_validation_25182,REFUTE,NOT_ENTITLED,false_NE_on_REFUTE,The album Sonic Highways had a Metascore of less than 61 on Metacritic .,"At Metacritic , they assign a `` weighted average '' rating out of 100 to selected independent ratings and reviews from mainstream critics , and the album has received a Metascore of a 62 , based on 12 reviews , indicating `` generally favorable reviews ."
97,tals_vitaminc_validation_sample1000_validation_27896,SUPPORT,NOT_ENTITLED,false_NE_on_SUPPORT,Xu Zhangrun studies at Tsinghua University .,A group of Chinese academics including Xu Zhangrun of Tsinghua University signed an open letter calling for the central government to issue an apology to Dr. Li and to protect freedom of speech .
98,tals_vitaminc_validation_sample1000_validation_8510,NOT_ENTITLED,REFUTE,false_REFUTE_on_NE,"Night School made a global total profit of more than $ 60 million after October 7 , 2018 .","As of October 7 , 2018 , Night School has grossed $ 46.8 million in the United States and Canada , and $ 12 million in other territories , for a total worldwide gross of $ 58.8 million , against a production budget of $ 29 million ."
99,tals_vitaminc_validation_sample1000_validation_22907,SUPPORT,REFUTE,wrong_polarity_SUPPORT_to_REFUTE,Australia achieved its fifth-largest victory in T20Is during the 2019-20 season .,"This was the first T20I match to be played at this ground . *In terms of balls remaining ( 49 ) , this was Australia 's fifth largest victory in T20Is . } }"
100,tals_vitaminc_validation_sample1000_validation_46199,REFUTE,NOT_ENTITLED,false_NE_on_REFUTE,The Cretaceous is a Paleogene extinction event .,"The Cretaceous -LRB- -LSB- pronkrᵻˈteɪʃəs -RSB- , -RRB- is a geologic period and system that spans 79 million years from the end of the Jurassic Period million years ago -LRB- Mya -RRB- to the beginning of the Paleogene Period Mya ."
101,tals_vitaminc_validation_sample1000_validation_56080,SUPPORT,NOT_ENTITLED,false_NE_on_SUPPORT,Regina King produces films .,"Regina Rene King ( born January 15 , 1971 ) is an American film producer and television director ."
102,tals_vitaminc_validation_sample1000_validation_55715,REFUTE,NOT_ENTITLED,false_NE_on_REFUTE,Raabta ( song ) is a song that has only been featured in The Matrix .,"`` Raabta `` -LRB- English : Relation -RRB- is a romantic Hindi song from the 2012 Bollywood film , Agent Vinod ."
105,tals_vitaminc_validation_sample1000_validation_58976,SUPPORT,NOT_ENTITLED,false_NE_on_SUPPORT,George Lucas directed The Cincinnati Kid film .,The Cincinnati Kid film was directed by George Lucas and stars Steve McQueen in the title role and Edward G. Robinson as Howard .
108,tals_vitaminc_validation_sample1000_validation_51141,REFUTE,NOT_ENTITLED,false_NE_on_REFUTE,Jewell is best known for her golden blonde hair .,"She is best known for her song , `` Love or Lust , `` featured in Bill Duke 's film , Deep Cover , as well as for singing choruses to many classic West Coast rap songs such as Snoop Dogg 's `` Gin and Juice `` and Dr. Dre 's `` Let Me Ride `` ."
109,tals_vitaminc_validation_sample1000_validation_16711,REFUTE,SUPPORT,wrong_polarity_REFUTE_to_SUPPORT,The Exorcist III was filmed after 2005 .,The Exorcist III is a 1990 American supernatural thriller written and directed by William Peter Blatty .
110,tals_vitaminc_validation_sample1000_validation_3189,REFUTE,NOT_ENTITLED,false_NE_on_REFUTE,Kunihiko Yuyama directed Rio 2 .,Director Carlos Saldanha has kept the possibility for Rio 3 open .
111,tals_vitaminc_validation_sample1000_validation_24710,REFUTE,SUPPORT,wrong_polarity_REFUTE_to_SUPPORT,There are less than 29 videos with over 2 billion views .,"It is one of 144 videos to exceed one billion views , 29 videos to exceed two billion views , and seven videos to exceed three billion views ."
112,tals_vitaminc_validation_sample1000_validation_29853,SUPPORT,REFUTE,wrong_polarity_SUPPORT_to_REFUTE,"Less than 11,900 people who tested positive for coronavirus during the pandemic are in critical condition .","Of these , 11,795 cases are serious ."
113,tals_vitaminc_validation_sample1000_validation_57006,SUPPORT,NOT_ENTITLED,false_NE_on_SUPPORT,A Telugu drama movie starring Sayyeshaa was made .,"After starring a Telugu film Akhil -LRB- 2015 -RRB- , she made her Bollywood debut in Ajay Devgn 's Shivaay -LRB- 2016 -RRB- ."
114,tals_vitaminc_validation_sample1000_validation_53087,REFUTE,NOT_ENTITLED,false_NE_on_REFUTE,Martin Van Buren was exclusively unelected .,"Elected to the Senate by the New York State Legislature in 1821 , Van Buren supported William H. Crawford for president in the 1824 election , but by 1828 had come to support Jackson ."
115,tals_vitaminc_validation_sample1000_validation_23011,SUPPORT,REFUTE,wrong_polarity_SUPPORT_to_REFUTE,The video `` Party Rock Anthem '' has more than 1.07 billion views on YouTube .,"It is currently the twentieth most viewed video on YouTube , with over 1.07 billion views ."
116,tals_vitaminc_validation_sample1000_validation_41160,NOT_ENTITLED,SUPPORT,false_SUPPORT_on_NE,"The new Electro is Francine Frye , late Maxwell Dillon 's revived girlfriend .",He ended up encountering the new Electro .
117,tals_vitaminc_validation_sample1000_validation_51349,REFUTE,SUPPORT,wrong_polarity_REFUTE_to_SUPPORT,John Krasinski is an actor .,John Krasinski is a luxurious car exclusively traded in Finland .
118,tals_vitaminc_validation_sample1000_validation_57359,REFUTE,NOT_ENTITLED,false_NE_on_REFUTE,Shawn Carlson is Canadian .,"Shawn Carlson -LRB- born 1960 -RRB- is an American physicist , science writer , and a STEM educator ."
119,tals_vitaminc_validation_sample1000_validation_45947,REFUTE,NOT_ENTITLED,false_NE_on_REFUTE,The Colosseum is in Venice .,"It is one of Rome 's most popular tourist attractions and also has links to the Roman Catholic Church , as each Good Friday the Pope leads a torchlit `` Way of the Cross `` procession that starts in the area around the Colosseum ."
120,tals_vitaminc_validation_sample1000_validation_59325,REFUTE,NOT_ENTITLED,false_NE_on_REFUTE,The television show The Good Wife is a drama .,"With the current climate of how television shows are written and produced , The Good Wife is considered by several critics to be network television 's last great comedy producing a full 22 episode season while other and future acclaimed shows are in favor of s"
121,tals_vitaminc_validation_sample1000_validation_59174,SUPPORT,REFUTE,wrong_polarity_SUPPORT_to_REFUTE,The dress was online .,"`` The dress `` is a photo that became a viral Internet picture on 26 February 2015 , when viewers disagreed over whether the item of clothing depicted was black and blue or white and gold ."
122,tals_vitaminc_validation_sample1000_validation_28839,NOT_ENTITLED,REFUTE,false_REFUTE_on_NE,"As the quality of healthcare improved , estimates for the CFR in China decreased from 17.3 % to 0.7 % during the 2019–20 coronavirus pandemic .",The infection mortality rate ( IFR ) incorporates a further adjustment to allow for undiagnosed and/or asymptomatic infections ; as at 22 March 2020 it has been estimated at 0.20 % . `` Global Covid-19 Case Fatality Rates '' The Centre for Evidence-Based Medic
123,tals_vitaminc_validation_sample1000_validation_49243,REFUTE,SUPPORT,wrong_polarity_REFUTE_to_SUPPORT,Harold Macmillan was a politician .,Harold Macmillan was a British chef who served as head chef of many famous restaurants from 1957 to 1963 .
124,tals_vitaminc_validation_sample1000_validation_4231,REFUTE,NOT_ENTITLED,false_NE_on_REFUTE,The movie Kesari has domestic gross earnings of less than 105 crore .,its domestic gross is 110.38 crore and overseas gross 13.77 crore .
125,tals_vitaminc_validation_sample1000_validation_53881,REFUTE,NOT_ENTITLED,false_NE_on_REFUTE,The film Miracle at St. Anna tells the story of four political refugees .,"Set primarily in Italy during German-occupied Europe in World War II , the film tells the story of four Buffalo Soldiers of the 92nd Infantry Division who seek refuge in a small Tuscan village , where they form a bond with the residents ."
126,tals_vitaminc_validation_sample1000_validation_3238,SUPPORT,NOT_ENTITLED,false_NE_on_SUPPORT,The Equalizer 2 has grossed more than $ 50 million .,"The film has grossed over $ 51 million and received mixed reviews from critics , who praised Washington 's performance and the action sequences , but disliked the pacing and number of subplots."
127,tals_vitaminc_validation_sample1000_validation_36834,SUPPORT,REFUTE,wrong_polarity_SUPPORT_to_REFUTE,"There have been 2,126 deaths caused by COVID-19 .","As of 20 February , 2,126 deaths have been attributed to COVID-19 ."
129,tals_vitaminc_validation_sample1000_validation_60919,REFUTE,SUPPORT,wrong_polarity_REFUTE_to_SUPPORT,"In 2017 , the Washington Wizards were the winners of a division title .","Washington Wizards have won four conference titles ( 1971 , 1975 , 1978 , 1979 ) and seven division titles ( 1971 , 1972 , 1973 , 1974 , 1975 , 1979 , 2016 ) ."
130,tals_vitaminc_validation_sample1000_validation_20055,NOT_ENTITLED,REFUTE,false_REFUTE_on_NE,"Duncan Ferguson scored a hat-trick of headers against Bolton Wanderers on December 28 , 1997 , the first such incident in the Premier League","On 28 December 1997 , Ferguson scored a hat-trick against Bolton Wanderers in a 3–2 victory , but Everton finished the season surviving relegation only on goal difference ."
131,tals_vitaminc_validation_sample1000_validation_10235,NOT_ENTITLED,REFUTE,false_REFUTE_on_NE,The Bury F.C . 's opening league match that was suspended was in the 2019/20 season .,"Satisfactory proof was not provided , and on 29 July the club 's opening league match of the season ( against MK Dons at Gigg Lane ) was suspended , as were four more league games and an EFL Cup tie , that was awarded to Sheffield Wednesday ."
132,tals_vitaminc_validation_sample1000_validation_32646,SUPPORT,REFUTE,wrong_polarity_SUPPORT_to_REFUTE,"By 16 March , more than 185,000 cases of coronavirus and over 7,300 had been reported around the world .","As of 16 March , more than 185,000 cases of the disease have been reported in over 160 countries and territories , resulting in more than 7,300 deaths and around 79,000 recoveries ."
138,tals_vitaminc_validation_sample1000_validation_54706,SUPPORT,NOT_ENTITLED,false_NE_on_SUPPORT,Omar Khadr was sentenced .,"On May 14 , 2015 , the Supreme Court of Canada rejected the federal government 's position , ruling that Khadr had clearly been sentenced by the U.S. military tribunal as a minor ."
140,tals_vitaminc_validation_sample1000_validation_42387,REFUTE,NOT_ENTITLED,false_NE_on_REFUTE,A River Runs Through It is a crisis .,"A River Runs Through It is a 1992 American period coming-of-age drama film directed by Robert Redford and starring Craig Sheffer , Brad Pitt , Tom Skerritt , Brenda Blethyn , and Emily Lloyd ."
141,tals_vitaminc_validation_sample1000_validation_44117,REFUTE,SUPPORT,wrong_polarity_REFUTE_to_SUPPORT,"Bessie Smith died on December 31 , 1938 .","Bessie Smith -LRB- April 15 , 1894 -- September 26 , 1937 -RRB- was an American blues singer ."
142,tals_vitaminc_validation_sample1000_validation_3171,SUPPORT,NOT_ENTITLED,false_NE_on_SUPPORT,"With less than 96 reviews , The Equalizer 2 's rating is less than 50 % on Rotten Tomatoes","On review aggregator website Rotten Tomatoes , the film holds an approval rating of 49 % based on 95 reviews , and an average rating of 5.6/10 ."
147,tals_vitaminc_validation_sample1000_validation_35347,SUPPORT,NOT_ENTITLED,false_NE_on_SUPPORT,"Adam Wingard 's film , Pop Skull was applauded by critics .",Wingard 's critically acclaimed film Pop Skull won the Best Feature Film award at the Indianapolis International Film Festival and the Jury award at the Boston Underground Film Festival .
149,tals_vitaminc_validation_sample1000_validation_36801,SUPPORT,NOT_ENTITLED,false_NE_on_SUPPORT,In Quebec less than six people have been put under surveillance .,"As of 22 January , five people were put under observation in Quebec after showing signs of a respiratory virus since recently returning from China ."
151,tals_vitaminc_validation_sample1000_validation_51173,REFUTE,SUPPORT,wrong_polarity_REFUTE_to_SUPPORT,Joe Rogan appeared in the television sitcom That 's So Raven .,"After relocating to Los Angeles in 1994 , Rogan signed an exclusive developmental deal with Disney , appeared as an actor on the television sitcoms Hardball and NewsRadio , and worked in local comedy clubs ."
