pair_id,canonical_none_row_id,paraphrase_row_id,polarity_flip_row_id,canonical_final_label,paraphrase_final_label,polarity_flip_final_label,canonical_claim,paraphrase_claim,polarity_flip_claim,canonical_evidence,paraphrase_evidence,polarity_flip_evidence,canonical_grammar_status,paraphrase_grammar_status,polarity_flip_grammar_status,canonical_reason_codes,paraphrase_reason_codes,polarity_flip_reason_codes,canonical_claim_text_diff_summary,paraphrase_claim_text_diff_summary,polarity_flip_claim_text_diff_summary,canonical_evidence_text_diff_summary,paraphrase_evidence_text_diff_summary,polarity_flip_evidence_text_diff_summary,automatic_root_cause_class,automatic_evidence,human_canonical_semantics,human_paraphrase_semantics,human_polarity_flip_semantics,human_grammar_validity,human_authority_decision,human_notes
generated_fact_168,generated_fact_168__none,generated_fact_168__paraphrase,generated_fact_168__polarity_flip,REFUTE,REFUTE,SUPPORT,"Coordinator Farah Qureshi, the technical adviser, delivered the Meridian initiative 168 in Beacon Harbor during November.","Coordinator Farah Qureshi, the technical adviser, delivered the Meridian initiative 168 in Beacon Harbor during November.","Coordinator Farah Qureshi, the technical adviser, delivered the Meridian initiative 168 in Beacon Harbor during November.","Coordinator Farah Qureshi, the technical adviser, did not delivered the Meridian initiative 168 in Beacon Harbor during November.","During November in Beacon Harbor, Coordinator Farah Qureshi acting as technical adviser did not delivered the Meridian initiative 168.","Coordinator Farah Qureshi, the technical adviser, delivered the Meridian initiative 168 in Beacon Harbor during November.",FAIL,FAIL,PASS,"[""DID_NOT_INFLECTED_PREDICATE"",""GRAMMAR_TEMPLATE_FAIL""]","[""CANONICAL_ROW_KNOWN_GENERATOR_DEFECT"",""DID_NOT_INFLECTED_PREDICATE"",""GRAMMAR_TEMPLATE_FAIL""]","[""CANONICAL_ROW_KNOWN_GENERATOR_DEFECT""]",no text difference,no text difference,no text difference,no text difference,multiple changes,negation-only difference,F2_CANONICAL_DEFECT_PROPAGATED_TO_DERIVATIVES,canonical grammar failure propagates to paraphrase canonical_status UNRESOLVED,,,,,,
generated_fact_169,generated_fact_169__none,generated_fact_169__paraphrase,generated_fact_169__polarity_flip,REFUTE,REFUTE,SUPPORT,"Director Gabriel Costa, the program director, opened the Meridian initiative 169 in Cedar Point during January.","Director Gabriel Costa, the program director, opened the Meridian initiative 169 in Cedar Point during January.","Director Gabriel Costa, the program director, opened the Meridian initiative 169 in Cedar Point during January.","Director Gabriel Costa, the program director, did not opened the Meridian initiative 169 in Cedar Point during January.","During January in Cedar Point, Director Gabriel Costa acting as program director did not opened the Meridian initiative 169.","Director Gabriel Costa, the program director, opened the Meridian initiative 169 in Cedar Point during January.",FAIL,FAIL,PASS,"[""DID_NOT_INFLECTED_PREDICATE"",""GRAMMAR_TEMPLATE_FAIL""]","[""CANONICAL_ROW_KNOWN_GENERATOR_DEFECT"",""DID_NOT_INFLECTED_PREDICATE"",""GRAMMAR_TEMPLATE_FAIL""]","[""CANONICAL_ROW_KNOWN_GENERATOR_DEFECT""]",no text difference,no text difference,no text difference,no text difference,multiple changes,negation-only difference,F2_CANONICAL_DEFECT_PROPAGATED_TO_DERIVATIVES,canonical grammar failure propagates to paraphrase canonical_status UNRESOLVED,,,,,,
generated_fact_170,generated_fact_170__none,generated_fact_170__paraphrase,generated_fact_170__polarity_flip,REFUTE,REFUTE,SUPPORT,"Dr Helena Wu, the research lead, selected the Meridian initiative 170 in Delta Bay during March.","Dr Helena Wu, the research lead, selected the Meridian initiative 170 in Delta Bay during March.","Dr Helena Wu, the research lead, selected the Meridian initiative 170 in Delta Bay during March.","Dr Helena Wu, the research lead, did not selected the Meridian initiative 170 in Delta Bay during March.","During March in Delta Bay, Dr Helena Wu acting as research lead did not selected the Meridian initiative 170.","Dr Helena Wu, the research lead, selected the Meridian initiative 170 in Delta Bay during March.",FAIL,FAIL,PASS,"[""DID_NOT_INFLECTED_PREDICATE"",""GRAMMAR_TEMPLATE_FAIL""]","[""CANONICAL_ROW_KNOWN_GENERATOR_DEFECT"",""DID_NOT_INFLECTED_PREDICATE"",""GRAMMAR_TEMPLATE_FAIL""]","[""CANONICAL_ROW_KNOWN_GENERATOR_DEFECT""]",no text difference,no text difference,no text difference,no text difference,multiple changes,negation-only difference,F2_CANONICAL_DEFECT_PROPAGATED_TO_DERIVATIVES,canonical grammar failure propagates to paraphrase canonical_status UNRESOLVED,,,,,,
generated_fact_171,generated_fact_171__none,generated_fact_171__paraphrase,generated_fact_171__polarity_flip,REFUTE,REFUTE,SUPPORT,"Professor Ismail Kaya, the regional coordinator, approved the Meridian initiative 171 in Elm Valley during May.","Professor Ismail Kaya, the regional coordinator, approved the Meridian initiative 171 in Elm Valley during May.","Professor Ismail Kaya, the regional coordinator, approved the Meridian initiative 171 in Elm Valley during May.","Professor Ismail Kaya, the regional coordinator, did not approved the Meridian initiative 171 in Elm Valley during May.","During May in Elm Valley, Professor Ismail Kaya acting as regional coordinator did not approved the Meridian initiative 171.","Professor Ismail Kaya, the regional coordinator, approved the Meridian initiative 171 in Elm Valley during May.",FAIL,FAIL,PASS,"[""DID_NOT_INFLECTED_PREDICATE"",""GRAMMAR_TEMPLATE_FAIL""]","[""CANONICAL_ROW_KNOWN_GENERATOR_DEFECT"",""DID_NOT_INFLECTED_PREDICATE"",""GRAMMAR_TEMPLATE_FAIL""]","[""CANONICAL_ROW_KNOWN_GENERATOR_DEFECT""]",no text difference,no text difference,no text difference,no text difference,multiple changes,negation-only difference,F2_CANONICAL_DEFECT_PROPAGATED_TO_DERIVATIVES,canonical grammar failure propagates to paraphrase canonical_status UNRESOLVED,,,,,,
generated_fact_173,generated_fact_173__none,generated_fact_173__paraphrase,generated_fact_173__polarity_flip,REFUTE,REFUTE,SUPPORT,"Engineer Kwame Adu, the project curator, restored the Meridian initiative 173 in Granite Coast during September.","Engineer Kwame Adu, the project curator, restored the Meridian initiative 173 in Granite Coast during September.","Engineer Kwame Adu, the project curator, restored the Meridian initiative 173 in Granite Coast during September.","Engineer Kwame Adu, the project curator, did not restored the Meridian initiative 173 in Granite Coast during September.","During September in Granite Coast, Engineer Kwame Adu acting as project curator did not restored the Meridian initiative 173.","Engineer Kwame Adu, the project curator, restored the Meridian initiative 173 in Granite Coast during September.",FAIL,FAIL,PASS,"[""DID_NOT_INFLECTED_PREDICATE"",""GRAMMAR_TEMPLATE_FAIL""]","[""CANONICAL_ROW_KNOWN_GENERATOR_DEFECT"",""DID_NOT_INFLECTED_PREDICATE"",""GRAMMAR_TEMPLATE_FAIL""]","[""CANONICAL_ROW_KNOWN_GENERATOR_DEFECT""]",no text difference,no text difference,no text difference,no text difference,multiple changes,negation-only difference,F2_CANONICAL_DEFECT_PROPAGATED_TO_DERIVATIVES,canonical grammar failure propagates to paraphrase canonical_status UNRESOLVED,,,,,,
generated_fact_175,generated_fact_175__none,generated_fact_175__paraphrase,generated_fact_175__polarity_flip,REFUTE,REFUTE,SUPPORT,"Director Avery Stone, the program director, delivered the Meridian initiative 175 in Aurora City during January.","Director Avery Stone, the program director, delivered the Meridian initiative 175 in Aurora City during January.","Director Avery Stone, the program director, delivered the Meridian initiative 175 in Aurora City during January.","Director Avery Stone, the program director, did not delivered the Meridian initiative 175 in Aurora City during January.","During January in Aurora City, Director Avery Stone acting as program director did not delivered the Meridian initiative 175.","Director Avery Stone, the program director, delivered the Meridian initiative 175 in Aurora City during January.",FAIL,FAIL,PASS,"[""DID_NOT_INFLECTED_PREDICATE"",""GRAMMAR_TEMPLATE_FAIL""]","[""CANONICAL_ROW_KNOWN_GENERATOR_DEFECT"",""DID_NOT_INFLECTED_PREDICATE"",""GRAMMAR_TEMPLATE_FAIL""]","[""CANONICAL_ROW_KNOWN_GENERATOR_DEFECT""]",no text difference,no text difference,no text difference,no text difference,multiple changes,negation-only difference,F2_CANONICAL_DEFECT_PROPAGATED_TO_DERIVATIVES,canonical grammar failure propagates to paraphrase canonical_status UNRESOLVED,,,,,,
generated_fact_177,generated_fact_177__none,generated_fact_177__paraphrase,generated_fact_177__polarity_flip,REFUTE,REFUTE,SUPPORT,"Professor Chidi Eze, the regional coordinator, selected the Meridian initiative 177 in Cedar Point during May.","Professor Chidi Eze, the regional coordinator, selected the Meridian initiative 177 in Cedar Point during May.","Professor Chidi Eze, the regional coordinator, selected the Meridian initiative 177 in Cedar Point during May.","Professor Chidi Eze, the regional coordinator, did not selected the Meridian initiative 177 in Cedar Point during May.","During May in Cedar Point, Professor Chidi Eze acting as regional coordinator did not selected the Meridian initiative 177.","Professor Chidi Eze, the regional coordinator, selected the Meridian initiative 177 in Cedar Point during May.",FAIL,FAIL,PASS,"[""DID_NOT_INFLECTED_PREDICATE"",""GRAMMAR_TEMPLATE_FAIL""]","[""CANONICAL_ROW_KNOWN_GENERATOR_DEFECT"",""DID_NOT_INFLECTED_PREDICATE"",""GRAMMAR_TEMPLATE_FAIL""]","[""CANONICAL_ROW_KNOWN_GENERATOR_DEFECT""]",no text difference,no text difference,no text difference,no text difference,multiple changes,negation-only difference,F2_CANONICAL_DEFECT_PROPAGATED_TO_DERIVATIVES,canonical grammar failure propagates to paraphrase canonical_status UNRESOLVED,,,,,,
generated_fact_178,generated_fact_178__none,generated_fact_178__paraphrase,generated_fact_178__polarity_flip,REFUTE,REFUTE,SUPPORT,"Minister Daria Volkova, the operations chief, approved the Meridian initiative 178 in Delta Bay during July.","Minister Daria Volkova, the operations chief, approved the Meridian initiative 178 in Delta Bay during July.","Minister Daria Volkova, the operations chief, approved the Meridian initiative 178 in Delta Bay during July.","Minister Daria Volkova, the operations chief, did not approved the Meridian initiative 178 in Delta Bay during July.","During July in Delta Bay, Minister Daria Volkova acting as operations chief did not approved the Meridian initiative 178.","Minister Daria Volkova, the operations chief, approved the Meridian initiative 178 in Delta Bay during July.",FAIL,FAIL,PASS,"[""DID_NOT_INFLECTED_PREDICATE"",""GRAMMAR_TEMPLATE_FAIL""]","[""CANONICAL_ROW_KNOWN_GENERATOR_DEFECT"",""DID_NOT_INFLECTED_PREDICATE"",""GRAMMAR_TEMPLATE_FAIL""]","[""CANONICAL_ROW_KNOWN_GENERATOR_DEFECT""]",no text difference,no text difference,no text difference,no text difference,multiple changes,negation-only difference,F2_CANONICAL_DEFECT_PROPAGATED_TO_DERIVATIVES,canonical grammar failure propagates to paraphrase canonical_status UNRESOLVED,,,,,,
generated_fact_179,generated_fact_179__none,generated_fact_179__paraphrase,generated_fact_179__polarity_flip,REFUTE,REFUTE,SUPPORT,"Engineer Ethan Brooks, the project curator, launched the Meridian initiative 179 in Elm Valley during September.","Engineer Ethan Brooks, the project curator, launched the Meridian initiative 179 in Elm Valley during September.","Engineer Ethan Brooks, the project curator, launched the Meridian initiative 179 in Elm Valley during September.","Engineer Ethan Brooks, the project curator, did not launched the Meridian initiative 179 in Elm Valley during September.","During September in Elm Valley, Engineer Ethan Brooks acting as project curator did not launched the Meridian initiative 179.","Engineer Ethan Brooks, the project curator, launched the Meridian initiative 179 in Elm Valley during September.",FAIL,FAIL,PASS,"[""DID_NOT_INFLECTED_PREDICATE"",""GRAMMAR_TEMPLATE_FAIL""]","[""CANONICAL_ROW_KNOWN_GENERATOR_DEFECT"",""DID_NOT_INFLECTED_PREDICATE"",""GRAMMAR_TEMPLATE_FAIL""]","[""CANONICAL_ROW_KNOWN_GENERATOR_DEFECT""]",no text difference,no text difference,no text difference,no text difference,multiple changes,negation-only difference,F2_CANONICAL_DEFECT_PROPAGATED_TO_DERIVATIVES,canonical grammar failure propagates to paraphrase canonical_status UNRESOLVED,,,,,,
generated_fact_180,generated_fact_180__none,generated_fact_180__paraphrase,generated_fact_180__polarity_flip,REFUTE,REFUTE,SUPPORT,"Coordinator Farah Qureshi, the technical adviser, restored the Meridian initiative 180 in Falcon Ridge during November.","Coordinator Farah Qureshi, the technical adviser, restored the Meridian initiative 180 in Falcon Ridge during November.","Coordinator Farah Qureshi, the technical adviser, restored the Meridian initiative 180 in Falcon Ridge during November.","Coordinator Farah Qureshi, the technical adviser, did not restored the Meridian initiative 180 in Falcon Ridge during November.","During November in Falcon Ridge, Coordinator Farah Qureshi acting as technical adviser did not restored the Meridian initiative 180.","Coordinator Farah Qureshi, the technical adviser, restored the Meridian initiative 180 in Falcon Ridge during November.",FAIL,FAIL,PASS,"[""DID_NOT_INFLECTED_PREDICATE"",""GRAMMAR_TEMPLATE_FAIL""]","[""CANONICAL_ROW_KNOWN_GENERATOR_DEFECT"",""DID_NOT_INFLECTED_PREDICATE"",""GRAMMAR_TEMPLATE_FAIL""]","[""CANONICAL_ROW_KNOWN_GENERATOR_DEFECT""]",no text difference,no text difference,no text difference,no text difference,multiple changes,negation-only difference,F2_CANONICAL_DEFECT_PROPAGATED_TO_DERIVATIVES,canonical grammar failure propagates to paraphrase canonical_status UNRESOLVED,,,,,,
generated_fact_181,generated_fact_181__none,generated_fact_181__paraphrase,generated_fact_181__polarity_flip,REFUTE,REFUTE,SUPPORT,"Director Gabriel Costa, the program director, published the Meridian initiative 181 in Granite Coast during January.","Director Gabriel Costa, the program director, published the Meridian initiative 181 in Granite Coast during January.","Director Gabriel Costa, the program director, published the Meridian initiative 181 in Granite Coast during January.","Director Gabriel Costa, the program director, did not published the Meridian initiative 181 in Granite Coast during January.","During January in Granite Coast, Director Gabriel Costa acting as program director did not published the Meridian initiative 181.","Director Gabriel Costa, the program director, published the Meridian initiative 181 in Granite Coast during January.",FAIL,FAIL,PASS,"[""DID_NOT_INFLECTED_PREDICATE"",""GRAMMAR_TEMPLATE_FAIL""]","[""CANONICAL_ROW_KNOWN_GENERATOR_DEFECT"",""DID_NOT_INFLECTED_PREDICATE"",""GRAMMAR_TEMPLATE_FAIL""]","[""CANONICAL_ROW_KNOWN_GENERATOR_DEFECT""]",no text difference,no text difference,no text difference,no text difference,multiple changes,negation-only difference,F2_CANONICAL_DEFECT_PROPAGATED_TO_DERIVATIVES,canonical grammar failure propagates to paraphrase canonical_status UNRESOLVED,,,,,,
